time/time_elapsed,time/fps,time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/n_updates,train/critic_loss,train/actor_loss
3842,8,1380,-14.632957999999997,31088,25.11,0.00073,5.9870758056640625,0.03154008463025093,28087,12.201086044311523,-27.618934631347656
3885,8,1390,-14.594147289999999,31397,25.57,0.00073,17.727872848510742,0.030471529811620712,28396,10.945086479187012,-31.852401733398438
3930,8,1400,-14.43146868,31714,25.76,0.00073,4.237468719482422,0.03094855323433876,28713,11.005352973937988,-28.922927856445312
3959,8,1410,-14.20100892,31923,25.52,0.00073,-3.204272747039795,0.030490757897496223,28922,9.312955856323242,-26.948335647583008
4006,8,1420,-14.47532402,32274,26.24,0.00073,-16.888370513916016,0.03212139755487442,29273,9.218024253845215,-26.613697052001953
4050,8,1430,-14.28688502,32603,26.31,0.00073,0.8389966487884521,0.03055000491440296,29602,12.235613822937012,-29.154621124267578
4089,8,1440,-14.443173550000001,32888,26.52,0.00073,3.7880659103393555,0.029619675129652023,29887,10.435724258422852,-29.715879440307617
4121,8,1450,-14.237142279999999,33133,26.96,0.00073,-6.931997299194336,0.030004655942320824,30132,13.640326499938965,-27.325010299682617
4153,8,1460,-14.118948859999998,33366,26.93,0.00073,-10.615403175354004,0.030010035261511803,30365,10.670684814453125,-28.471546173095703
4195,8,1470,-14.93359727,33684,28.16,0.00073,-7.461557865142822,0.029637256637215614,30683,10.094687461853027,-26.425952911376953
4233,8,1480,-15.255246589999999,33963,28.75,0.00073,-8.636054992675781,0.03000796027481556,30962,9.376958847045898,-24.21540069580078
4277,8,1490,-15.359387899999996,34281,28.84,0.00073,-1.5390255451202393,0.029073474928736687,31280,8.849235534667969,-25.503915786743164
4308,8,1500,-15.30654901,34511,27.97,0.00073,-7.18918514251709,0.030036713927984238,31510,12.033235549926758,-24.220012664794922
4341,8,1510,-15.602509360000004,34751,28.28,0.00073,8.461827278137207,0.02908034436404705,31750,12.228814125061035,-27.01850700378418
4373,8,1520,-15.39861173,34988,27.14,0.00073,0.24418973922729492,0.028018509969115257,31987,8.507955551147461,-27.63479995727539
4402,7,1530,-15.405580010000001,35209,26.06,0.00073,12.942949295043945,0.027776915580034256,32208,12.193056106567383,-28.341571807861328
4432,7,1540,-15.1823833,35435,25.47,0.00073,19.1257381439209,0.029291735962033272,32434,13.395339965820312,-29.676198959350586
4460,7,1550,-15.172176629999997,35637,25.04,0.00073,0.12187576293945312,0.02874394692480564,32636,10.791576385498047,-27.32286834716797
4496,7,1560,-15.211781830000001,35909,25.43,0.00073,4.907819747924805,0.02897665463387966,32908,9.268210411071777,-28.769142150878906
4535,7,1570,-14.561039150000001,36198,25.14,0.00073,6.133005142211914,0.0287692379206419,33197,10.873278617858887,-26.62700080871582
4577,7,1580,-14.67913273,36510,25.47,0.00073,-2.117680788040161,0.02809143252670765,33509,9.016998291015625,-28.351200103759766
4610,7,1590,-14.37005724,36756,24.75,0.00073,-12.211369514465332,0.029266145080327988,33755,11.720022201538086,-26.062501907348633
4643,7,1600,-14.29147436,37000,24.89,0.00073,-3.086073398590088,0.028767483308911324,33999,9.569623947143555,-28.04814338684082
4679,7,1610,-14.609331059999999,37265,25.14,0.00073,18.1638126373291,0.0288944561034441,34264,14.033354759216309,-30.442991256713867
4706,7,1620,-14.574734460000002,37465,24.77,0.00073,-12.027658462524414,0.028560174629092216,34464,9.719396591186523,-27.7545166015625
4756,7,1630,-15.223270530000002,37833,26.24,0.00073,22.686765670776367,0.02969357743859291,34832,9.738285064697266,-27.669540405273438
4799,7,1640,-15.65372419,38158,27.23,0.00073,-5.708134651184082,0.02834915556013584,35157,10.414408683776855,-26.892547607421875
4839,7,1650,-16.012472239999997,38457,28.2,0.00073,-7.124163627624512,0.02755422331392765,35456,9.351848602294922,-24.438383102416992
4876,7,1660,-16.01640291,38733,28.24,0.00073,-7.70035982131958,0.02757798135280609,35732,10.003231048583984,-22.878284454345703
4911,7,1670,-15.918308549999999,38986,27.88,0.00073,-11.289657592773438,0.027356121689081192,35985,9.0828275680542,-23.334121704101562
4939,7,1680,-15.60242913,39194,26.84,0.00073,-6.3373703956604,0.026097936555743217,36193,10.386981964111328,-23.91996955871582
4977,7,1690,-15.906408650000001,39483,27.27,0.00073,-2.592261791229248,0.02506248839199543,36482,13.403406143188477,-24.729442596435547
5025,7,1700,-16.37458041,39836,28.36,0.00073,12.276402473449707,0.024835385382175446,36835,8.273292541503906,-24.759952545166016
5069,7,1710,-16.412360080000003,40168,29.03,0.00073,-9.835379600524902,0.024828338995575905,37167,9.337610244750977,-22.7176456451416
5107,7,1720,-16.333852909999997,40447,29.82,0.00073,-12.131368637084961,0.024852758273482323,37446,9.882320404052734,-22.922401428222656
5138,7,1730,-15.52416231,40675,28.42,0.00073,-0.20141196250915527,0.024583151564002037,37674,7.049324035644531,-22.2952938079834
5170,7,1740,-14.945799530000002,40916,27.58,0.00073,9.154523849487305,0.024329395964741707,37915,9.997335433959961,-24.57107925415039
5208,7,1750,-14.88177854,41189,27.32,0.00073,6.3934197425842285,0.02467840164899826,38188,7.434128761291504,-24.288475036621094
5246,7,1760,-15.04491902,41456,27.23,0.00073,9.885902404785156,0.024957234039902687,38455,8.95710563659668,-22.5896053314209
5294,7,1770,-15.49099154,41793,28.07,0.00073,-8.073232650756836,0.02528052218258381,38792,9.318214416503906,-19.768192291259766
5336,7,1780,-15.83113279,42100,29.06,0.00073,-1.3187867403030396,0.024085041135549545,39099,6.507817268371582,-20.93716812133789
5377,7,1790,-15.699275210000003,42402,29.19,0.00073,11.566564559936523,0.02311154641211033,39401,8.271044731140137,-21.12774085998535
5417,7,1800,-15.411619520000002,42693,28.57,0.00073,22.693798065185547,0.02391139604151249,39692,9.057828903198242,-24.783782958984375
5452,7,1810,-14.960847,42951,27.83,0.00073,-10.027179718017578,0.024242347106337547,39950,8.901786804199219,-21.791337966918945
5497,7,1820,-15.300817390000002,43285,28.38,0.00073,-3.5274124145507812,0.02365814335644245,40284,7.859226226806641,-23.196022033691406
5528,7,1830,-15.15021391,43516,28.41,0.00073,-6.188863277435303,0.022801073268055916,40515,7.954411029815674,-21.155378341674805
5585,7,1840,-16.088041880000002,43936,30.2,0.00073,10.745521545410156,0.02161582000553608,40935,8.470773696899414,-21.078500747680664
