rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/episodes,time/fps,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/actor_loss,train/n_updates
-17.186550159999996,48.8,58000,7509,1480,7,0.00073,3994.947265625,0.2875058948993683,0.7230249643325806,-2583.595703125,54999
-13.696979200000001,48.96,58500,7576,1490,7,0.00073,2627.399658203125,-0.06676189601421356,0.6700727939605713,-2569.792724609375,55499
-10.91068806,49.11,58996,7643,1500,7,0.00073,2556.43212890625,0.08723050355911255,0.6639004945755005,-2416.29541015625,55995
-10.98763947,49.11,59496,7711,1510,7,0.00073,2961.100830078125,0.31955069303512573,0.6463724374771118,-2387.4052734375,56495
-11.782628480000001,49.11,59996,7777,1520,7,0.00073,2074.84423828125,0.02898392453789711,0.5975891351699829,-2367.177978515625,56995
-11.87645529,48.82,60467,7841,1530,7,0.00073,2265.34912109375,-0.37971705198287964,0.6046603918075562,-2224.593505859375,57466
-11.786704769999997,48.65,60924,7903,1540,7,0.00073,1719.238037109375,-1.607053518295288,0.5983762741088867,-2234.527587890625,57923
-11.139169889999998,48.74,61409,7968,1550,7,0.00073,2384.88330078125,1.0572887659072876,0.5901971459388733,-2214.751953125,58408
-11.122215559999999,48.74,61909,8036,1560,7,0.00073,1996.883056640625,0.521468997001648,0.5838000774383545,-2162.861083984375,58908
-11.985729199999996,48.74,62409,8103,1570,7,0.00073,2374.2236328125,0.6632858514785767,0.5702124238014221,-2159.7138671875,59408
-11.227517409999997,49.09,62909,8170,1580,7,0.00073,1537.81494140625,-0.8089981079101562,0.5599919557571411,-2141.453125,59908
-10.75733968,48.72,63372,8232,1590,7,0.00073,1937.3709716796875,-1.0462862253189087,0.5567482113838196,-2076.85546875,60371
-11.237198059999999,48.31,63827,8293,1600,7,0.00073,12477.654296875,1.2113969326019287,0.5477254390716553,-2074.402099609375,60826
-10.913998230000004,48.21,64317,8359,1610,7,0.00073,2239.38037109375,0.30126434564590454,0.5407989621162415,-2034.56298828125,61316
-10.119963760000001,48.21,64817,8425,1620,7,0.00073,4582.3505859375,0.8172686100006104,0.5086438059806824,-1987.171875,61816
-11.278952259999997,47.0,65167,8472,1630,7,0.00073,2118.259033203125,-0.2486667037010193,0.48916494846343994,-1987.9481201171875,62166
-13.478822080000002,47.12,65636,8535,1640,7,0.00073,1731.6478271484375,1.208825945854187,0.47175806760787964,-1946.583984375,62635
-15.656347069999997,46.66,66075,8594,1650,7,0.00073,1509.323974609375,-1.6797044277191162,0.5282706618309021,-1926.203857421875,63074
-16.07109084,46.66,66575,8661,1660,7,0.00073,2632.5712890625,1.7716280221939087,0.5102923512458801,-1906.838134765625,63574
-15.16532964,46.66,67075,8728,1670,7,0.00073,1439.6650390625,-0.26693183183670044,0.487056702375412,-1846.354736328125,64074
-14.92714273,46.66,67575,8795,1680,7,0.00073,2760.6611328125,0.3968532085418701,0.4741998612880707,-1796.528564453125,64574
-14.430599990000001,46.59,68031,8857,1690,7,0.00073,1321.835693359375,-0.9096943140029907,0.4779331088066101,-1720.538818359375,65030
-14.06637284,46.55,68482,8918,1700,7,0.00073,1122.3734130859375,0.5000249743461609,0.49348488450050354,-1746.3153076171875,65481
-12.666417170000003,46.65,68982,8986,1710,7,0.00073,1307.947021484375,-1.4336165189743042,0.4552932679653168,-1706.101318359375,65981
-14.517650230000001,46.65,69482,9054,1720,7,0.00073,1667.252685546875,-1.1838939189910889,0.42231273651123047,-1761.736572265625,66481
-16.652383540000002,48.15,69982,9121,1730,7,0.00073,1641.65234375,2.3381381034851074,0.38601499795913696,-1749.528564453125,66981
-16.90579953,48.02,70438,9182,1740,7,0.00073,2889.0693359375,2.129218101501465,0.44596996903419495,-1761.116455078125,67437
-15.449970609999998,47.35,70810,9233,1750,7,0.00073,1346.491455078125,-0.08437645435333252,0.44882768392562866,-1747.8438720703125,67809
-14.56757032,47.35,71310,9300,1760,7,0.00073,1130.3441162109375,-0.17953547835350037,0.43071573972702026,-1668.28369140625,68309
-15.002858119999999,47.35,71810,9368,1770,7,0.00073,1453.087646484375,0.4155925214290619,0.3809552788734436,-1650.502197265625,68809
-15.716084760000001,47.35,72310,9436,1780,7,0.00073,947.2984619140625,0.10302691161632538,0.37768518924713135,-1605.581787109375,69309
-15.905124219999998,47.79,72810,9504,1790,7,0.00073,1096.433349609375,-1.0299112796783447,0.3687450885772705,-1541.2811279296875,69809
-16.5264319,48.28,73310,9572,1800,7,0.00073,1705.542236328125,1.2358005046844482,0.34554892778396606,-1444.81201171875,70309
-18.54137773,48.28,73810,9639,1810,7,0.00073,861.9996337890625,0.5427948832511902,0.3348948061466217,-1383.3758544921875,70809
-17.32359963,48.24,74306,9706,1820,7,0.00073,797.4425048828125,-1.8059577941894531,0.3437900245189667,-1332.3544921875,71305
-13.734237839999999,48.24,74806,9774,1830,7,0.00073,1346.7384033203125,0.1794643998146057,0.3444770872592926,-1343.188720703125,71805
-11.320755970000002,48.09,75247,9834,1840,7,0.00073,690.5714111328125,-0.7789254188537598,0.3530689477920532,-1282.5098876953125,72246
-10.764507660000001,49.17,75727,9899,1850,7,0.00073,665.4750366210938,-0.601667046546936,0.33020922541618347,-1271.151123046875,72726
-1.6815991800000005,49.13,76223,9966,1860,7,0.00073,847.4749755859375,-0.5374285578727722,0.3298526406288147,-1225.255126953125,73222
4.837958639999999,46.63,76473,10000,1870,7,0.00073,915.7612915039062,1.604252815246582,0.327902227640152,-1219.775634765625,73472
6.02120373,46.63,76973,10068,1880,7,0.00073,491.3244323730469,-1.920847773551941,0.2978690266609192,-1178.7076416015625,73972
6.429052579999999,46.53,77463,10135,1890,7,0.00073,554.1611328125,1.5608657598495483,0.27899670600891113,-1186.578369140625,74462
6.052991,46.53,77963,10203,1900,7,0.00073,550.59423828125,1.3778069019317627,0.2550797462463379,-1159.79296875,74962
3.742264789999999,46.53,78463,10270,1910,7,0.00073,521.78271484375,0.6314749717712402,0.2368226796388626,-1159.44091796875,75462
1.2997849000000001,46.57,78963,10338,1920,7,0.00073,479.5577392578125,0.3789771795272827,0.22092388570308685,-1107.289794921875,75962
-1.2699279000000019,46.57,79463,10406,1930,7,0.00073,512.3404541015625,3.1505396366119385,0.2341187447309494,-1078.6998291015625,76462
-1.2520028100000011,46.29,79876,10462,1940,7,0.00073,365.1236572265625,-1.2691547870635986,0.2197204977273941,-1034.869140625,76875
-2.6079421000000003,46.49,80376,10530,1950,7,0.00073,449.34979248046875,-2.3659939765930176,0.2074822634458542,-964.0318603515625,77375
-12.923233489999998,46.52,80875,10598,1960,7,0.00073,583.7904052734375,1.0026404857635498,0.21134531497955322,-957.4163818359375,77874
-19.475973619999998,48.94,81367,10665,1970,7,0.00073,740.4609375,1.7167878150939941,0.19973352551460266,-939.444091796875,78366
-19.98785304,45.33,81506,10685,1980,7,0.00073,367.1529541015625,-1.046546459197998,0.19072668254375458,-930.2266235351562,78505
-20.67034808,41.86,81649,10704,1990,7,0.00073,383.4053649902344,1.031919002532959,0.1817711442708969,-919.596923828125,78648
-20.459784699999997,38.63,81826,10728,2000,7,0.00073,346.79071044921875,2.087677478790283,0.18399542570114136,-904.83544921875,78825
-20.71859514,38.23,82286,10792,2010,7,0.00073,376.44671630859375,0.21732091903686523,0.17156477272510529,-866.8893432617188,79285
-21.614130729999996,38.23,82786,10861,2020,7,0.00073,271.18475341796875,0.3888942301273346,0.16471244394779205,-818.2320556640625,79785
-20.184673070000002,38.23,83286,10928,2030,7,0.00073,276.0564270019531,1.3793158531188965,0.18311424553394318,-816.954345703125,80285
-21.440435760000003,39.1,83786,10996,2040,7,0.00073,586.9024658203125,-0.5329724550247192,0.17759640514850616,-770.1986083984375,80785
-21.153839739999995,39.1,84286,11064,2050,7,0.00073,251.56698608398438,-1.3184758424758911,0.1642034500837326,-734.17529296875,81285
-20.38081124,39.11,84786,11133,2060,7,0.00073,245.0593719482422,1.9874341487884521,0.16586412489414215,-712.5641479492188,81785
-18.50152841,39.15,85282,11201,2070,7,0.00073,206.51304626464844,-0.08528253436088562,0.15546444058418274,-679.6912841796875,82281
-17.474630810000004,41.91,85697,11257,2080,7,0.00073,233.73805236816406,-5.003860950469971,0.14327673614025116,-642.33935546875,82696
-17.04535901,45.31,86180,11322,2090,7,0.00073,253.96498107910156,-3.173429012298584,0.14393994212150574,-626.4181518554688,83179
-17.132485329999998,48.37,86663,11388,2100,7,0.00073,387.87738037109375,-0.2609672546386719,0.14242719113826752,-624.2265625,83662
-15.130952759999998,48.77,87163,11456,2110,7,0.00073,158.99644470214844,-0.5990700721740723,0.13084863126277924,-590.06884765625,84162
-12.037014669999998,48.77,87663,11525,2120,7,0.00073,143.14405822753906,-0.7719969153404236,0.11676893383264542,-568.604248046875,84662
-11.371172849999999,48.77,88163,11594,2130,7,0.00073,191.83184814453125,-0.745540976524353,0.1175239086151123,-546.4632568359375,85162
-8.25935096,47.91,88577,11651,2140,7,0.00073,152.4730987548828,-0.5585007071495056,0.12014347314834595,-527.620849609375,85576
