time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/critic_loss,train/learning_rate,train/ent_coef,train/n_updates,train/ent_coef_loss,train/actor_loss
77095,10039,7,392.53903547000004,100.0,1000,3.174832344055176,0.00073,0.021147102117538452,74094,-2.5114574432373047,-192.04151916503906
78095,10178,7,393.8811802,100.0,1010,3.174790859222412,0.00073,0.020887957885861397,75094,-1.8315191268920898,-191.98805236816406
79095,10317,7,394.14012237,100.0,1020,3.3615529537200928,0.00073,0.020592570304870605,76094,-5.460634708404541,-193.98452758789062
80095,10456,7,394.5450802400001,100.0,1030,3.136230230331421,0.00073,0.020158082246780396,77094,2.1219258308410645,-191.15188598632812
81095,10594,7,396.81557099,100.0,1040,2.5032081604003906,0.00073,0.019773665815591812,78094,3.512622356414795,-194.8369903564453
82095,10732,7,396.6191758199999,100.0,1050,3.2361092567443848,0.00073,0.020098181441426277,79094,4.599179744720459,-193.4319610595703
83095,10869,7,396.82179505999994,100.0,1060,4.790539741516113,0.00073,0.0199365746229887,80094,2.6120738983154297,-192.92823791503906
84095,11006,7,396.47727722000013,100.0,1070,2.370511770248413,0.00073,0.019877878949046135,81094,-3.178896188735962,-194.736572265625
85095,11143,7,399.09404215999996,100.0,1080,2.446406841278076,0.00073,0.019451459869742393,82094,2.4620046615600586,-194.45416259765625
86095,11280,7,404.63124883000006,100.0,1090,2.59057354927063,0.00073,0.019807733595371246,83094,-6.65152645111084,-195.9942626953125
87095,11420,7,416.73729203999994,100.0,1100,3.1271719932556152,0.00073,0.020267639309167862,84094,-1.6845269203186035,-195.34878540039062
88095,11559,7,431.04927839,100.0,1110,3.2709226608276367,0.00073,0.021308021619915962,85094,-0.5988116264343262,-195.75717163085938
89095,11697,7,445.6966783,100.0,1120,3.804607391357422,0.00073,0.023118149489164352,86094,-3.843933582305908,-202.5593719482422
90095,11835,7,468.3745331900001,100.0,1130,3.5652570724487305,0.00073,0.023492589592933655,87094,0.3074299097061157,-208.3155975341797
91095,11972,7,493.72253023999997,100.0,1140,3.1340436935424805,0.00073,0.02424510382115841,88094,-5.644815444946289,-211.28346252441406
92095,12111,7,527.32395859,100.0,1150,5.494117259979248,0.00073,0.02565411850810051,89094,10.634282112121582,-220.06153869628906
93095,12249,7,562.2192518,100.0,1160,4.637590408325195,0.00073,0.027044782415032387,90094,1.0547363758087158,-223.63888549804688
94095,12386,7,596.46917417,100.0,1170,3.7793426513671875,0.00073,0.02741681970655918,91094,-4.660236358642578,-231.16867065429688
95095,12524,7,629.6660434199999,100.0,1180,4.521096229553223,0.00073,0.028065752238035202,92094,1.8170186281204224,-235.63839721679688
96095,12664,7,657.5258841,100.0,1190,3.8335764408111572,0.00073,0.02907240018248558,93094,0.615421712398529,-242.44300842285156
97095,12802,7,682.0761564500001,100.0,1200,4.667578220367432,0.00073,0.029329577460885048,94094,-4.09970760345459,-246.9926300048828
98095,12940,7,703.2603738899999,100.0,1210,4.013906002044678,0.00073,0.03030075877904892,95094,-3.7353105545043945,-250.31881713867188
99095,13079,7,723.5332976699999,100.0,1220,4.680871963500977,0.00073,0.030083170160651207,96094,-2.0989990234375,-253.2376708984375
100095,13219,7,738.0703497,100.0,1230,4.584011077880859,0.00073,0.030384177342057228,97094,6.152560710906982,-256.2713317871094
