time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,train/ent_coef_loss,train/learning_rate,train/n_updates,train/actor_loss,train/ent_coef,train/critic_loss
1490,6648,10.86102729,53673,62.6,8,0.05339422821998596,0.00073,50672,-8452.0927734375,2.254744529724121,63615.08203125
1500,6722,15.5662235,54232,65.46,8,0.5724111199378967,0.00073,51231,-7918.96923828125,2.220003843307495,43418.6015625
1510,6789,16.68182906,54742,62.56,8,1.626237154006958,0.00073,51741,-7441.419921875,2.0674989223480225,245244.15625
1520,6869,10.545884270000004,55350,60.54,8,0.7008962631225586,0.00073,52349,-7080.0087890625,1.8808785676956177,62441.6640625
1530,6961,5.968471320000001,56059,58.86,8,-0.6818912625312805,0.00073,53058,-6435.9404296875,1.6641892194747925,95545.3671875
1540,7065,11.081627850000004,56854,61.47,8,-0.4054756760597229,0.00073,53853,-5895.9111328125,1.5103445053100586,44404.84375
1550,7174,12.90922637,57685,63.27,8,-0.12384718656539917,0.00073,54684,-5423.91259765625,1.3699098825454712,28797.8515625
1560,7294,28.22163169,58592,68.39,8,0.40709659457206726,0.00073,55591,-4833.49365234375,1.1960052251815796,28363.5078125
1570,7401,34.81437891,59401,70.05,8,0.009036075323820114,0.00073,56400,-4421.6416015625,1.0482035875320435,79223.78125
1580,7516,39.37352777,60291,71.68,8,0.09282976388931274,0.00073,57290,-3948.864013671875,0.9370943903923035,11281.974609375
1590,7628,45.88561500000001,61154,74.81,8,0.030610503628849983,0.00073,58153,-3559.595703125,0.8171336650848389,10821.70703125
1600,7697,44.57658925999999,61684,74.52,8,-0.11564275622367859,0.00073,58683,-3344.46142578125,0.7464599609375,8744.318359375
1610,7807,43.119527070000004,62528,77.86,8,-0.5450485348701477,0.00073,59527,-3000.598876953125,0.7001141905784607,6437.3984375
1620,7909,53.40376036000001,63300,79.5,8,0.0009812675416469574,0.00073,60299,-2649.0380859375,0.6224449276924133,8483.486328125
1630,7977,53.71606239,63824,77.65,8,0.16463643312454224,0.00073,60823,-2545.31689453125,0.551115095615387,3886.345703125
1640,8056,56.11814243,64432,75.78,7,-0.33769938349723816,0.00073,61431,-2323.06298828125,0.5118449926376343,8252.34765625
1650,8126,52.94868055,64963,72.78,7,1.4717257022857666,0.00073,61962,-2087.32177734375,0.46136337518692017,5891.89892578125
1660,8243,46.578651449999995,65865,72.73,7,-0.33025044202804565,0.00073,62864,-1895.836669921875,0.38865944743156433,3354.3095703125
1670,8363,51.37860374000001,66774,73.73,7,-1.5209808349609375,0.00073,63773,-1655.850341796875,0.3684723675251007,4059.768798828125
1680,8489,62.171638550000004,67739,74.48,7,1.0133012533187866,0.00073,64738,-1451.25439453125,0.2889603078365326,1706.683349609375
1690,8594,70.24096478,68543,73.89,7,1.320479393005371,0.00073,65542,-1300.0784912109375,0.26158595085144043,2077.634033203125
1700,8622,72.87440324,68759,70.75,7,0.18142405152320862,0.00073,65758,-1256.02978515625,0.25250646471977234,13157.083984375
1710,8684,65.37033310999999,69231,67.03,7,-6.572178363800049,0.00073,66230,-1192.48046875,0.2551170885562897,1507.464111328125
1720,8781,64.85058265,69971,66.71,7,-0.20441961288452148,0.00073,66970,-1070.0592041015625,0.221086785197258,5998.1513671875
1730,8852,66.03956545,70502,66.78,7,-1.8366987705230713,0.00073,67501,-1028.3770751953125,0.196924090385437,2374.702880859375
1740,8922,68.79064724,71035,66.03,7,3.15124773979187,0.00073,68034,-924.32421875,0.1812189519405365,1467.545654296875
1750,9015,76.08994567000002,71741,67.78,7,-1.9358086585998535,0.00073,68740,-858.5712890625,0.16038548946380615,887.0787963867188
1760,9136,78.12126387,72643,67.78,7,0.7868601679801941,0.00073,69642,-760.7619018554688,0.14052455127239227,429.8810119628906
1770,9254,82.16491157,73522,67.48,7,5.904643535614014,0.00073,70521,-658.6010131835938,0.12083218991756439,463.7604064941406
1780,9368,80.01518109,74373,66.34,7,2.767493724822998,0.00073,71372,-601.83056640625,0.10231228172779083,285.5334167480469
1790,9504,77.51610284,75373,68.3,7,-1.83768892288208,0.00073,72372,-513.7069091796875,0.08979205787181854,1113.5780029296875
1800,9638,95.43779296000001,76373,76.14,7,6.544767379760742,0.00073,73372,-440.8238525390625,0.07675176113843918,175.29733276367188
1810,9773,119.18062572000001,77373,81.42,7,1.0204144716262817,0.00073,74372,-404.97564697265625,0.0685654729604721,126.09883117675781
1820,9895,136.4793366,78275,83.04,7,2.354076862335205,0.00073,75274,-350.5605163574219,0.05938916653394699,156.78688049316406
1830,10000,146.59998008,79059,85.57,7,0.6682500839233398,0.00073,76058,-317.5166320800781,0.05183947831392288,67.739501953125
1840,10134,169.35558591,80059,90.24,7,3.232239007949829,0.00073,77058,-281.17822265625,0.04765041172504425,456.5329895019531
1850,10203,175.14271510000006,80569,88.28,7,-5.0877885818481445,0.00073,77568,-259.18524169921875,0.04469320550560951,268.0096435546875
1860,10299,187.20260208999997,81275,86.32,7,-7.42106819152832,0.00073,78274,-242.47178649902344,0.04077643156051636,146.1298828125
1870,10433,198.78730256000003,82275,87.53,7,12.267180442810059,0.00073,79274,-222.96408081054688,0.037441082298755646,103.09223937988281
1880,10567,211.70817319999998,83275,89.02,7,-6.902299880981445,0.00073,80274,-210.4583282470703,0.03492043912410736,91.38015747070312
1890,10701,231.37884102,84275,89.02,7,1.6098871231079102,0.00073,81274,-200.80133056640625,0.031501103192567825,32.18035125732422
1900,10823,244.94597574,85177,88.04,7,0.27643513679504395,0.00073,82176,-189.07345581054688,0.03149518743157387,116.67735290527344
1910,10959,251.24840540999998,86177,88.04,7,3.1851866245269775,0.00073,83176,-186.59657287597656,0.032207898795604706,24.254627227783203
1920,11094,263.68288414,87177,89.02,7,12.510358810424805,0.00073,84176,-185.39044189453125,0.032337989658117294,47.158477783203125
1930,11230,286.30767452,88177,91.18,7,0.6420540809631348,0.00073,85176,-189.7113494873047,0.032052621245384216,375.9412841796875
1940,11365,291.77380951,89177,91.18,7,2.0478711128234863,0.00073,86176,-191.05410766601562,0.033042702823877335,28.74917984008789
1950,11500,318.09104415,90177,96.08,7,5.7330002784729,0.00073,87176,-190.02659606933594,0.033386118710041046,27.801889419555664
1960,11636,333.66839858,91177,99.02,7,3.917893409729004,0.00073,88176,-190.20172119140625,0.032626520842313766,148.71507263183594
1970,11771,340.4623146300001,92177,99.02,7,7.9903130531311035,0.00073,89176,-189.53005981445312,0.03318270668387413,58.118492126464844
1980,11907,350.01031114,93177,99.02,7,11.869155883789062,0.00073,90176,-190.658935546875,0.03414095565676689,33.834110260009766
1990,12044,350.20618806000004,94177,99.02,7,-9.005989074707031,0.00073,91176,-186.43324279785156,0.03383224830031395,74.65706634521484
2000,12183,351.18444738,95177,100.0,7,8.293048858642578,0.00073,92176,-188.95896911621094,0.03300026059150696,157.48922729492188
2010,12322,351.71520863999996,96177,100.0,7,-7.144594669342041,0.00073,93176,-187.589599609375,0.03266412764787674,18.564083099365234
2020,12459,350.43792565999996,97177,100.0,7,-4.648056983947754,0.00073,94176,-186.32913208007812,0.03331593796610832,184.30409240722656
2030,12595,350.37600796000004,98177,100.0,7,5.696054935455322,0.00073,95176,-191.65318298339844,0.032741840928792953,27.025102615356445
2040,12718,345.0206913000001,99079,99.02,7,-6.7188920974731445,0.00073,96078,-187.76194763183594,0.0332607626914978,27.051380157470703
2050,12854,339.71668890999996,100079,99.02,7,-10.653189659118652,0.00073,97078,-188.98809814453125,0.03128938749432564,24.697940826416016
2060,12988,340.86156217999996,101079,99.02,7,-3.166227102279663,0.00073,98078,-186.7710418701172,0.03189685568213463,56.29804229736328
2070,13123,340.2473221799999,102079,99.02,7,2.12693190574646,0.00073,99078,-191.32421875,0.03143081068992615,17.309814453125
2080,13260,336.91115631,103079,99.02,7,1.9441909790039062,0.00073,100078,-189.21925354003906,0.03186247497797012,24.181856155395508
