rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/actor_loss,train/critic_loss,train/n_updates
-9.26907392,1320,3292,27247,8,20.62,0.00073,-15.485849380493164,0.001443630550056696,3.781853199005127,0.03643740713596344,24246
-9.406939079999999,1330,3319,27444,8,20.7,0.00073,-10.476573944091797,0.0013771153753623366,4.175519943237305,0.03686972334980965,24443
-9.77231328,1340,3362,27773,8,21.87,0.00073,-10.519697189331055,0.0013436080189421773,4.083614349365234,0.046380411833524704,24772
-9.84116514,1350,3395,28024,8,22.17,0.00073,-1.8112401962280273,0.0013821737375110388,4.025978088378906,0.03699519485235214,25023
-9.90310348,1360,3419,28207,8,21.45,0.00073,-6.879645347595215,0.0013595886994153261,4.194450378417969,0.04065791517496109,25206
-10.042027069999998,1370,3443,28388,8,21.0,0.00073,-12.878141403198242,0.001305731711909175,4.155572891235352,0.039220985025167465,25387
-10.17806639,1380,3467,28569,8,20.98,0.00073,0.0162791907787323,0.0013189585879445076,4.165580749511719,0.0406809076666832,25568
-10.17614746,1390,3494,28766,8,21.03,0.00073,13.206003189086914,0.0012574061984196305,4.205852031707764,0.03921643644571304,25765
-10.188128520000001,1400,3518,28953,8,20.86,0.00073,7.835408687591553,0.0012292774626985192,4.10297155380249,0.03737228736281395,25952
-10.08668974,1410,3543,29138,8,20.63,0.00073,18.55569839477539,0.0012286427663639188,4.123963356018066,0.034123145043849945,26137
-9.95813822,1420,3571,29346,8,20.99,0.00073,-0.5204275846481323,0.0012717137578874826,4.194985389709473,0.0318836010992527,26345
-10.03068514,1430,3607,29610,8,21.66,0.00073,-17.1475830078125,0.0011877234792336822,4.180044651031494,0.04078041762113571,26609
-9.685340610000003,1440,3633,29806,8,20.33,0.00073,7.432952880859375,0.0012530786916613579,4.183378219604492,0.03111029788851738,26805
-9.69644746,1450,3658,29994,8,19.7,0.00073,-0.536382794380188,0.0012722626561298966,4.270632266998291,0.04064314812421799,26993
-9.657418790000001,1460,3691,30245,8,20.38,0.00073,8.836520195007324,0.001205973094329238,4.150461673736572,0.028830472379922867,27244
-9.03940532,1470,3714,30415,8,20.27,0.00073,-5.642653465270996,0.0012767184525728226,4.220261096954346,0.040999796241521835,27414
-8.86745532,1480,3742,30619,8,20.5,0.00073,1.0726895332336426,0.0012521737953647971,4.074979305267334,0.028528155758976936,27618
-8.72123828,1490,3770,30832,8,20.66,0.00073,10.254403114318848,0.0012199350167065859,4.151851654052734,0.03139744699001312,27831
-8.88794334,1500,3809,31123,8,21.7,0.00073,-3.3088386058807373,0.0012212760047987103,4.0577473640441895,0.032586321234703064,28122
-9.114407020000002,1510,3836,31330,8,21.92,0.00073,-18.31584930419922,0.001205755164846778,3.893800735473633,0.028877627104520798,28329
-9.376890119999999,1520,3861,31522,8,21.76,0.00073,-0.9998078346252441,0.0012054791441187263,4.130706787109375,0.027009304612874985,28521
-9.20439665,1530,3890,31742,8,21.32,0.00073,-12.6627779006958,0.0012207304826006293,4.055012226104736,0.028551194816827774,28741
-8.900559659999999,1540,3920,31964,8,21.58,0.00073,0.5065534114837646,0.0011759786866605282,4.281617641448975,0.026581089943647385,28963
-8.67858331,1550,3947,32164,8,21.7,0.00073,-15.29975700378418,0.0011760885827243328,4.0891642570495605,0.03700227290391922,29163
-8.23368017,1560,3970,32332,8,20.87,0.00073,-0.2909306287765503,0.0011422329116612673,4.264273166656494,0.02691146731376648,29331
-8.34405777,1570,3993,32504,8,20.89,0.00073,-5.380395889282227,0.0011552084470167756,4.154056072235107,0.028496842831373215,29503
-8.29017384,1580,4022,32719,8,21.0,0.00073,11.110102653503418,0.0011672511463984847,4.267366409301758,0.0255604051053524,29718
-8.41660967,1590,4050,32926,8,20.94,0.00073,-11.398128509521484,0.0011816942133009434,4.090204238891602,0.025156591087579727,29925
-8.18927472,1600,4075,33113,8,19.9,0.00073,5.5302228927612305,0.0011423701653257012,4.099133491516113,0.032137177884578705,30112
-8.053414740000001,1610,4100,33297,8,19.67,0.00073,-4.291092395782471,0.0011519581312313676,4.079380512237549,0.023646477609872818,30296
-7.6809321599999985,1620,4126,33487,8,19.65,0.00073,-2.6360955238342285,0.0011816632468253374,4.126339912414551,0.024485141038894653,30486
-7.676151319999999,1630,4150,33666,8,19.24,0.00073,-3.779301404953003,0.0011716816807165742,4.0211381912231445,0.02883385494351387,30665
-7.86527317,1640,4177,33864,8,19.0,0.00073,-0.9303760528564453,0.001153504359535873,4.2658538818359375,0.02375323511660099,30863
-7.958726090000002,1650,4212,34114,8,19.5,0.00073,18.16353988647461,0.0011151900980621576,4.186252117156982,0.0266345776617527,31113
-8.45301739,1660,4234,34284,8,19.52,0.00073,8.167040824890137,0.001150163821876049,4.426463603973389,0.03222052752971649,31283
