time/time_elapsed,time/episodes,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/ent_coef,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/actor_loss,train/n_updates
9518,1330,7,308.79479409000004,69.13,73916,0.07321035116910934,0.00073,17.46533203125,3.853421211242676,-161.57427978515625,70915
9617,1340,7,330.47753344999995,70.28,74654,0.07264240086078644,0.00073,17.94800567626953,-2.5755248069763184,-166.8415069580078,71653
9709,1350,7,311.8467967099999,69.79,75339,0.07359635829925537,0.00073,24.81744384765625,4.510819911956787,-169.863525390625,72338
9810,1360,7,305.83841714000005,69.63,76073,0.07299995422363281,0.00073,21.955764770507812,-6.549112319946289,-167.9638214111328,73072
9887,1370,7,264.12125177,67.88,76648,0.07301236689090729,0.00073,24.097389221191406,0.6187088489532471,-182.60040283203125,73647
9981,1380,7,254.90573342000005,67.47,77347,0.07105756551027298,0.00073,25.64132308959961,-1.7112396955490112,-175.9356689453125,74346
10079,1390,7,256.42237375999997,67.54,78075,0.07333885878324509,0.00073,22.818740844726562,4.688455581665039,-171.17904663085938,75074
10170,1400,7,255.72019764999996,68.3,78750,0.07095367461442947,0.00073,25.902231216430664,-1.5567892789840698,-190.1259765625,75749
10255,1410,7,259.45105723000006,69.32,79381,0.0741158276796341,0.00073,25.919158935546875,1.2176185846328735,-173.68707275390625,76380
10348,1420,7,265.2678289,69.02,80068,0.07250253111124039,0.00073,30.66585922241211,5.916280269622803,-192.9936065673828,77067
10440,1430,7,263.86896107999996,68.33,80749,0.07148577272891998,0.00073,27.452529907226562,3.6984927654266357,-177.43295288085938,77748
10537,1440,7,264.38677256999995,68.22,81476,0.06945830583572388,0.00073,22.106224060058594,-0.7857979536056519,-177.06077575683594,78475
10638,1450,7,286.93851126,68.87,82226,0.07066542655229568,0.00073,16.48282814025879,0.6372069120407104,-174.8187255859375,79225
10740,1460,7,295.2106923200001,69.03,82976,0.07092515379190445,0.00073,18.778728485107422,4.10916805267334,-177.6619415283203,79975
10841,1470,7,323.66928851,70.7,83718,0.07293974608182907,0.00073,24.11013412475586,0.6486960649490356,-174.1531982421875,80717
10943,1480,7,337.23046916999994,71.21,84468,0.06832090765237808,0.00073,25.868228912353516,-0.1941525787115097,-183.2650146484375,81467
11041,1490,7,340.80040121999997,71.2,85195,0.06985505670309067,0.00073,24.542728424072266,1.4430809020996094,-170.9078369140625,82194
11136,1500,7,363.45265464,71.44,85894,0.0710425078868866,0.00073,25.577911376953125,11.049173355102539,-183.36334228515625,82893
11237,1510,7,404.28159193,72.63,86644,0.07284612208604813,0.00073,18.65144920349121,-3.1353068351745605,-184.79318237304688,83643
11335,1520,7,409.26734541999997,73.0,87368,0.06850484758615494,0.00073,21.41948699951172,0.8436080813407898,-182.23170471191406,84367
11433,1530,7,402.77461423999995,73.41,88090,0.07013999670743942,0.00073,36.19822311401367,5.069207668304443,-173.98353576660156,85089
11534,1540,7,408.81038980000005,73.64,88840,0.06862182915210724,0.00073,23.637489318847656,2.711397886276245,-180.8014373779297,85839
11635,1550,7,402.41928879,73.63,89589,0.06863828748464584,0.00073,22.725112915039062,3.8976001739501953,-187.55767822265625,86588
11736,1560,7,402.72568892,73.63,90339,0.06933838129043579,0.00073,24.045761108398438,2.3060715198516846,-173.7608184814453,87338
11837,1570,7,420.14473505999996,73.71,91089,0.06833897531032562,0.00073,21.262298583984375,2.3324708938598633,-194.04100036621094,88088
11913,1580,7,389.48862560000003,71.87,91655,0.06956959515810013,0.00073,19.281517028808594,-4.515110492706299,-189.5069122314453,88654
12015,1590,7,399.5656521800001,72.1,92405,0.0692513957619667,0.00073,27.45376205444336,6.251087188720703,-189.70852661132812,89404
12117,1600,7,405.09377535,72.61,93155,0.0673879086971283,0.00073,20.097043991088867,2.2320079803466797,-191.23989868164062,90154
12216,1610,7,403.24561559,72.42,93886,0.06754839420318604,0.00073,24.611366271972656,-2.591130495071411,-191.38555908203125,90885
12317,1620,7,417.3272446,72.68,94636,0.06741867959499359,0.00073,19.06906509399414,-0.12352138757705688,-192.56141662597656,91635
12414,1630,7,404.56395075999984,72.69,95359,0.0685669407248497,0.00073,16.40697479248047,-6.200652599334717,-204.35548400878906,92358
12516,1640,7,402.19268088999996,72.69,96109,0.06781455129384995,0.00073,23.7899169921875,-2.6793060302734375,-184.73867797851562,93108
12618,1650,7,409.8126300300001,72.7,96859,0.0688849687576294,0.00073,24.94485855102539,3.8485655784606934,-200.75119018554688,93858
12719,1660,7,410.1478679399999,72.7,97609,0.06548088788986206,0.00073,16.269123077392578,0.07722589373588562,-198.26849365234375,94608
12821,1670,7,410.33000226999997,72.7,98359,0.06591864675283432,0.00073,15.489801406860352,1.1594141721725464,-195.39678955078125,95358
12923,1680,7,447.88525030999995,74.54,99109,0.06762838363647461,0.00073,18.8465518951416,-8.21362018585205,-196.3005828857422,96108
13025,1690,7,445.69192321,74.54,99859,0.06577011197805405,0.00073,20.393329620361328,4.288817405700684,-200.55787658691406,96858
13126,1700,7,444.40380374,74.54,100609,0.0660138949751854,0.00073,16.410995483398438,0.44209766387939453,-202.30392456054688,97608
