rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_len_mean,time/fps,train/ent_coef,train/actor_loss,train/n_updates,train/critic_loss,train/ent_coef_loss,train/learning_rate
745.55228206,157000,22159,1570,100.0,7,0.11264856159687042,-345.16290283203125,153999,4.020821571350098,0.15851686894893646,0.00073
744.51511339,158000,22303,1580,100.0,7,0.11319975554943085,-347.5133972167969,154999,3.6931395530700684,-0.479867547750473,0.00073
745.5709815499999,159000,22448,1590,100.0,7,0.11518104374408722,-346.1702880859375,155999,3.199124336242676,-0.40678471326828003,0.00073
745.6415484599997,160000,22593,1600,100.0,7,0.11350460350513458,-346.5211181640625,156999,3.2703704833984375,-0.2935660183429718,0.00073
744.2252908300002,161000,22739,1610,100.0,7,0.11396093666553497,-345.3824768066406,157999,4.397326469421387,0.17218585312366486,0.00073
743.8869010300001,162000,22884,1620,100.0,7,0.11366920173168182,-347.2062683105469,158999,3.550637722015381,-0.1303369104862213,0.00073
743.4580889599998,163000,23028,1630,100.0,7,0.11184991896152496,-346.5086364746094,159999,3.24318790435791,0.3202853202819824,0.00073
744.87733597,164000,23173,1640,100.0,7,0.10979402810335159,-347.4881286621094,160999,3.211770534515381,0.5140074491500854,0.00073
743.9482985400001,165000,23324,1650,100.0,7,0.11294201016426086,-348.1330871582031,161999,4.189823150634766,-0.1808520257472992,0.00073
744.3480137500001,166000,23469,1660,100.0,7,0.1099376529455185,-345.23223876953125,162999,3.0553693771362305,-0.26936718821525574,0.00073
743.2242329800001,167000,23614,1670,100.0,7,0.10893861949443817,-348.060546875,163999,3.745326280593872,-0.1044079065322876,0.00073
743.69381598,168000,23761,1680,100.0,7,0.10919595509767532,-347.24981689453125,164999,2.707101345062256,0.027205199003219604,0.00073
742.79499515,169000,23906,1690,100.0,7,0.11018291860818863,-346.7334289550781,165999,2.668287515640259,0.2231989949941635,0.00073
742.9373102800001,170000,24050,1700,100.0,7,0.10786986351013184,-345.0274658203125,166999,3.702298164367676,0.15453922748565674,0.00073
743.8406222600001,171000,24195,1710,100.0,7,0.10490881651639938,-348.7312927246094,167999,2.639529228210449,-0.44157350063323975,0.00073
743.5210678000002,172000,24340,1720,100.0,7,0.10739409923553467,-347.7410583496094,168999,4.037607192993164,0.5481142401695251,0.00073
743.2222020699999,173000,24484,1730,100.0,7,0.10596733540296555,-346.4595947265625,169999,3.3584909439086914,-0.42417997121810913,0.00073
745.79253319,174000,24640,1740,100.0,7,0.10569470375776291,-348.9294128417969,170999,2.771804094314575,0.48359018564224243,0.00073
746.4418387799998,175000,24787,1750,100.0,7,0.10383985191583633,-349.2951354980469,171999,3.2721683979034424,0.8451740741729736,0.00073
747.1247780399999,176000,24930,1760,100.0,7,0.10365134477615356,-350.2929992675781,172999,3.3777613639831543,0.37456971406936646,0.00073
749.1226758799999,177000,25075,1770,100.0,7,0.10478265583515167,-350.1649169921875,173999,3.0027642250061035,0.030983462929725647,0.00073
748.9213786400002,178000,25220,1780,100.0,7,0.10309422761201859,-349.1264953613281,174999,2.8917269706726074,-0.0325201116502285,0.00073
748.7512223199999,179000,25365,1790,100.0,7,0.10524176061153412,-352.9734802246094,175999,2.6833910942077637,0.07115636765956879,0.00073
744.3421960200001,180000,25516,1800,100.0,7,0.1007838025689125,-349.6749572753906,176999,3.988953113555908,-0.19319963455200195,0.00073
743.5935916799999,181000,25669,1810,100.0,7,0.10191240906715393,-351.6647033691406,177999,2.856675386428833,0.380921334028244,0.00073
743.8735310899999,182000,25814,1820,100.0,7,0.10427512973546982,-352.3891906738281,178999,3.074859380722046,-0.29885464906692505,0.00073
745.05984999,183000,25960,1830,100.0,7,0.10449012368917465,-348.9775085449219,179999,2.8802056312561035,0.18876323103904724,0.00073
744.3775875699998,184000,26105,1840,100.0,7,0.10263079404830933,-349.4942932128906,180999,3.2911248207092285,0.1219315305352211,0.00073
744.1180499599999,185000,26250,1850,100.0,7,0.10343439877033234,-350.93536376953125,181999,3.3414692878723145,-0.12676577270030975,0.00073
742.9852040999999,186000,26397,1860,100.0,7,0.10347004234790802,-350.982421875,182999,3.8724918365478516,0.8200740218162537,0.00073
742.2377009600001,187000,26544,1870,100.0,7,0.10104239732027054,-348.5647888183594,183999,3.827631950378418,0.1441165804862976,0.00073
742.5418259399999,188000,26690,1880,100.0,7,0.103852778673172,-346.8992919921875,184999,4.365840911865234,1.4677562713623047,0.00073
743.2103165799999,189000,26836,1890,100.0,7,0.10074944794178009,-347.5050048828125,185999,3.2541279792785645,0.027813881635665894,0.00073
748.3979026299999,190000,26982,1900,100.0,7,0.1024288535118103,-349.85601806640625,186999,3.3087575435638428,-0.15060356259346008,0.00073
748.9251437800001,191000,27127,1910,100.0,7,0.10067335516214371,-351.50848388671875,187999,3.0633959770202637,-0.3836382031440735,0.00073
747.19741351,192000,27272,1920,100.0,7,0.10149819403886795,-352.36358642578125,188999,3.1187143325805664,0.1920742392539978,0.00073
745.3873215799999,193000,27417,1930,100.0,7,0.10203039646148682,-351.726806640625,189999,3.2898917198181152,-0.14247509837150574,0.00073
745.5962642999999,194000,27563,1940,100.0,7,0.10243292897939682,-350.14862060546875,190999,2.495293140411377,-0.024570852518081665,0.00073
745.8231626300003,195000,27709,1950,100.0,7,0.10105612874031067,-353.6929016113281,191999,2.3503856658935547,-0.17321398854255676,0.00073
746.6938670200002,196000,27853,1960,100.0,7,0.09921117126941681,-350.32098388671875,192999,3.5958313941955566,0.2669137120246887,0.00073
747.2793522999999,197000,27999,1970,100.0,7,0.09678816050291061,-351.9421081542969,193999,3.73240065574646,-0.4553200602531433,0.00073
747.0428143199999,198000,28143,1980,100.0,7,0.10061229020357132,-353.93634033203125,194999,3.060197353363037,-0.4464081823825836,0.00073
744.5978866899999,199000,28287,1990,100.0,7,0.10095182806253433,-353.02899169921875,195999,3.0025267601013184,-0.14410993456840515,0.00073
742.66174397,200000,28435,2000,100.0,7,0.0980561226606369,-353.2884826660156,196999,3.0435404777526855,0.23211108148097992,0.00073
742.5983974,201000,28581,2010,100.0,7,0.09634283185005188,-351.85888671875,197999,2.481400489807129,-0.13441765308380127,0.00073
743.5855691000002,202000,28725,2020,100.0,7,0.09728394448757172,-351.8338623046875,198999,2.8536643981933594,0.04169471561908722,0.00073
744.1599204800001,203000,28871,2030,100.0,7,0.09521336108446121,-352.05242919921875,199999,3.077289581298828,0.47518783807754517,0.00073
743.5891303899999,204000,29016,2040,100.0,7,0.09835249185562134,-354.3497314453125,200999,2.295865058898926,-0.1541881561279297,0.00073
743.3743594900001,205000,29161,2050,100.0,7,0.09797846525907516,-354.0,201999,1.9407304525375366,-0.49990716576576233,0.00073
744.2055577100001,206000,29309,2060,100.0,7,0.09696205705404282,-350.4952697753906,202999,2.4867897033691406,-0.27987003326416016,0.00073
742.47552187,207000,29455,2070,100.0,7,0.0989958718419075,-353.1883544921875,203999,3.9531726837158203,-0.2825576364994049,0.00073
742.5208691400002,208000,29600,2080,100.0,7,0.0952313244342804,-352.1566162109375,204999,2.596846580505371,0.14248067140579224,0.00073
744.7898119500001,209000,29746,2090,100.0,7,0.0939260944724083,-355.4145812988281,205999,2.4631564617156982,-0.04218462109565735,0.00073
746.1674516,210000,29892,2100,100.0,7,0.09524939209222794,-354.8858947753906,206999,3.222710132598877,0.09431198239326477,0.00073
