time/fps,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/ent_coef_loss,train/learning_rate,train/ent_coef,train/n_updates,train/critic_loss,train/actor_loss
7,-223.35113184999994,1860,47.28,82113,10977,4.628684043884277,0.00073,0.013077768497169018,79112,3.8901619911193848,114.65900421142578
7,-225.03758444999997,1870,47.34,82585,11040,0.5293843746185303,0.00073,0.013637246564030647,79584,3.3532204627990723,115.08030700683594
7,-224.57698797999998,1880,47.49,83062,11104,-2.319739580154419,0.00073,0.013838639482855797,80061,3.664431571960449,113.71830749511719
7,-225.18259139000003,1890,47.59,83550,11168,1.1268885135650635,0.00073,0.014070012606680393,80549,4.316430568695068,116.57757568359375
7,-227.70207516000005,1900,47.7,84039,11233,-5.401230812072754,0.00073,0.014484862796962261,81038,4.018359184265137,115.81320190429688
7,-223.04254084999997,1910,47.58,84497,11295,-6.537978649139404,0.00073,0.014262261800467968,81496,3.5926523208618164,114.79780578613281
7,-223.99402262,1920,47.37,84975,11362,0.13740253448486328,0.00073,0.014034063555300236,81974,3.210937976837158,115.05611419677734
7,-228.33741808000002,1930,47.37,85455,11429,-3.5423712730407715,0.00073,0.01356864720582962,82454,4.036347389221191,116.32489013671875
7,-226.48551228,1940,47.35,85907,11489,4.594108581542969,0.00073,0.013803907670080662,82906,4.29533576965332,112.40620422363281
7,-229.86946405999998,1950,47.38,86394,11558,-1.9010789394378662,0.00073,0.013346913270652294,83393,3.8345556259155273,113.33354949951172
7,-226.88809795999998,1960,47.62,86875,11623,4.959208965301514,0.00073,0.01374832820147276,83874,4.455623626708984,116.80902862548828
7,-226.98368115000002,1970,47.77,87362,11688,4.121452331542969,0.00073,0.01339050941169262,84361,4.081064224243164,114.4221420288086
7,-227.59917753999997,1980,47.76,87838,11751,1.0870640277862549,0.00073,0.013414321467280388,84837,3.9410922527313232,116.094482421875
7,-229.80042927000002,1990,47.45,88295,11811,8.053987503051758,0.00073,0.014112080447375774,85294,3.9452192783355713,115.21527862548828
7,-228.28033678999998,2000,47.36,88775,11874,4.29595947265625,0.00073,0.014262710697948933,85774,4.937128067016602,114.51417541503906
7,-228.93636993,2010,47.58,89255,11937,-5.939140319824219,0.00073,0.014180838130414486,86254,4.268213748931885,117.23200988769531
7,-232.59497116999998,2020,47.47,89722,11998,-3.911769151687622,0.00073,0.014558317139744759,86721,4.377373218536377,112.78690338134766
7,-227.45315419,2030,47.61,90216,12063,4.074488162994385,0.00073,0.014245840720832348,87215,4.736239433288574,112.1096420288086
7,-223.42350513000002,2040,47.92,90699,12128,1.5089024305343628,0.00073,0.014944512397050858,87698,4.445954322814941,113.74158477783203
7,-216.85236124999994,2050,47.8,91174,12192,2.299683094024658,0.00073,0.014345288276672363,88173,4.182520866394043,115.70736694335938
7,-215.76076494,2060,47.92,91667,12258,3.56882381439209,0.00073,0.014488745480775833,88666,4.362726211547852,116.09269714355469
7,-216.86757793,2070,47.74,92136,12320,5.096594333648682,0.00073,0.014555464498698711,89135,4.138579368591309,113.85667419433594
7,-210.68185349000004,2080,47.94,92632,12385,1.2812061309814453,0.00073,0.014415140263736248,89631,4.020074844360352,112.51681518554688
7,-209.14952666999997,2090,48.26,93121,12450,3.333026885986328,0.00073,0.014690127223730087,90120,4.0314741134643555,111.2172622680664
7,-208.31037363,2100,48.35,93610,12515,2.9685959815979004,0.00073,0.014183475635945797,90609,3.9720802307128906,115.75041198730469
7,-208.34471565000004,2110,48.38,94093,12578,4.326962471008301,0.00073,0.014765552245080471,91092,5.275556564331055,115.67314910888672
7,-205.36633197000003,2120,48.44,94566,12641,-11.245766639709473,0.00073,0.01433006301522255,91565,4.793170928955078,114.01834106445312
7,-207.81289254,2130,48.47,95063,12708,7.804779052734375,0.00073,0.01457828190177679,92062,4.620192527770996,118.74455261230469
