time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,rollout/ep_len_mean,train/critic_loss,train/actor_loss,train/ent_coef_loss,train/ent_coef,train/n_updates,train/learning_rate
7,71413,-308.43127727999996,9417,1690,46.53,20.216171264648438,60.57955551147461,-10.43386459350586,0.03425993025302887,68412,0.00073
7,71855,-307.89065697,9476,1700,46.56,21.549312591552734,56.99947738647461,0.3225383758544922,0.03452315926551819,68854,0.00073
7,72355,-302.36356652,9542,1710,46.84,21.666614532470703,53.376651763916016,-1.5225286483764648,0.035459086298942566,69354,0.00073
7,72794,-304.12304245,9601,1720,46.78,22.06246566772461,56.48833465576172,-4.158961772918701,0.036431171000003815,69793,0.00073
7,73283,-298.85858680999996,9666,1730,46.84,28.020679473876953,39.055152893066406,1.466133952140808,0.03739231079816818,70282,0.00073
7,73780,-297.4255719,9733,1740,46.96,27.216964721679688,42.24807357788086,9.939276695251465,0.03793966770172119,70779,0.00073
7,74280,-289.50437962,9800,1750,47.58,32.093482971191406,41.8341178894043,1.0671191215515137,0.038356248289346695,71279,0.00073
7,74758,-291.29482501,9863,1760,47.6,33.368133544921875,26.180706024169922,8.897644996643066,0.04047193005681038,71757,0.00073
7,75243,-286.38873236999996,9928,1770,47.87,31.392850875854492,39.15360641479492,-4.340619087219238,0.04017482325434685,72242,0.00073
7,75711,-283.027027,9990,1780,47.98,33.67627716064453,33.404075622558594,2.775181531906128,0.039833880960941315,72710,0.00073
7,76179,-282.17091781999994,10053,1790,47.66,29.699127197265625,29.762113571166992,-1.314549446105957,0.0413314551115036,73178,0.00073
7,76678,-278.30812441,10120,1800,48.23,39.807193756103516,17.932605743408203,3.8733913898468018,0.04132623225450516,73677,0.00073
7,77171,-277.52343666,10186,1810,48.16,30.85677719116211,19.016517639160156,-1.908374547958374,0.04104335233569145,74170,0.00073
7,77666,-269.5611444,10253,1820,48.72,27.699913024902344,15.332472801208496,-5.223249435424805,0.04036876559257507,74665,0.00073
7,78166,-267.8879912,10320,1830,48.83,31.3001766204834,17.14312171936035,2.3642830848693848,0.04039119929075241,75165,0.00073
7,78655,-271.99045197000004,10385,1840,48.75,28.288713455200195,37.34333801269531,-6.042060852050781,0.039988890290260315,75654,0.00073
7,79130,-276.63105364,10449,1850,48.5,29.907590866088867,18.98283576965332,14.935486793518066,0.03962286189198494,76129,0.00073
7,79618,-275.10461538,10514,1860,48.6,30.936033248901367,40.60930633544922,-6.334598064422607,0.03875728324055672,76617,0.00073
7,80075,-284.00914862999997,10575,1870,48.32,27.678852081298828,29.811479568481445,12.762974739074707,0.03808673471212387,77074,0.00073
7,80559,-287.00160458000005,10640,1880,48.48,31.171722412109375,44.42339324951172,0.045638978481292725,0.03825538605451584,77558,0.00073
7,81041,-285.31154526,10705,1890,48.62,31.789567947387695,40.88580322265625,8.63452434539795,0.03773849830031395,78040,0.00073
7,81523,-289.1381797199999,10770,1900,48.45,27.97163963317871,31.315074920654297,-0.6825307607650757,0.03743565455079079,78522,0.00073
7,81995,-293.65410618999994,10834,1910,48.24,24.65752410888672,43.62124252319336,-6.415101528167725,0.036626823246479034,78994,0.00073
7,82476,-301.72439838,10898,1920,48.1,48.147682189941406,52.10401916503906,-5.549323081970215,0.03696953505277634,79475,0.00073
7,82933,-306.00118291,10959,1930,47.67,32.82785415649414,51.09196090698242,1.4038370847702026,0.036953382194042206,79932,0.00073
7,83405,-301.29451995000005,11021,1940,47.5,31.540796279907227,38.63823318481445,-8.369002342224121,0.03600621968507767,80404,0.00073
7,83872,-295.10411252,11084,1950,47.42,32.67053985595703,50.72341537475586,2.9485034942626953,0.03702351078391075,80871,0.00073
7,84296,-292.79554162999995,11140,1960,46.78,25.18004608154297,40.35057067871094,-0.12175822257995605,0.03660551458597183,81295,0.00073
7,84789,-284.14075399,11206,1970,47.14,25.759567260742188,36.68278503417969,-2.316105365753174,0.03597554564476013,81788,0.00073
7,85246,-289.81112543000006,11268,1980,46.87,31.26715087890625,53.1202278137207,3.1992006301879883,0.035863470286130905,82245,0.00073
7,85733,-290.81616728999995,11333,1990,46.92,23.044334411621094,57.97996520996094,-2.470090389251709,0.03572870045900345,82732,0.00073
7,86215,-288.90387811,11398,2000,46.92,22.00109100341797,45.499202728271484,-7.269648551940918,0.03563225269317627,83214,0.00073
7,86715,-289.87045028000006,11465,2010,47.2,21.229921340942383,48.637535095214844,4.390502452850342,0.03541753441095352,83714,0.00073
7,87201,-290.71955578,11530,2020,47.25,30.126670837402344,47.727867126464844,2.0650830268859863,0.0366363450884819,84200,0.00073
7,87701,-292.63804096,11598,2030,47.68,23.047924041748047,50.425437927246094,0.8813004493713379,0.035327717661857605,84700,0.00073
7,88188,-292.87426929,11662,2040,47.83,30.18952178955078,35.717262268066406,6.418278694152832,0.03655807673931122,85187,0.00073
7,88656,-298.03726826999997,11725,2050,47.84,27.43498420715332,48.602874755859375,0.9017235636711121,0.03526695817708969,85655,0.00073
7,89154,-294.74232496999997,11791,2060,48.58,26.55165672302246,44.76913833618164,0.3244432806968689,0.035549405962228775,86153,0.00073
7,89603,-297.14976588999997,11851,2070,48.14,24.640239715576172,54.53681182861328,-0.6802420020103455,0.03502313047647476,86602,0.00073
7,90058,-291.3525595,11912,2080,48.12,23.73801040649414,62.37855529785156,-13.535886764526367,0.03574910759925842,87057,0.00073
7,90527,-296.46677848,11975,2090,47.94,26.004253387451172,49.493045806884766,-3.107693910598755,0.035101268440485,87526,0.00073
7,91004,-296.34947848,12038,2100,47.89,34.34901809692383,32.0340690612793,0.4716377258300781,0.03602679446339607,88003,0.00073
7,91458,-297.68324591,12099,2110,47.43,31.624711990356445,40.59426498413086,-4.215295314788818,0.03545995056629181,88457,0.00073
7,91884,-293.16212055000005,12159,2120,46.83,30.740020751953125,56.26983642578125,-7.2965087890625,0.036559559404850006,88883,0.00073
7,92365,-287.55774713,12225,2130,46.64,33.760902404785156,55.19998550415039,-1.4111906290054321,0.03611071780323982,89364,0.00073
7,92865,-283.56239776,12293,2140,46.77,33.637451171875,46.27751922607422,8.328463554382324,0.036724068224430084,89864,0.00073
7,93326,-281.06661605,12355,2150,46.7,31.69605255126953,42.40625,-5.118697166442871,0.036831822246313095,90325,0.00073
