time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/n_updates
78000,780,10399,100.0,773.16587422,7,0.029605040326714516,0.00073,0.6882697343826294,0.6052588820457458,-389.06353759765625,74999
79000,790,10540,100.0,773.6896750299999,7,0.028583567589521408,0.00073,0.2288808822631836,1.0408345460891724,-389.27764892578125,75999
80000,800,10681,100.0,774.2523837499998,7,0.027351152151823044,0.00073,0.2770385146141052,0.8963088393211365,-389.0866394042969,76999
81000,810,10821,100.0,774.9360559,7,0.028466422110795975,0.00073,0.05789816379547119,0.7651456594467163,-388.1658630371094,77999
82000,820,10960,100.0,774.93792411,7,0.027997128665447235,0.00073,-0.5493656396865845,0.6112673282623291,-389.60003662109375,78999
83000,830,11102,100.0,775.2202556400001,7,0.026478763669729233,0.00073,-2.0936715602874756,0.6853206157684326,-390.3206787109375,79999
84000,840,11243,100.0,775.7019312599998,7,0.02618015557527542,0.00073,1.2665183544158936,0.7742682695388794,-389.35260009765625,80999
85000,850,11388,100.0,775.98133542,7,0.026243936270475388,0.00073,-0.7633564472198486,0.9856931567192078,-389.8546142578125,81999
86000,860,11531,100.0,776.0230027000001,7,0.02710798755288124,0.00073,1.2679449319839478,1.0149585008621216,-389.9293212890625,82999
87000,870,11670,100.0,776.10462967,7,0.02665155567228794,0.00073,0.44481128454208374,1.1683611869812012,-389.64532470703125,83999
88000,880,11810,100.0,776.2247930300001,7,0.027802271768450737,0.00073,-0.821974515914917,0.5116893649101257,-391.34747314453125,84999
89000,890,11950,100.0,775.98298442,7,0.027245474979281425,0.00073,0.8655762672424316,0.7008756399154663,-389.98406982421875,85999
90000,900,12093,100.0,776.02429118,7,0.02627861686050892,0.00073,-1.9772005081176758,0.6897597312927246,-390.6759948730469,86999
91000,910,12232,100.0,775.7049518499999,7,0.025471555069088936,0.00073,0.35149967670440674,1.1278131008148193,-388.6781005859375,87999
92000,920,12373,100.0,776.0248946399998,7,0.025969218462705612,0.00073,1.8165037631988525,1.1735843420028687,-390.0904235839844,88999
93000,930,12513,100.0,776.1457640100001,7,0.025306567549705505,0.00073,0.7997449636459351,0.8269145488739014,-391.1071472167969,89999
94000,940,12653,100.0,776.2286278899999,7,0.02706829458475113,0.00073,0.48668864369392395,0.6274203062057495,-391.2896423339844,90999
95000,950,12796,100.0,776.0281242,7,0.024583086371421814,0.00073,-0.14810682833194733,0.6693276166915894,-389.828369140625,91999
96000,960,12935,100.0,776.1469108100001,7,0.0256697628647089,0.00073,1.533416509628296,0.7450444102287292,-390.4330749511719,92999
97000,970,13075,100.0,775.94487355,7,0.026202471926808357,0.00073,-1.7755192518234253,0.4582829475402832,-391.2637939453125,93999
98000,980,13216,100.0,776.02468291,7,0.024012316018342972,0.00073,0.5469237565994263,0.5437455177307129,-390.93255615234375,94999
99000,990,13355,100.0,776.1053965200001,7,0.024129457771778107,0.00073,0.590886116027832,0.5902233123779297,-390.24468994140625,95999
100000,1000,13494,100.0,776.0662757599999,7,0.023674597963690758,0.00073,0.1631118208169937,1.0701429843902588,-391.2298889160156,96999
101000,1010,13635,100.0,776.4667202299997,7,0.024055955931544304,0.00073,0.34001559019088745,0.7440997362136841,-390.2655334472656,97999
102000,1020,13776,100.0,776.6268879499996,7,0.024342631921172142,0.00073,-0.19048869609832764,0.3295676112174988,-392.1626892089844,98999
103000,1030,13916,100.0,776.9078774299998,7,0.021997764706611633,0.00073,1.337662935256958,0.6298408508300781,-391.04229736328125,99999
104000,1040,14057,100.0,776.78293653,7,0.022608913481235504,0.00073,-0.0008617639541625977,1.0749256610870361,-391.5182800292969,100999
105000,1050,14196,100.0,777.0232458399998,7,0.02263903245329857,0.00073,0.37823405861854553,0.7142553329467773,-389.8154296875,101999
106000,1060,14337,100.0,777.0248249700002,7,0.022111807018518448,0.00073,-0.29180556535720825,0.5545719861984253,-391.61773681640625,102999
107000,1070,14478,100.0,777.3875250100001,7,0.0227162204682827,0.00073,-2.524822950363159,0.388657808303833,-392.3392028808594,103999
108000,1080,14618,100.0,777.5096053400001,7,0.022757895290851593,0.00073,0.24829527735710144,0.6499238014221191,-392.8092041015625,104999
109000,1090,14758,100.0,777.7512984699999,7,0.021479198709130287,0.00073,1.613083004951477,0.5937142968177795,-390.81744384765625,105999
110000,1100,14900,100.0,777.7893390800001,7,0.021018603816628456,0.00073,-0.5712442398071289,0.9941467046737671,-392.180908203125,106999
111000,1110,15040,100.0,777.6690367299999,7,0.02083728276193142,0.00073,1.2293617725372314,1.1374716758728027,-391.6440124511719,107999
112000,1120,15181,100.0,777.7106843800002,7,0.02186010591685772,0.00073,-0.6377509832382202,0.47546496987342834,-392.911376953125,108999
113000,1130,15320,100.0,777.67014536,7,0.020799921825528145,0.00073,-1.9846370220184326,0.2998608648777008,-392.6568603515625,109999
114000,1140,15462,100.0,777.7921956799998,7,0.021869968622922897,0.00073,0.612924337387085,0.45013394951820374,-391.9118347167969,110999
115000,1150,15601,100.0,777.9943788999999,7,0.02097982168197632,0.00073,-0.21133185923099518,1.0220708847045898,-392.77886962890625,111999
116000,1160,15741,100.0,778.15479049,7,0.02090865559875965,0.00073,-0.4166201055049896,0.3765835165977478,-392.1108093261719,112999
117000,1170,15882,100.0,777.9140394499997,7,0.021166248247027397,0.00073,-0.18515601754188538,0.6554309725761414,-391.41375732421875,113999
118000,1180,16024,100.0,777.9126758199999,7,0.020422402769327164,0.00073,0.6142370700836182,0.7259804010391235,-393.1501770019531,114999
119000,1190,16165,100.0,778.0724131999999,7,0.019539931789040565,0.00073,-1.0159809589385986,0.5589374899864197,-393.4648742675781,115999
