time/time_elapsed,time/fps,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/n_updates
3248,7,25563,1180,24.28,-12.01230298,0.00073,0.583495020866394,0.24648481607437134,7.164514064788818,0.004942608065903187,22562
3290,7,25862,1190,24.63,-12.119317480000001,0.00073,0.7182377576828003,0.23274584114551544,-5.0994110107421875,0.004854961764067411,22861
3322,7,26092,1200,24.45,-12.337006570000002,0.00073,0.9488365650177002,0.254549115896225,15.857508659362793,0.004761719144880772,23091
3354,7,26318,1210,24.84,-12.52935066,0.00073,1.045629620552063,0.24929329752922058,-5.492554664611816,0.00473917368799448,23317
3381,7,26515,1220,24.89,-12.457958209999997,0.00073,1.0173887014389038,0.25340044498443604,11.661717414855957,0.0045753782615065575,23514
3409,7,26715,1230,24.38,-12.33520829,0.00073,1.1862235069274902,0.18716737627983093,-8.939698219299316,0.004566759802401066,23714
3449,7,27005,1240,24.56,-12.259821860000002,0.00073,1.854171633720398,0.17949840426445007,-7.574382305145264,0.004389915149658918,24004
3482,7,27239,1250,24.82,-12.24495383,0.00073,1.3317773342132568,0.16989997029304504,20.26397132873535,0.004229042213410139,24238
3518,7,27503,1260,24.88,-12.22128913,0.00073,2.184164047241211,0.19093862175941467,-12.669548034667969,0.004027711693197489,24502
3546,7,27704,1270,24.13,-11.806168110000002,0.00073,2.2254323959350586,0.1591649353504181,-3.831284999847412,0.0037262910045683384,24703
3574,7,27898,1280,23.35,-12.116941070000001,0.00073,2.47530198097229,0.1476782262325287,2.7332794666290283,0.0037869520019739866,24897
3603,7,28108,1290,22.46,-11.83647815,0.00073,2.6953320503234863,0.1569933146238327,6.577083587646484,0.0038343986961990595,25107
3642,7,28392,1300,23.0,-11.826012419999998,0.00073,2.7639191150665283,0.14991320669651031,11.69749641418457,0.0035319505259394646,25391
3668,7,28581,1310,22.63,-11.6412633,0.00073,2.347369909286499,0.13863292336463928,14.967318534851074,0.003497348167002201,25580
3691,7,28745,1320,22.3,-11.628492700000004,0.00073,2.7054800987243652,0.1569792628288269,-0.20171642303466797,0.0034254833590239286,25744
3720,7,28951,1330,22.36,-11.654022680000002,0.00073,2.7311267852783203,0.1445537507534027,3.1389055252075195,0.0032278590369969606,25950
3751,7,29175,1340,21.7,-11.342516530000001,0.00073,2.9208052158355713,0.12839537858963013,-5.279541015625,0.003239672165364027,26174
3783,7,29408,1350,21.69,-11.166717619999996,0.00073,3.053727626800537,0.11927744001150131,-3.9267210960388184,0.003082416020333767,26407
3819,7,29670,1360,21.67,-10.945649840000002,0.00073,3.060502290725708,0.11596523225307465,8.35693073272705,0.003076347289606929,26669
3844,7,29848,1370,21.44,-10.853783190000003,0.00073,3.150275707244873,0.11780103296041489,-12.409642219543457,0.0032164740841835737,26847
3868,7,30025,1380,21.27,-10.07284757,0.00073,2.9586033821105957,0.10172581672668457,-9.398597717285156,0.0030416364315897226,27024
3898,7,30246,1390,21.38,-10.05151866,0.00073,3.3645801544189453,0.1269281655550003,-10.661334991455078,0.003019510768353939,27245
3929,7,30471,1400,20.79,-9.70875861,0.00073,3.221069812774658,0.105147585272789,3.6779415607452393,0.002834769431501627,27470
3956,7,30668,1410,20.87,-9.768601069999999,0.00073,3.2727620601654053,0.11653877794742584,8.796692848205566,0.003045814810320735,27667
3986,7,30887,1420,21.42,-9.96505991,0.00073,3.1549830436706543,0.10530590265989304,3.8472342491149902,0.0029162291903048754,27886
4014,7,31087,1430,21.36,-9.743923969999999,0.00073,3.432340145111084,0.08390398323535919,-3.8125503063201904,0.0027329002041369677,28086
4050,7,31340,1440,21.65,-9.763395560000001,0.00073,3.226383924484253,0.09019212424755096,2.726118803024292,0.002688606735318899,28339
4087,7,31607,1450,21.99,-9.85252053,0.00073,3.3847899436950684,0.08882953971624374,6.389403820037842,0.002676256000995636,28606
4131,7,31919,1460,22.49,-10.35563099,0.00073,3.2145299911499023,0.09182282537221909,14.056194305419922,0.0027372248005121946,28918
4163,7,32147,1470,22.99,-10.86792367,0.00073,3.4377224445343018,0.08016043901443481,-25.723289489746094,0.002690662629902363,29146
4203,7,32433,1480,24.08,-11.313556239999999,0.00073,3.387983798980713,0.08032771199941635,12.01478385925293,0.0024178521707654,29432
4226,7,32602,1490,23.56,-11.029982450000002,0.00073,3.653085231781006,0.08019950985908508,19.360185623168945,0.0024094805121421814,29601
4252,7,32787,1500,23.16,-11.046791579999999,0.00073,3.533435344696045,0.09499853849411011,9.637832641601562,0.0023929879534989595,29786
