time/fps,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/actor_loss,train/learning_rate,train/ent_coef,train/n_updates,train/ent_coef_loss,train/critic_loss
6,940,198.61,27128,184394,852.3685501399999,-417.7726745605469,0.00073,0.053004149347543716,181393,0.2045782208442688,71.87299346923828
6,950,200.0,27450,186394,900.86189186,-414.2284240722656,0.00073,0.05229724198579788,183393,-0.8516460657119751,52.987083435058594
6,960,200.0,27774,188394,922.4958445100002,-399.0278625488281,0.00073,0.05276385694742203,185393,2.0096871852874756,72.713134765625
6,970,200.0,28095,190394,987.7742354199999,-400.5746765136719,0.00073,0.05246156454086304,187393,-3.321706533432007,59.1566047668457
6,980,200.0,28417,192394,1010.0994305000002,-412.8719787597656,0.00073,0.05159612372517586,189393,4.333517074584961,53.36943054199219
6,990,200.0,28746,194394,1003.57405626,-413.2843322753906,0.00073,0.05284038558602333,191393,-3.059473991394043,41.128692626953125
6,1000,200.0,29067,196394,1038.06649954,-436.3293762207031,0.00073,0.052011411637067795,193393,0.12235105037689209,65.97462463378906
6,1010,200.0,29386,198394,1119.19607534,-413.6224365234375,0.00073,0.050922974944114685,195393,-1.3195818662643433,59.062278747558594
6,1020,200.0,29698,200394,1085.98636339,-434.1324462890625,0.00073,0.051368348300457,197393,-7.0508880615234375,54.10874938964844
6,1030,200.0,30022,202394,1131.73069537,-405.9336853027344,0.00073,0.04954269528388977,199393,1.4094489812850952,76.61083984375
6,1040,200.0,30327,204394,1153.25440909,-431.08880615234375,0.00073,0.04909580945968628,201393,2.1969995498657227,57.63852310180664
6,1050,200.0,30625,206394,1163.92215068,-429.1638488769531,0.00073,0.05240670591592789,203393,1.8322081565856934,53.34325408935547
6,1060,200.0,30908,208394,1115.75509564,-403.7054748535156,0.00073,0.05146375671029091,205393,-3.549631118774414,73.92501831054688
6,1070,200.0,31193,210394,1108.99079817,-420.5728759765625,0.00073,0.04988723620772362,207393,3.558511734008789,46.28742980957031
6,1080,200.0,31475,212394,1118.99189626,-448.48529052734375,0.00073,0.050138700753450394,209393,-0.18964269757270813,60.383056640625
6,1090,200.0,31767,214394,1120.98048347,-415.3974609375,0.00073,0.05000342056155205,211393,3.2803773880004883,65.0182876586914
6,1100,200.0,32070,216394,1099.67118344,-445.2823486328125,0.00073,0.04996760934591293,213393,-7.599088668823242,64.94080352783203
6,1110,200.0,32402,218394,1073.51045232,-425.0856018066406,0.00073,0.04745950177311897,215393,8.000267028808594,44.30128860473633
6,1120,200.0,32727,220394,1130.30115847,-432.78326416015625,0.00073,0.04828182980418205,217393,1.3509931564331055,59.3598747253418
6,1130,200.0,33042,222394,1160.98064751,-418.9053955078125,0.00073,0.05010765418410301,219393,-2.3148112297058105,53.90586853027344
6,1140,200.0,33367,224394,1209.7477155000001,-408.3052978515625,0.00073,0.047444794327020645,221393,-5.5171942710876465,53.18617248535156
6,1150,200.0,33701,226394,1228.2858303599999,-419.06060791015625,0.00073,0.04648730158805847,223393,-10.597905158996582,51.13985824584961
6,1160,200.0,34032,228394,1269.32906868,-404.80340576171875,0.00073,0.048439886420965195,225393,-4.845083236694336,50.14081573486328
6,1170,200.0,34366,230394,1254.16700957,-432.8455810546875,0.00073,0.04585837572813034,227393,11.582188606262207,49.72663879394531
6,1180,200.0,34714,232394,1211.9974538899999,-442.4635009765625,0.00073,0.04444499313831329,229393,-3.0367279052734375,58.43501663208008
6,1190,200.0,35049,234394,1262.2557219599998,-421.4791564941406,0.00073,0.046720415353775024,231393,-1.964369297027588,44.693931579589844
6,1200,200.0,35399,236394,1345.69482506,-434.12860107421875,0.00073,0.046649836003780365,233393,-4.390393257141113,53.184688568115234
6,1210,200.0,35724,238394,1403.2219108000004,-434.3480224609375,0.00073,0.04762154072523117,235393,3.1998183727264404,46.42504119873047
6,1220,200.0,36033,240394,1380.31349745,-422.41754150390625,0.00073,0.045407120138406754,237393,5.138647079467773,57.51500701904297
6,1230,200.0,36348,242394,1435.65536088,-445.2645263671875,0.00073,0.0448266975581646,239393,0.47626233100891113,50.75599670410156
