time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/ent_coef,train/n_updates,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/actor_loss
7,525000,73952,655.21100929,100.0,5250,0.028371894732117653,521999,0.00073,1.161834478378296,3.146714210510254,-269.79925537109375
7,526000,74100,655.80792338,100.0,5260,0.029524823650717735,522999,0.00073,1.1177747249603271,2.7955543994903564,-270.75445556640625
7,527000,74249,655.8779841,100.0,5270,0.02828453853726387,523999,0.00073,1.0787148475646973,2.2777347564697266,-277.47528076171875
7,528000,74397,656.3410458,100.0,5280,0.02874073199927807,524999,0.00073,1.2459664344787598,-10.33482837677002,-275.920654296875
7,529000,74544,656.76362337,100.0,5290,0.029407670721411705,525999,0.00073,1.4288592338562012,1.817922830581665,-271.493896484375
7,530000,74692,657.26620787,100.0,5300,0.030229099094867706,526999,0.00073,1.3361965417861938,-0.17802083492279053,-272.4684753417969
7,531000,74840,657.87588406,100.0,5310,0.02890147641301155,527999,0.00073,1.0936925411224365,-0.7193899750709534,-273.7582702636719
7,532000,74987,659.49928077,100.0,5320,0.02851329743862152,528999,0.00073,1.0233300924301147,-1.772233486175537,-275.9871520996094
7,533000,75133,659.9868982799999,100.0,5330,0.027800535783171654,529999,0.00073,0.9238365888595581,2.3479270935058594,-275.37127685546875
7,534000,75282,660.43101479,100.0,5340,0.027391735464334488,530999,0.00073,1.466754674911499,4.116223335266113,-273.7920837402344
7,535000,75430,662.01967739,100.0,5350,0.02852383628487587,531999,0.00073,1.1964244842529297,0.7083693742752075,-278.03277587890625
7,536000,75578,662.42824895,100.0,5360,0.028650622814893723,532999,0.00073,0.9727716445922852,0.21964406967163086,-271.8265380859375
7,537000,75728,662.7829978700001,100.0,5370,0.02864578552544117,533999,0.00073,1.2248810529708862,-2.4884979724884033,-276.19580078125
7,538000,75876,662.85219059,100.0,5380,0.027826324105262756,534999,0.00073,1.206710696220398,-1.4727070331573486,-281.1840515136719
7,539000,76024,663.3259723599999,100.0,5390,0.02837366797029972,535999,0.00073,1.2110977172851562,4.01749324798584,-277.0088806152344
7,540000,76173,663.4871413599999,100.0,5400,0.029704134911298752,536999,0.00073,2.705129384994507,-4.85133695602417,-280.91912841796875
7,541000,76320,660.20112287,100.0,5410,0.031997326761484146,537999,0.00073,1.600595235824585,0.8108056783676147,-283.1298522949219
7,542000,76466,643.9590692999999,100.0,5420,0.036815326660871506,538999,0.00073,3.253418445587158,0.8261799216270447,-286.8160095214844
7,543000,76611,548.90162828,100.0,5430,0.04592245817184448,539999,0.00073,6.608922004699707,36.39663314819336,-295.2577819824219
7,544000,76757,456.71447573,100.0,5440,0.06269129365682602,540999,0.00073,4.77998685836792,3.2339706420898438,-322.44708251953125
7,545000,76903,367.14983086000007,100.0,5450,0.036738235503435135,541999,0.00073,2.8680076599121094,-10.364740371704102,-316.5057373046875
7,546000,77045,290.00640949999996,100.0,5460,0.032170530408620834,542999,0.00073,2.5378847122192383,0.2451721578836441,-292.92425537109375
7,547000,77195,287.92801632,100.0,5470,0.031230641528964043,543999,0.00073,1.8073487281799316,-1.3625532388687134,-288.6585388183594
7,548000,77342,287.19369833,100.0,5480,0.030299481004476547,544999,0.00073,1.90912663936615,-0.42601802945137024,-283.85931396484375
