time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/episodes,train/n_updates,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/actor_loss,train/ent_coef
7846,-222.95571761,48.47,7,61318,1370,58317,7.94534969329834,4.63217306137085,0.00073,97.22306060791016,0.016231562942266464
7912,-224.19812659000002,48.44,7,61804,1380,58803,-4.592270851135254,5.1999006271362305,0.00073,98.13729858398438,0.016797207295894623
7979,-222.59263128000003,48.43,7,62281,1390,59280,-1.697679877281189,4.124258041381836,0.00073,93.5015869140625,0.016551535576581955
8047,-214.56319326000005,48.58,7,62781,1400,59780,6.922019958496094,4.499314308166504,0.00073,99.33879852294922,0.016590459272265434
8112,-217.89501138999995,48.44,7,63261,1410,60260,-10.844767570495605,3.883516788482666,0.00073,98.84101867675781,0.016460873186588287
8176,-217.49112760999992,48.51,7,63734,1420,60733,2.187901496887207,3.335705518722534,0.00073,98.63866424560547,0.01730962097644806
8243,-218.70292542999996,48.54,7,64225,1430,61224,-4.471295356750488,4.486385822296143,0.00073,102.3191146850586,0.016957169398665428
8311,-217.83577753999998,48.73,7,64725,1440,61724,9.505735397338867,4.509329795837402,0.00073,98.89067840576172,0.016657084226608276
8377,-216.17201119,48.73,7,65214,1450,62213,1.0543724298477173,4.15046501159668,0.00073,98.10618591308594,0.016830753535032272
8442,-217.20814555000004,48.61,7,65693,1460,62692,2.696530818939209,4.264654636383057,0.00073,97.38336944580078,0.016765816137194633
8509,-216.83392868,48.66,7,66184,1470,63183,-0.3986819088459015,4.046474456787109,0.00073,104.30384063720703,0.016169406473636627
8574,-214.10484818000003,48.49,7,66653,1480,63652,6.920816421508789,5.219393730163574,0.00073,100.43264770507812,0.01626511849462986
8640,-213.55421646000002,48.64,7,67145,1490,64144,-3.4745874404907227,4.590768814086914,0.00073,93.11601257324219,0.016242967918515205
8702,-223.07002226,48.25,7,67606,1500,64605,-6.2147440910339355,4.376373291015625,0.00073,100.89654541015625,0.016951413825154305
8766,-221.18546085000003,48.25,7,68086,1510,65085,3.662105083465576,5.516301155090332,0.00073,100.22923278808594,0.017104540020227432
8834,-217.06504944000005,48.49,7,68583,1520,65582,-5.474364757537842,4.874433994293213,0.00073,93.47102355957031,0.017271950840950012
8901,-216.73466994999998,48.57,7,69082,1530,66081,3.641855239868164,4.375221252441406,0.00073,90.252197265625,0.017041325569152832
8963,-218.30021448000002,48.21,7,69546,1540,66545,0.6560895442962646,4.205370903015137,0.00073,97.87673950195312,0.017206402495503426
9025,-223.07020715999997,47.94,7,70008,1550,67007,5.775084972381592,4.37473201751709,0.00073,99.57209014892578,0.01688675954937935
9093,-222.04117486000004,48.14,7,70507,1560,67506,-0.01051628589630127,6.131941795349121,0.00073,94.16836547851562,0.01677481271326542
9160,-221.33474501999999,48.16,7,71000,1570,67999,1.3245291709899902,4.214151859283447,0.00073,94.39056396484375,0.01726524718105793
9222,-220.14851809000004,48.21,7,71474,1580,68473,-5.981330871582031,4.427720546722412,0.00073,98.53081512451172,0.01714061200618744
9286,-216.69013698999998,48.0,7,71945,1590,68944,-3.601649761199951,4.326488494873047,0.00073,103.73867797851562,0.017601903527975082
9345,-217.21336185,47.75,7,72381,1600,69380,-1.5861787796020508,4.338888168334961,0.00073,99.14242553710938,0.017948701977729797
9408,-217.20576941,47.61,7,72847,1610,69846,-2.56354022026062,4.52962064743042,0.00073,99.21212005615234,0.017971910536289215
9474,-213.67466962999998,47.54,7,73337,1620,70336,1.5704386234283447,5.450329780578613,0.00073,100.11827850341797,0.018036669120192528
9541,-207.67704374000002,47.55,7,73837,1630,70836,-3.5815494060516357,4.4010467529296875,0.00073,96.65423583984375,0.017622731626033783
9604,-205.19093263000002,47.64,7,74310,1640,71309,1.3902826309204102,3.6793394088745117,0.00073,99.01614379882812,0.017846861854195595
9671,-199.85624694999996,47.94,7,74802,1650,71801,6.5580596923828125,4.618197441101074,0.00073,96.70722198486328,0.017276916652917862
9738,-198.35375148999995,47.86,7,75293,1660,72292,2.7155914306640625,4.275809288024902,0.00073,94.47923278808594,0.01649317890405655
9804,-199.91585400999998,47.79,7,75779,1670,72778,7.082653999328613,4.084579944610596,0.00073,94.57028198242188,0.017084602266550064
9873,-191.54446821000002,48.05,7,76279,1680,73278,-7.069397926330566,4.497413635253906,0.00073,93.27412414550781,0.01712450198829174
9939,-191.10571369000002,48.21,7,76766,1690,73765,-2.7681312561035156,4.105909824371338,0.00073,99.6122055053711,0.016994163393974304
10001,-184.17356934,48.45,7,77226,1700,74225,-2.6691019535064697,3.8046066761016846,0.00073,99.59262084960938,0.016657838597893715
10067,-181.48053202000003,48.64,7,77711,1710,74710,-8.806052207946777,3.9063198566436768,0.00073,98.49857330322266,0.016444271430373192
10135,-185.96537467,48.72,7,78209,1720,75208,5.894515037536621,4.242082118988037,0.00073,97.07168579101562,0.016562430188059807
10198,-194.45612023999993,48.3,7,78667,1730,75666,-2.04252290725708,4.288287162780762,0.00073,97.21649169921875,0.016915103420615196
10267,-188.77645303,48.5,7,79160,1740,76159,-4.255061626434326,5.38056755065918,0.00073,97.75189208984375,0.017364438623189926
10333,-184.70318726000002,48.41,7,79643,1750,76642,4.408346176147461,4.267386436462402,0.00073,96.6988754272461,0.0175178200006485
10399,-185.29529564000003,48.31,7,80124,1760,77123,-1.1782547235488892,5.431070327758789,0.00073,99.21521759033203,0.01776621676981449
10466,-182.70132592000002,48.39,7,80618,1770,77617,0.5897704362869263,4.256635665893555,0.00073,90.91487121582031,0.017842939123511314
10535,-188.84920194999998,48.31,7,81110,1780,78109,12.349236488342285,4.934168815612793,0.00073,93.24063110351562,0.017629750072956085
10600,-194.8283887,48.22,7,81588,1790,78587,3.7293262481689453,6.1639814376831055,0.00073,98.79499816894531,0.01765221729874611
10666,-195.19920973,48.4,7,82066,1800,79065,-5.770767688751221,4.9576263427734375,0.00073,97.26434326171875,0.017123080790042877
10734,-191.34628664,48.55,7,82566,1810,79565,3.6795849800109863,4.974910736083984,0.00073,92.37803649902344,0.017362037673592567
10803,-185.08238197999995,48.57,7,83066,1820,80065,-2.047700881958008,4.8130598068237305,0.00073,96.28560638427734,0.018086086958646774
10869,-181.25307632,48.85,7,83552,1830,80551,1.7627873420715332,4.417684555053711,0.00073,98.8877182006836,0.018018556758761406
