time/episodes,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/n_updates
660,23804,8,-9.28745901,2873,46.54,0.0028555686585605145,0.00073,2.7350528240203857,8.496023178100586,0.17311137914657593,20803
670,24203,8,-8.580750239999999,2927,45.69,0.0030053805094212294,0.00073,3.188159942626953,-12.777958869934082,0.07132028043270111,21202
680,24695,8,-7.725580829999999,2993,45.73,0.0028866417706012726,0.00073,2.815511703491211,4.673317909240723,0.07766483724117279,21694
690,25165,8,-6.743269850000001,3057,46.25,0.0029162459541112185,0.00073,2.887641668319702,-4.427138805389404,0.07048488408327103,22164
700,25603,8,-5.741289029999999,3116,45.63,0.002750975778326392,0.00073,2.8788716793060303,-1.0945053100585938,0.06600785255432129,22602
710,25950,8,-4.16943253,3163,44.19,0.0028312234207987785,0.00073,2.9395172595977783,8.904584884643555,0.12356270849704742,22949
720,26450,8,-2.7442602400000005,3231,44.56,0.002829220611602068,0.00073,2.8822507858276367,9.170594215393066,0.04845498502254486,23449
730,26948,8,-1.8055935600000002,3298,44.54,0.0028498107567429543,0.00073,2.4803030490875244,-1.1342097520828247,0.05869925767183304,23947
740,27328,8,-1.7244513599999995,3350,43.54,0.0028544673696160316,0.00073,2.5637667179107666,5.011469841003418,0.08803443610668182,24327
750,27753,8,-2.2549168600000002,3408,43.09,0.0028880336321890354,0.00073,2.5138511657714844,-4.1382317543029785,0.10159555077552795,24752
760,28155,8,-1.83132168,3463,43.51,0.0028374199755489826,0.00073,2.5115535259246826,-13.057376861572266,0.12736646831035614,25154
770,28577,8,-1.3124584499999998,3520,43.74,0.0029941261745989323,0.00073,2.5792903900146484,12.115530014038086,0.07275045663118362,25576
780,29077,8,-0.67853927,3589,43.82,0.0032779776956886053,0.00073,1.5688120126724243,-9.44225788116455,0.07133669406175613,26076
790,29448,8,-1.0394127800000001,3639,42.83,0.0033555254340171814,0.00073,0.9382186532020569,-2.787813901901245,0.09097649157047272,26447
800,29859,8,-1.6427692999999999,3694,42.56,0.0033660687040537596,0.00073,1.3902547359466553,-5.959761619567871,0.075663261115551,26858
810,30359,8,-1.3688987600000002,3762,44.09,0.0035284424666315317,0.00073,1.099108338356018,-5.338674545288086,0.1320599764585495,27358
820,30834,8,-1.3897821199999998,3827,43.84,0.0035257430281490088,0.00073,0.8737694621086121,2.410020351409912,0.06729317456483841,27833
830,31210,8,-1.3056393,3877,42.62,0.0036330113653093576,0.00073,0.2026977837085724,17.72555160522461,0.08816133439540863,28209
840,31520,8,-1.34621663,3919,41.92,0.0037053038831800222,0.00073,0.39265957474708557,-4.396929740905762,0.08638004213571548,28519
850,32008,8,-0.17282229000000002,3985,42.55,0.0037549366243183613,0.00073,-0.6463420987129211,0.6415950059890747,0.07007308304309845,29007
860,32508,8,-0.07818349999999998,4053,43.53,0.003963555209338665,0.00073,-0.30552130937576294,5.800457954406738,0.10146335512399673,29507
870,33008,8,-0.80073779,4121,44.31,0.003932110499590635,0.00073,-0.9066990613937378,10.045792579650879,0.062274664640426636,30007
880,33479,7,-0.78087896,4185,44.02,0.004158106166869402,0.00073,-1.0512601137161255,10.306097984313965,0.09695342928171158,30478
890,33861,7,-1.17097066,4237,44.13,0.004476368427276611,0.00073,-1.937563180923462,-10.395272254943848,0.13880187273025513,30860
900,34207,7,-1.17912008,4285,43.48,0.0044821202754974365,0.00073,-1.9115369319915771,-4.70328426361084,0.40428227186203003,31206
910,34672,7,-0.67922601,4348,43.13,0.00468231039121747,0.00073,-2.665475606918335,-1.8359289169311523,0.12357073277235031,31671
920,34968,7,-0.53156427,4387,41.34,0.004577425308525562,0.00073,-3.08617901802063,11.792643547058105,0.14042331278324127,31967
930,35410,7,-0.64233139,4449,42.0,0.004575574770569801,0.00073,-2.9117109775543213,-9.181662559509277,0.09768782556056976,32409
940,35730,7,-0.66902324,4494,42.1,0.004833366721868515,0.00073,-3.770132541656494,-3.0266356468200684,0.15241718292236328,32729
950,36169,7,-0.9816373100000001,4555,41.61,0.00472583482041955,0.00073,-4.359126091003418,1.363886833190918,0.10784098505973816,33168
960,36669,7,-1.4514968400000001,4623,41.61,0.004872123245149851,0.00073,-4.442087650299072,-4.095908164978027,0.13824725151062012,33668
970,37127,7,-1.65747674,4686,41.19,0.004900486208498478,0.00073,-5.308003902435303,3.4145612716674805,0.1533285677433014,34126
980,37456,7,-2.4086728200000005,4731,39.77,0.005004987586289644,0.00073,-4.692992210388184,-1.6980078220367432,0.14938662946224213,34455
990,37861,7,-1.70202462,4786,40.0,0.005115572363138199,0.00073,-5.328158855438232,8.150938034057617,0.15838418900966644,34860
1000,38345,7,-0.7802902499999997,4852,41.38,0.005403327289968729,0.00073,-5.137989044189453,6.127644062042236,0.21077758073806763,35344
1010,38845,7,-0.5713488999999999,4920,41.73,0.005529970861971378,0.00073,-5.024065971374512,-0.6687619686126709,0.2509633004665375,35844
1020,39334,7,0.36735002000000017,4987,43.66,0.005529767833650112,0.00073,-6.152839183807373,2.2175421714782715,0.154398113489151,36333
1030,39725,7,0.57047387,5039,43.15,0.006020898465067148,0.00073,-7.106445789337158,18.64798355102539,0.15833419561386108,36724
