rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/actor_loss,train/n_updates,train/ent_coef_loss,train/critic_loss,train/ent_coef
200.0,20553,7,151398,661.0801180399999,780,0.00073,-388.08642578125,148397,-6.616425037384033,73.81405639648438,0.060385752469301224
200.0,20838,7,153398,712.8939362699998,790,0.00073,-336.77679443359375,150397,7.381919860839844,58.919654846191406,0.058798011392354965
200.0,21119,7,155398,712.41049583,800,0.00073,-344.70111083984375,152397,-3.052128314971924,71.31851196289062,0.056477293372154236
200.0,21405,7,157398,757.9442459300001,810,0.00073,-344.64715576171875,154397,0.2412502020597458,68.05433654785156,0.05511423945426941
200.0,21690,7,159398,805.6000344700001,820,0.00073,-354.0802917480469,156397,3.5455939769744873,74.95672607421875,0.05594216287136078
200.0,21977,7,161398,786.1088790400001,830,0.00073,-348.23388671875,158397,-6.540847301483154,69.45344543457031,0.05394700542092323
200.0,22269,7,163398,815.1333708300001,840,0.00073,-346.0338134765625,160397,4.49625301361084,63.07991027832031,0.054295167326927185
200.0,22552,7,165398,885.03054206,850,0.00073,-332.4856262207031,162397,-2.159834623336792,71.81625366210938,0.05324684455990791
200.0,22830,7,167398,893.34163706,860,0.00073,-350.95855712890625,164397,-3.24393892288208,75.16551971435547,0.051209039986133575
200.0,23109,7,169398,864.9104829200002,870,0.00073,-309.9964294433594,166397,-8.272083282470703,74.98313903808594,0.053026825189590454
200.0,23391,7,171398,822.31478455,880,0.00073,-326.12115478515625,168397,-8.98226547241211,64.72500610351562,0.05027131363749504
200.0,23675,7,173398,825.2225662900001,890,0.00073,-323.8033142089844,170397,0.39952343702316284,77.48934936523438,0.05121609941124916
200.0,23957,7,175398,811.9562547900002,900,0.00073,-331.9703369140625,172397,-2.818047046661377,66.35533142089844,0.05033586174249649
200.0,24234,7,177398,841.8984665799998,910,0.00073,-334.7259521484375,174397,2.0175886154174805,68.37135314941406,0.04916186258196831
200.0,24526,7,179398,855.99693124,920,0.00073,-326.4257507324219,176397,-0.9454255700111389,70.67115783691406,0.04853811487555504
200.0,24814,7,181398,944.3808410500002,930,0.00073,-333.654296875,178397,-6.3645782470703125,68.81705474853516,0.04858337342739105
200.0,25102,7,183398,912.6528224599999,940,0.00073,-317.44024658203125,180397,-1.3138926029205322,60.290489196777344,0.048437900841236115
200.0,25390,7,185398,874.9116980399999,950,0.00073,-329.5174560546875,182397,0.8349587917327881,53.169857025146484,0.04803624376654625
200.0,25678,7,187398,903.4199232599998,960,0.00073,-328.883544921875,184397,3.803189754486084,77.65068054199219,0.04829517379403114
200.0,25963,7,189398,867.01584212,970,0.00073,-327.409423828125,186397,-3.204442024230957,73.97545623779297,0.04685964807868004
200.0,26246,7,191398,879.6560298699999,980,0.00073,-314.3551025390625,188397,4.592555046081543,80.11677551269531,0.04876866191625595
200.0,26532,7,193398,861.59166599,990,0.00073,-340.8083801269531,190397,-6.176379203796387,70.20089721679688,0.047337502241134644
200.0,26817,7,195398,865.0157513599999,1000,0.00073,-329.2591552734375,192397,1.689737319946289,78.23143768310547,0.04745662957429886
200.0,27104,7,197398,786.3444757899998,1010,0.00073,-331.60028076171875,194397,6.311554908752441,81.86158752441406,0.04615531489253044
200.0,27395,7,199398,764.9606104399999,1020,0.00073,-326.0049133300781,196397,1.1261955499649048,59.95842742919922,0.04578450322151184
200.0,27684,7,201398,680.20171133,1030,0.00073,-333.473388671875,198397,0.7772099375724792,61.00136947631836,0.046369168907403946
200.0,27973,7,203398,660.9661648200001,1040,0.00073,-353.67889404296875,200397,-8.751039505004883,71.30748748779297,0.04439066722989082
200.0,28266,7,205398,711.6993120599999,1050,0.00073,-348.8359375,202397,3.910019874572754,56.86915588378906,0.04644829407334328
200.0,28555,7,207398,706.12556961,1060,0.00073,-329.2878112792969,204397,-1.24009370803833,75.69281005859375,0.04525553062558174
200.0,28842,7,209398,730.5618903899999,1070,0.00073,-328.6668701171875,206397,1.9713068008422852,47.75050735473633,0.046484384685754776
200.0,29132,7,211398,761.7737772800001,1080,0.00073,-348.72430419921875,208397,-2.0746536254882812,53.93132019042969,0.0430251844227314
200.0,29421,7,213398,703.9135260300002,1090,0.00073,-341.6573791503906,210397,-3.8345961570739746,67.00919342041016,0.04302975907921791
200.0,29708,7,215398,805.6932024700001,1100,0.00073,-340.9850158691406,212397,-8.153788566589355,62.52031326293945,0.04266713187098503
200.0,29998,7,217398,856.29149718,1110,0.00073,-343.6024169921875,214397,-8.965521812438965,58.16892623901367,0.04303303360939026
200.0,30283,7,219398,932.4873025400001,1120,0.00073,-313.9683532714844,216397,4.04351282119751,60.009281158447266,0.04274323955178261
200.0,30564,7,221398,925.6885825099998,1130,0.00073,-336.29241943359375,218397,1.4146778583526611,66.44587707519531,0.04326349124312401
200.0,30849,7,223398,977.55748066,1140,0.00073,-335.370849609375,220397,2.136894464492798,62.554378509521484,0.04232339560985565
200.0,31132,7,225398,989.78279706,1150,0.00073,-341.8897705078125,222397,-2.1479570865631104,56.04399108886719,0.04288700595498085
200.0,31415,7,227398,1007.0604068399999,1160,0.00073,-327.6674499511719,224397,-4.339211940765381,61.313804626464844,0.041941892355680466
200.0,31699,7,229398,1071.53139703,1170,0.00073,-315.52484130859375,226397,3.3518033027648926,68.7529525756836,0.042122773826122284
200.0,31980,7,231398,1040.7190416300002,1180,0.00073,-363.0585632324219,228397,0.45243263244628906,63.08498764038086,0.04385695233941078
200.0,32267,7,233398,1135.2221883099999,1190,0.00073,-328.7413330078125,230397,-3.1402480602264404,49.49815368652344,0.04210897907614708
200.0,32555,7,235398,1103.2789310500002,1200,0.00073,-339.60650634765625,232397,8.263797760009766,59.623626708984375,0.04229028895497322
200.0,32842,7,237398,1138.97422708,1210,0.00073,-362.73193359375,234397,-4.009620189666748,48.76584243774414,0.04325874522328377
200.0,33129,7,239398,1089.44749465,1220,0.00073,-328.04791259765625,236397,12.141404151916504,61.34961700439453,0.04296441003680229
200.0,33417,7,241398,1156.7914310200001,1230,0.00073,-363.7184753417969,238397,-6.615047454833984,73.49517059326172,0.04092595726251602
200.0,33708,7,243398,1185.81225412,1240,0.00073,-321.42724609375,240397,3.236204147338867,67.97785949707031,0.039007097482681274
200.0,33998,7,245398,1180.0301273799998,1250,0.00073,-350.0150451660156,242397,7.030120849609375,57.9659538269043,0.039880916476249695
200.0,34286,7,247398,1109.8245513200002,1260,0.00073,-363.41143798828125,244397,-0.8121100664138794,59.05044937133789,0.04165846109390259
200.0,34575,7,249398,1079.04871257,1270,0.00073,-340.9637145996094,246397,-8.180068969726562,65.6463394165039,0.041578277945518494
200.0,34864,7,251398,1163.33685844,1280,0.00073,-345.61669921875,248397,6.641286373138428,61.926727294921875,0.04139109328389168
200.0,35153,7,253398,1118.1390432100002,1290,0.00073,-330.89495849609375,250397,-0.7564594745635986,67.16664123535156,0.04079565778374672
200.0,35446,7,255398,1076.0725310999999,1300,0.00073,-348.7471618652344,252397,2.1701037883758545,71.3115234375,0.04072032868862152
200.0,35735,7,257398,1048.11121557,1310,0.00073,-342.5235595703125,254397,7.586056709289551,57.79643630981445,0.04033159464597702
200.0,36022,7,259398,1045.5729379,1320,0.00073,-363.7886657714844,256397,-11.430123329162598,43.87469482421875,0.040844183415174484
200.0,36311,7,261398,1033.2617375399998,1330,0.00073,-351.08343505859375,258397,-0.5501570701599121,62.87224578857422,0.041020467877388
200.0,36598,7,263398,1012.35156642,1340,0.00073,-359.72906494140625,260397,1.3637101650238037,78.23341369628906,0.04017983376979828
200.0,36890,7,265398,991.0052015499999,1350,0.00073,-342.0635070800781,262397,-4.168524265289307,54.788917541503906,0.04012180492281914
200.0,37182,7,267398,1089.75812021,1360,0.00073,-361.6579284667969,264397,-8.958468437194824,55.92939758300781,0.040523555129766464
200.0,37470,7,269398,1047.04434296,1370,0.00073,-346.8739318847656,266397,-0.3733184337615967,59.65119552612305,0.039877790957689285
200.0,37758,7,271398,981.2806115,1380,0.00073,-328.8699645996094,268397,-1.0707284212112427,61.52043533325195,0.039244186133146286
200.0,38046,7,273398,1058.2749089000001,1390,0.00073,-343.51226806640625,270397,3.9794554710388184,48.5130615234375,0.038648899644613266
200.0,38332,7,275398,1131.54042985,1400,0.00073,-348.33331298828125,272397,-2.9986486434936523,73.39269256591797,0.038719676434993744
200.0,38617,7,277398,1085.62320678,1410,0.00073,-346.60443115234375,274397,-7.359912395477295,71.49267578125,0.0384439118206501
200.0,38902,7,279398,1142.8418795799998,1420,0.00073,-340.59735107421875,276397,3.7872414588928223,51.30188751220703,0.038267336785793304
200.0,39185,7,281398,1155.8552660300002,1430,0.00073,-350.7001953125,278397,1.3612474203109741,54.145904541015625,0.036951206624507904
200.0,39472,7,283398,1151.37577399,1440,0.00073,-369.8883056640625,280397,-2.0432674884796143,62.974082946777344,0.03822881728410721
200.0,39757,7,285398,1120.9130949100002,1450,0.00073,-357.6206359863281,282397,5.978780269622803,65.51458740234375,0.039532437920570374
200.0,40055,7,287398,1097.38642117,1460,0.00073,-353.2322082519531,284397,-3.5718190670013428,70.15803527832031,0.03956753388047218
200.0,40346,7,289398,1179.84339933,1470,0.00073,-364.4989318847656,286397,1.580981731414795,68.42050170898438,0.03743148595094681
200.0,40635,7,291398,1269.58261961,1480,0.00073,-356.69775390625,288397,-8.862322807312012,63.48746871948242,0.039542220532894135
200.0,40925,7,293398,1275.77847136,1490,0.00073,-346.60302734375,290397,-2.5873286724090576,58.818084716796875,0.03860517218708992
200.0,41215,7,295398,1205.3991734699998,1500,0.00073,-327.0362243652344,292397,13.080185890197754,55.870994567871094,0.037880077958106995
200.0,41504,7,297398,1287.2139342599999,1510,0.00073,-347.9765625,294397,2.480849266052246,60.51312255859375,0.037099678069353104
200.0,41788,7,299398,1239.5659415,1520,0.00073,-369.1276550292969,296397,4.962728500366211,60.48149871826172,0.03671124204993248
200.0,42074,7,301398,1234.6933650899998,1530,0.00073,-375.3599548339844,298397,-17.388792037963867,53.1617546081543,0.03715168684720993
200.0,42363,7,303398,1271.7395337799999,1540,0.00073,-366.94464111328125,300397,-7.948554039001465,77.763671875,0.03698429465293884
200.0,42653,7,305398,1324.2512833900003,1550,0.00073,-390.5631103515625,302397,3.7566261291503906,53.65235900878906,0.035852253437042236
200.0,42947,7,307398,1282.3642848499999,1560,0.00073,-374.3377685546875,304397,-2.5934808254241943,48.64484405517578,0.03624040260910988
200.0,43237,7,309398,1238.20398976,1570,0.00073,-382.5153503417969,306397,-7.74724817276001,67.06327819824219,0.03491753712296486
200.0,43527,7,311398,1246.76436052,1580,0.00073,-371.8620300292969,308397,4.701645851135254,48.613746643066406,0.03455887734889984
200.0,43817,7,313398,1162.45174641,1590,0.00073,-383.2874755859375,310397,1.5106422901153564,73.93435668945312,0.03566686064004898
200.0,44111,7,315398,1194.87152749,1600,0.00073,-390.15374755859375,312397,3.757114887237549,49.00056457519531,0.03478769212961197
200.0,44401,7,317398,1177.5214158500003,1610,0.00073,-376.13751220703125,314397,-3.802490711212158,68.8192138671875,0.036089830100536346
200.0,44692,7,319398,1220.2419730200002,1620,0.00073,-388.5152587890625,316397,1.6998051404953003,75.98320007324219,0.03610219433903694
200.0,44981,7,321398,1264.2556080599998,1630,0.00073,-365.7488098144531,318397,-4.591266632080078,56.27845001220703,0.035291366279125214
200.0,45274,7,323398,1177.0243027200004,1640,0.00073,-420.20526123046875,320397,-10.798493385314941,50.497039794921875,0.034878313541412354
200.0,45566,7,325398,1196.80331252,1650,0.00073,-371.66217041015625,322397,1.8802592754364014,43.17845916748047,0.035713568329811096
200.0,45850,7,327398,1255.3225931900001,1660,0.00073,-410.9539794921875,324397,-15.729214668273926,70.55198669433594,0.035809434950351715
200.0,46135,7,329398,1293.4200773499997,1670,0.00073,-403.25640869140625,326397,-3.5426089763641357,55.32994842529297,0.03578582778573036
