rollout/ep_rew_mean,time/total_timesteps,time/fps,time/episodes,rollout/ep_len_mean,time/time_elapsed,train/ent_coef,train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss,train/ent_coef_loss
-218.48288003,160000,6,1600,100.0,25151,0.0037157994229346514,156999,98.7603759765625,0.00073,0.38398292660713196,5.856415271759033
-219.65236865,161000,6,1610,100.0,25307,0.0037557261530309916,157999,96.10279846191406,0.00073,0.28588348627090454,5.902195453643799
-217.92790357,162000,6,1620,100.0,25472,0.0037346319295465946,158999,99.55606079101562,0.00073,0.37729281187057495,4.056958198547363
-217.51856883999997,163000,6,1630,100.0,25639,0.0036527772899717093,159999,98.54499816894531,0.00073,0.4236670434474945,4.91988468170166
-218.05584685999997,164000,6,1640,100.0,25804,0.0036545265465974808,160999,95.45891571044922,0.00073,0.3132525086402893,-8.045076370239258
-217.59029043999996,165000,6,1650,100.0,25968,0.00372205744497478,161999,96.58441162109375,0.00073,0.31567513942718506,10.23691463470459
-218.27259222,166000,6,1660,100.0,26125,0.0037069825921207666,162999,97.33960723876953,0.00073,0.36955976486206055,0.2722189426422119
-217.61362376,167000,6,1670,100.0,26267,0.0037932973355054855,163999,98.076904296875,0.00073,0.33848339319229126,-3.508951187133789
-216.07406895,168000,6,1680,100.0,26413,0.0037446036003530025,164999,96.36740112304688,0.00073,0.340451180934906,11.382133483886719
-214.48713288000002,169000,6,1690,100.0,26558,0.003735210746526718,165999,96.25785827636719,0.00073,0.31731414794921875,-2.807197332382202
-214.52621428999998,170000,6,1700,100.0,26707,0.003710549557581544,166999,95.91675567626953,0.00073,0.30984342098236084,2.873225688934326
-212.64099257,171000,6,1710,100.0,26882,0.0035350052639842033,167999,95.2118148803711,0.00073,0.3448719382286072,-1.5521231889724731
-212.78790722000002,172000,6,1720,100.0,27046,0.003620506264269352,168999,95.25882720947266,0.00073,0.32528162002563477,-4.878630638122559
-212.98401253999992,173000,6,1730,100.0,27207,0.0036645112559199333,169999,96.26715850830078,0.00073,0.32828015089035034,2.7427306175231934
-212.72994822999996,174000,6,1740,100.0,27363,0.0036271277349442244,170999,95.53916931152344,0.00073,0.2828614413738251,5.797435760498047
-211.61781878999997,175000,6,1750,100.0,27516,0.0037197242490947247,171999,95.10462951660156,0.00073,0.3565123677253723,-10.089845657348633
-209.77884620000003,176000,6,1760,100.0,27668,0.0035646508913487196,172999,95.98562622070312,0.00073,0.28768253326416016,10.781805038452148
-208.56753539000002,177000,6,1770,100.0,27821,0.003536144969984889,173999,94.3189697265625,0.00073,0.3108409643173218,0.059802889823913574
-208.4375164,178000,6,1780,100.0,27977,0.003623680677264929,174999,94.94618225097656,0.00073,0.33174020051956177,-6.0261030197143555
-209.08973994,179000,6,1790,100.0,28127,0.0037212269380688667,175999,96.13955688476562,0.00073,0.4310494661331177,-2.775484561920166
-208.76306685999995,180000,6,1800,100.0,28270,0.0037348740734159946,176999,95.87649536132812,0.00073,0.37953609228134155,16.697473526000977
-208.26546057,181000,6,1810,100.0,28415,0.003805767744779587,177999,95.57759094238281,0.00073,0.30631589889526367,2.0764145851135254
