time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/actor_loss,train/critic_loss,train/n_updates,train/ent_coef,train/ent_coef_loss,train/learning_rate
46990,7,58.97,6475,960,-214.66884711000003,-116.02220916748047,101.54798889160156,43989,0.08306358009576797,-4.891910552978516,0.00073
47472,7,57.41,6541,970,-231.49535869,-115.53272247314453,111.25700378417969,44471,0.08484281599521637,8.272896766662598,0.00073
48009,7,56.77,6615,980,-229.54968476000005,-109.69221496582031,80.87213897705078,45008,0.08489386737346649,-1.2786407470703125,0.00073
48625,7,57.61,6699,990,-216.55050723999997,-106.03797912597656,76.36785888671875,45624,0.08562681823968887,-0.48406052589416504,0.00073
49126,7,57.53,6767,1000,-218.38290755999998,-112.9451904296875,100.23809814453125,46125,0.08872214704751968,-2.8663649559020996,0.00073
49673,7,56.94,6842,1010,-208.10172136999995,-93.65306854248047,72.28755187988281,46672,0.09048767387866974,-1.7825255393981934,0.00073
50347,7,58.93,6935,1020,-217.08275201,-113.36604309082031,86.86497497558594,47346,0.08997242897748947,-3.0560600757598877,0.00073
51024,7,60.8,7028,1030,-219.12345828999997,-107.23292541503906,103.26270294189453,48023,0.08641935884952545,0.556789755821228,0.00073
51622,7,59.94,7109,1040,-214.6642788,-110.87339782714844,89.50871276855469,48621,0.08509346842765808,1.622102975845337,0.00073
52112,7,58.22,7176,1050,-217.13895478999999,-113.546630859375,103.24057006835938,49111,0.08688423782587051,-4.835104942321777,0.00073
52552,7,55.62,7236,1060,-220.84384387000003,-146.15333557128906,125.48245239257812,49551,0.08677313476800919,4.688648223876953,0.00073
53125,7,56.53,7313,1070,-206.95012779,-118.70332336425781,91.55323791503906,50124,0.08650165051221848,-3.032557964324951,0.00073
53758,7,57.49,7403,1080,-210.52473752999998,-130.5672149658203,109.92842102050781,50757,0.08728016912937164,6.684915542602539,0.00073
54379,7,57.54,7493,1090,-209.09764175,-120.92195892333984,85.11578369140625,51378,0.08721134066581726,5.769680023193359,0.00073
54969,7,58.43,7579,1100,-208.44868004999998,-132.53228759765625,128.3551025390625,51968,0.09127270430326462,7.113255977630615,0.00073
55628,7,59.55,7674,1110,-207.21845257,-154.27584838867188,97.45223999023438,52627,0.09134626388549805,1.0724610090255737,0.00073
56235,7,58.88,7762,1120,-200.715436,-128.63812255859375,92.41705322265625,53234,0.09130304306745529,-1.7538714408874512,0.00073
56843,7,58.19,7851,1130,-192.15041244,-129.05984497070312,134.15817260742188,53842,0.08939890563488007,0.4951258897781372,0.00073
57441,7,58.19,7951,1140,-195.99863661,-100.5692367553711,104.4287338256836,54440,0.0860956609249115,-0.5274908542633057,0.00073
58187,7,60.75,8063,1150,-186.92088262999997,-117.20223999023438,100.26776123046875,55186,0.0871662050485611,-8.40670108795166,0.00073
58911,7,63.59,8170,1160,-176.38276679999998,-111.77996063232422,104.68212890625,55910,0.0837179496884346,-3.389425754547119,0.00073
59454,7,63.29,8250,1170,-180.78008032999998,-117.92454528808594,88.78329467773438,56453,0.08022801578044891,-1.1639666557312012,0.00073
60029,7,62.71,8334,1180,-179.90046342999995,-116.38864135742188,99.68891143798828,57028,0.08334491401910782,-4.780885696411133,0.00073
60610,7,62.31,8418,1190,-180.0230225,-130.1561279296875,80.60568237304688,57609,0.07996818423271179,7.432535648345947,0.00073
61185,7,62.16,8501,1200,-180.6233605,-102.28997039794922,93.27120971679688,58184,0.08306568115949631,4.760552883148193,0.00073
61828,7,62.0,8592,1210,-169.45332417,-126.13188171386719,104.75983428955078,58827,0.087778240442276,0.3253152370452881,0.00073
62448,7,62.13,8682,1220,-166.11751662999998,-120.5889663696289,102.61788940429688,59447,0.08508048206567764,3.2706875801086426,0.00073
62876,7,60.33,8744,1230,-163.65776342,-116.96427154541016,127.85536193847656,59875,0.08200720697641373,10.029870986938477,0.00073
63504,7,60.63,8836,1240,-142.25911712,-124.47673034667969,118.11787414550781,60503,0.08467480540275574,-0.8206497430801392,0.00073
64233,7,60.46,8943,1250,-143.78764262,-109.70455932617188,111.23260498046875,61232,0.0854361280798912,3.6420178413391113,0.00073
64891,7,59.8,9041,1260,-156.89440532,-105.97590637207031,107.04045867919922,61890,0.08381763100624084,-1.7824091911315918,0.00073
65465,7,60.11,9125,1270,-152.12038803999997,-99.1009292602539,132.37905883789062,62464,0.08166659623384476,3.8295578956604004,0.00073
65913,7,58.84,9191,1280,-154.55855701,-107.45669555664062,96.64622497558594,62912,0.07845722138881683,-5.079263687133789,0.00073
66539,7,59.29,9283,1290,-151.39581839,-94.74555206298828,103.22987365722656,63538,0.081370048224926,2.846283435821533,0.00073
67194,7,60.09,9379,1300,-141.17777215,-108.3936538696289,88.67558288574219,64193,0.07847360521554947,5.036564826965332,0.00073
67842,7,60.14,9481,1310,-160.48189544000002,-114.54354095458984,95.53398895263672,64841,0.07655034959316254,-0.5852243900299072,0.00073
68458,7,60.1,9578,1320,-161.14240196,-108.4784164428711,97.0882568359375,65457,0.07552492618560791,-5.146154880523682,0.00073
69047,7,61.71,9664,1330,-168.42953186000003,-118.16901397705078,68.62305450439453,66046,0.07649271935224533,-0.9561007022857666,0.00073
69717,7,62.13,9760,1340,-179.91791124000002,-97.51567840576172,78.82438659667969,66716,0.07383464276790619,9.779648780822754,0.00073
70342,7,61.09,9852,1350,-187.05695583999997,-94.80282592773438,81.16670227050781,67341,0.07034552097320557,0.10944622755050659,0.00073
71043,7,61.52,9956,1360,-169.93249614000004,-82.14085388183594,85.58207702636719,68042,0.07051106542348862,5.889687538146973,0.00073
71716,7,62.51,10055,1370,-166.22379011,-101.94195556640625,97.78437805175781,68715,0.07316497713327408,-1.8466814756393433,0.00073
72441,7,65.28,10162,1380,-153.80603635999995,-98.08739471435547,81.60202026367188,69440,0.06947840750217438,8.267059326171875,0.00073
73006,7,64.67,10244,1390,-158.99468291000002,-89.78414916992188,95.53250122070312,70005,0.06944737583398819,-7.2404375076293945,0.00073
73557,7,63.63,10325,1400,-162.04369834000002,-76.26395416259766,103.41722106933594,70556,0.07205414026975632,-4.788813591003418,0.00073
74030,7,61.88,10393,1410,-161.94887298,-102.11244201660156,86.34909057617188,71029,0.07175001502037048,-7.171666145324707,0.00073
74583,7,61.25,10475,1420,-163.55031619,-104.95350646972656,100.03819274902344,71582,0.07038388401269913,-0.1595076322555542,0.00073
75295,7,62.48,10581,1430,-160.02744655,-116.85846710205078,96.44477844238281,72294,0.06894595921039581,2.797823667526245,0.00073
75899,7,61.82,10671,1440,-153.47677488999997,-114.22177124023438,122.90966796875,72898,0.0715426355600357,-2.392998695373535,0.00073
76562,7,62.2,10768,1450,-139.77667844,-96.80177307128906,106.11339569091797,73561,0.07038433849811554,-3.381471872329712,0.00073
77182,7,61.39,10860,1460,-157.52504208000002,-109.90007019042969,103.94795227050781,74181,0.07187170535326004,2.658801317214966,0.00073
77811,7,60.95,10955,1470,-158.65085733,-79.64691162109375,86.71044158935547,74810,0.0723186507821083,-7.441740036010742,0.00073
78467,7,60.26,11061,1480,-159.88786472,-100.6204833984375,90.77287292480469,75466,0.06946009397506714,2.516951084136963,0.00073
79088,7,60.82,11162,1490,-143.93193814,-100.37120056152344,86.64600372314453,76087,0.06811021268367767,10.59626579284668,0.00073
79695,7,61.38,11255,1500,-134.90965106,-92.74070739746094,86.78956604003906,76694,0.06942818313837051,-1.2737942934036255,0.00073
80359,7,63.29,11353,1510,-115.72654970000002,-112.66534423828125,99.51881408691406,77358,0.06888813525438309,4.967535495758057,0.00073
80931,7,63.48,11435,1520,-113.79613514,-92.64962768554688,82.65917205810547,77930,0.07367771863937378,-3.054918050765991,0.00073
81613,7,63.18,11536,1530,-105.08827251999998,-83.98849487304688,87.4934310913086,78612,0.07806659489870071,-6.351207256317139,0.00073
82244,7,63.45,11628,1540,-104.30310290000001,-106.26990509033203,98.46550750732422,79243,0.07710721343755722,-2.878166675567627,0.00073
