rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,time/episodes,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/n_updates,train/ent_coef,train/critic_loss
631.6259637200001,135355,925875,6,48.61,19760,0.00073,-1517.8658447265625,-1.1612598896026611,922874,0.18374985456466675,729.13916015625
602.22928452,135426,926358,6,48.44,19770,0.00073,-1420.2989501953125,0.24046963453292847,923357,0.18865294754505157,999.7991943359375
588.74973875,135498,926847,6,48.33,19780,0.00073,-1445.9501953125,1.899619460105896,923846,0.18600314855575562,20255.220703125
564.9330000000001,135569,927326,6,48.12,19790,0.00073,-1464.520263671875,-2.7744622230529785,924325,0.19128909707069397,879.7780151367188
541.4270190399999,135643,927826,6,48.12,19800,0.00073,-1582.6268310546875,7.759753227233887,924825,0.19343842566013336,3741.17724609375
592.01905481,135718,928326,6,48.46,19810,0.00073,-1515.602294921875,5.287399768829346,925325,0.19288137555122375,1219.21240234375
657.8631456899999,135795,928826,6,49.05,19820,0.00073,-1641.009033203125,8.847137451171875,925825,0.1921337991952896,1993.307373046875
595.31371105,135870,929326,6,49.39,19830,0.00073,-1463.1468505859375,-3.6262807846069336,926325,0.20107418298721313,773.9024658203125
592.04145186,135943,929826,6,49.39,19840,0.00073,-1591.989501953125,4.128263473510742,926825,0.20560723543167114,1244.757568359375
675.71228453,136016,930326,6,49.39,19850,0.00073,-1432.58447265625,-5.06708288192749,927325,0.20420175790786743,807.0970458984375
731.02353235,136090,930826,6,49.51,19860,0.00073,-1332.11181640625,-3.251833915710449,927825,0.21026478707790375,826.36572265625
778.8739633100001,136163,931326,6,49.68,19870,0.00073,-1493.056884765625,3.8094515800476074,928325,0.20797231793403625,1169.86962890625
825.07251331,136226,931765,6,49.18,19880,0.00073,-1272.446044921875,-3.531346321105957,928764,0.21666459739208221,960.3547973632812
868.2355337099999,136301,932265,6,49.39,19890,0.00073,-1386.16552734375,0.8294418454170227,929264,0.22701959311962128,1673.650146484375
793.26020517,136369,932730,6,49.04,19900,0.00073,-1438.1339111328125,-0.5072375535964966,929729,0.22385910153388977,1123.1796875
766.6617868199999,136441,933224,6,48.98,19910,0.00073,-1492.8150634765625,0.9361449480056763,930223,0.23186342418193817,1177.9891357421875
846.5710751000001,136515,933724,6,48.98,19920,0.00073,-1423.8115234375,5.300237655639648,930723,0.22451424598693848,3951.0087890625
936.42923382,136586,934207,6,48.81,19930,0.00073,-1511.1944580078125,4.120504379272461,931206,0.23137129843235016,1028.633056640625
915.6519847200001,136654,934680,6,48.54,19940,0.00073,-1452.0533447265625,-2.9603099822998047,931679,0.23183828592300415,893.5140380859375
882.3201042200002,136727,935180,6,48.54,19950,0.00073,-1449.785400390625,-3.212937831878662,932179,0.22937999665737152,1309.444580078125
886.563639,136800,935680,6,48.54,19960,0.00073,-1469.827392578125,1.8736077547073364,932679,0.22028423845767975,2309.380859375
902.4848460800001,136873,936180,6,48.54,19970,0.00073,-1373.237060546875,-4.291597366333008,933179,0.20802833139896393,960.770263671875
893.2934931500001,136945,936680,6,49.15,19980,0.00073,-1368.1123046875,-3.478803873062134,933679,0.20101438462734222,855.8256225585938
872.7506953400001,137013,937147,6,48.82,19990,0.00073,-1473.010986328125,2.792513370513916,934146,0.1939125806093216,1484.8404541015625
925.5094701599999,137086,937647,6,49.17,20000,0.00073,-1456.861572265625,1.1697076559066772,934646,0.1953483521938324,928.5075073242188
965.9922193,137159,938147,6,49.23,20010,0.00073,-1511.606689453125,-0.9085326194763184,935146,0.19062593579292297,995.604736328125
906.8703439100001,137232,938647,6,49.23,20020,0.00073,-1453.7022705078125,-1.0261380672454834,935646,0.19048196077346802,929.6400756835938
867.81125384,137299,939114,6,49.07,20030,0.00073,-1383.36279296875,-0.04487764835357666,936113,0.1857491433620453,1464.952392578125
844.8700084400001,137372,939614,6,49.34,20040,0.00073,-1427.0142822265625,4.078529357910156,936613,0.1875493824481964,3520.001708984375
830.9561645299999,137443,940107,6,49.27,20050,0.00073,-1575.3543701171875,-0.24763059616088867,937106,0.17905189096927643,924.54736328125
820.3644575899999,137509,940564,6,48.84,20060,0.00073,-1448.1947021484375,1.1020824909210205,937563,0.17749761044979095,920.1968383789062
773.32884464,137581,941064,6,48.84,20070,0.00073,-1486.48974609375,1.7816694974899292,938063,0.18345753848552704,868.02978515625
759.7918978800002,137648,941535,6,48.55,20080,0.00073,-1469.8616943359375,2.140190601348877,938534,0.1816425621509552,1204.3531494140625
696.85109056,137717,942007,6,48.6,20090,0.00073,-1469.3358154296875,3.7409250736236572,939006,0.1812351793050766,978.487060546875
755.81302,137785,942478,6,48.31,20100,0.00073,-1534.4493408203125,5.027650356292725,939477,0.18194586038589478,1011.056884765625
791.62657092,137854,942947,6,48.0,20110,0.00073,-1447.93896484375,3.6968939304351807,939946,0.18637238442897797,5375.458984375
805.84027892,137927,943447,6,48.0,20120,0.00073,-1343.4189453125,-2.6629765033721924,940446,0.17910067737102509,6691.37109375
834.5969929300002,138001,943947,6,48.33,20130,0.00073,-1378.4788818359375,-3.5983142852783203,940946,0.18177855014801025,841.1242065429688
867.75776111,138074,944447,6,48.33,20140,0.00073,-1509.509521484375,1.6883463859558105,941446,0.17936483025550842,965.485107421875
816.7985558900001,138147,944939,6,48.32,20150,0.00073,-1421.6995849609375,-4.253096580505371,941938,0.18092460930347443,815.3383178710938
789.64973646,138221,945439,6,48.75,20160,0.00073,-1506.7742919921875,-0.387654185295105,942438,0.1880674958229065,718.9747314453125
786.03072246,138295,945939,6,48.75,20170,0.00073,-1439.91943359375,1.1180143356323242,942938,0.18463821709156036,706.195556640625
804.02622789,138369,946439,6,49.04,20180,0.00073,-1408.033203125,0.47225260734558105,943438,0.1828397512435913,939.0753173828125
807.8376642700001,138442,946939,6,49.32,20190,0.00073,-1425.146728515625,-2.376126289367676,943938,0.18368037045001984,824.779296875
708.5428108199999,138515,947439,6,49.61,20200,0.00073,-1516.90185546875,4.2717790603637695,944438,0.1879182606935501,1012.4854736328125
610.7961316900002,138587,947931,6,49.84,20210,0.00073,-1479.188720703125,1.6862130165100098,944930,0.1827550083398819,2065.447998046875
573.84965397,138660,948425,6,49.78,20220,0.00073,-1460.260986328125,0.07463476061820984,945424,0.18572492897510529,1169.53564453125
520.39057795,138731,948912,6,49.65,20230,0.00073,-1419.557373046875,0.5929737687110901,945911,0.185161292552948,1975.2803955078125
501.0316741899999,138800,949383,6,49.36,20240,0.00073,-1477.2083740234375,5.524900436401367,946382,0.1817554086446762,1478.771240234375
549.12737123,138870,949859,6,49.2,20250,0.00073,-1423.5504150390625,-1.1950550079345703,946858,0.189388245344162,978.6493530273438
568.4585285400001,138945,950359,6,49.2,20260,0.00073,-1665.0489501953125,5.875619411468506,947358,0.19031734764575958,5976.76123046875
569.88922069,139015,950829,6,48.9,20270,0.00073,-1323.9189453125,-1.7681927680969238,947828,0.17956288158893585,943.7369384765625
560.60877814,139088,951329,6,48.9,20280,0.00073,-1382.815185546875,-5.570216178894043,948328,0.18764109909534454,942.0248413085938
574.26623089,139162,951829,6,48.9,20290,0.00073,-1508.46142578125,1.7670634984970093,948828,0.19008789956569672,2619.17236328125
605.4241863,139235,952319,6,48.8,20300,0.00073,-1363.1171875,-6.307363033294678,949318,0.18489614129066467,772.755615234375
668.58176595,139309,952819,6,48.88,20310,0.00073,-1529.62109375,3.119206666946411,949818,0.19143497943878174,1039.341064453125
629.1351727,139378,953294,6,48.69,20320,0.00073,-1497.0390625,1.4575841426849365,950293,0.19298210740089417,985.5777587890625
668.03362126,139453,953794,6,48.82,20330,0.00073,-1455.7198486328125,-1.4992687702178955,950793,0.19082242250442505,1723.3668212890625
688.29745925,139527,954294,6,49.11,20340,0.00073,-1329.1131591796875,-10.444973945617676,951293,0.18867219984531403,862.4498291015625
656.4340285700001,139600,954794,6,49.35,20350,0.00073,-1535.4832763671875,1.8951869010925293,951793,0.18670204281806946,2571.105712890625
615.11935888,139674,955294,6,49.35,20360,0.00073,-1305.5035400390625,-5.799985885620117,952293,0.1809234917163849,1252.831787109375
671.75222431,139747,955794,6,49.65,20370,0.00073,-1419.012451171875,-0.923799455165863,952793,0.18318015336990356,987.4141845703125
661.97513399,139821,956294,6,49.65,20380,0.00073,-1386.211669921875,0.9857503771781921,953293,0.18048636615276337,1098.3853759765625
652.51533774,139895,956794,6,49.65,20390,0.00073,-1510.5240478515625,4.019733905792236,953793,0.18745361268520355,1059.024658203125
610.86786149,139968,957294,6,49.75,20400,0.00073,-1413.2188720703125,-7.56527853012085,954293,0.17455074191093445,773.3621826171875
569.34925106,140036,957773,6,49.54,20410,0.00073,-1472.8587646484375,-0.5209946632385254,954772,0.18249893188476562,7219.8740234375
581.1664962899999,140111,958273,6,49.79,20420,0.00073,-1577.6844482421875,4.146688461303711,955272,0.17995582520961761,10661.208984375
522.48163893,140175,958713,6,49.19,20430,0.00073,-1463.24560546875,3.972108840942383,955712,0.18030299246311188,1111.931884765625
488.6222736800001,140238,959148,6,48.54,20440,0.00073,-1500.373779296875,-0.19916090369224548,956147,0.18186156451702118,836.6953735351562
487.53771717999996,140312,959648,6,48.54,20450,0.00073,-1478.9686279296875,0.8963841199874878,956647,0.19005851447582245,1093.3519287109375
498.12827436999993,140385,960148,6,48.54,20460,0.00073,-1402.5543212890625,-1.333512306213379,957147,0.18420866131782532,845.583740234375
432.8747068099999,140458,960648,6,48.54,20470,0.00073,-1587.477294921875,6.757756233215332,957647,0.18167151510715485,990.7169189453125
376.7345955100001,140532,961148,6,48.54,20480,0.00073,-1517.381103515625,2.2256362438201904,958147,0.17743472754955292,1129.381591796875
404.70894801000003,140605,961648,6,48.54,20490,0.00073,-1476.369140625,2.174931287765503,958647,0.18432369828224182,2889.2109375
493.5795615899999,140677,962142,6,48.48,20500,0.00073,-1392.510009765625,-1.802250623703003,959141,0.18015582859516144,930.8590087890625
486.34758404,140752,962642,6,48.69,20510,0.00073,-1382.2318115234375,0.6606850624084473,959641,0.18402303755283356,790.4820556640625
475.69684544000006,140827,963142,6,48.69,20520,0.00073,-1412.2098388671875,-0.05868959426879883,960141,0.1868707835674286,1722.4583740234375
495.83462731,140900,963642,6,49.29,20530,0.00073,-1387.4100341796875,-2.79403018951416,960641,0.19628110527992249,1357.212890625
487.06286452999996,140974,964142,6,49.94,20540,0.00073,-1457.1336669921875,2.421905517578125,961141,0.1922641545534134,5732.26708984375
501.9179727900001,141048,964642,6,49.94,20550,0.00073,-1574.400634765625,-0.9779626131057739,961641,0.19373267889022827,957.76904296875
486.00463064999997,141120,965142,6,49.94,20560,0.00073,-1449.67236328125,-2.8650548458099365,962141,0.18603283166885376,1126.27197265625
563.58906207,141194,965642,6,49.94,20570,0.00073,-1590.119384765625,4.108076095581055,962641,0.18990463018417358,1372.7362060546875
582.5765164400001,141266,966142,6,49.94,20580,0.00073,-1372.4217529296875,-1.5765361785888672,963141,0.18939131498336792,967.195068359375
603.0091419200002,141335,966611,6,49.63,20590,0.00073,-1439.2005615234375,2.8946290016174316,963610,0.18842515349388123,1588.3658447265625
531.6534211800001,141408,967111,6,49.69,20600,0.00073,-1442.5360107421875,-0.39697086811065674,964110,0.18163827061653137,932.0280151367188
564.40291541,141476,967585,6,49.43,20610,0.00073,-1440.4107666015625,6.630641937255859,964584,0.183185413479805,21226.5625
556.06059963,141549,968085,6,49.43,20620,0.00073,-1449.273681640625,1.6691837310791016,965084,0.18659524619579315,1145.95947265625
530.1485813200001,141622,968585,6,49.43,20630,0.00073,-1538.533203125,5.250439167022705,965584,0.1870652735233307,988.9549560546875
539.05124166,141696,969085,6,49.43,20640,0.00073,-1337.3489990234375,-5.605123043060303,966084,0.1874656081199646,1108.297119140625
617.44738607,141770,969585,6,49.43,20650,0.00073,-1385.77587890625,1.5692070722579956,966584,0.18332813680171967,2602.68896484375
706.0480026999999,141845,970085,6,49.43,20660,0.00073,-1396.31982421875,2.835510015487671,967084,0.1865946501493454,1149.2437744140625
672.7813992800001,141920,970585,6,49.43,20670,0.00073,-1314.4779052734375,-8.28058910369873,967584,0.18777815997600555,976.954345703125
757.31981791,141995,971085,6,49.43,20680,0.00073,-1416.944091796875,0.22786253690719604,968084,0.1928911656141281,844.1556396484375
722.4835841700001,142069,971585,6,49.74,20690,0.00073,-1440.57177734375,-0.8306834697723389,968584,0.19242551922798157,810.5438232421875
754.5414336099999,142144,972085,6,49.74,20700,0.00073,-1386.9920654296875,0.6137235164642334,969084,0.1950434297323227,4860.54296875
765.03653536,142218,972585,6,50.0,20710,0.00073,-1496.358154296875,2.8309850692749023,969584,0.19663900136947632,5620.8935546875
