time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/fps,rollout/ep_len_mean,train/ent_coef,train/n_updates,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/actor_loss
438471,63280,467.14365777,4390,6,100.0,0.06623740494251251,435470,8.993656158447266,1.4825999736785889,0.00073,-234.08116149902344
439471,63429,466.6121874699999,4400,6,100.0,0.0658201351761818,436470,8.2758150100708,-0.9502567052841187,0.00073,-226.2475128173828
440471,63578,470.64328964999993,4410,6,100.0,0.06565454602241516,437470,9.651386260986328,-1.201886534690857,0.00073,-216.054443359375
441471,63726,465.5813784100001,4420,6,100.0,0.06501585990190506,438470,9.597648620605469,-0.3342330753803253,0.00073,-223.87762451171875
442471,63876,478.60711289999995,4430,6,100.0,0.06527694314718246,439470,8.343664169311523,0.08304746448993683,0.00073,-226.4058074951172
443471,64022,456.72522707,4440,6,100.0,0.0674995481967926,440470,8.11700439453125,0.5661488771438599,0.00073,-228.27882385253906
444471,64171,442.65300349999995,4450,6,100.0,0.06219521164894104,441470,9.602983474731445,-0.1342668980360031,0.00073,-221.24441528320312
445471,64319,422.76306013,4460,6,100.0,0.06303901970386505,442470,9.137807846069336,-0.6469516754150391,0.00073,-203.1737060546875
446471,64469,416.42016229,4470,6,100.0,0.065219447016716,443470,7.449968338012695,-0.899753212928772,0.00073,-221.76084899902344
447471,64618,428.86969213,4480,6,100.0,0.06559664011001587,444470,10.039388656616211,0.052430883049964905,0.00073,-214.1862030029297
448471,64769,438.0402504599999,4490,6,100.0,0.06482537090778351,445470,8.983173370361328,-0.08238880336284637,0.00073,-228.9088897705078
449471,64919,456.75115330000006,4500,6,100.0,0.06421481817960739,446470,9.455158233642578,0.005210593342781067,0.00073,-214.775390625
450471,65069,459.75148215,4510,6,100.0,0.06691249459981918,447470,9.858903884887695,-0.4461742043495178,0.00073,-212.29090881347656
451471,65219,473.32037031999994,4520,6,100.0,0.06403572857379913,448470,9.840774536132812,-0.4315376281738281,0.00073,-234.6336669921875
