rollout/ep_len_mean,time/time_elapsed,time/episodes,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/ent_coef_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/n_updates,train/actor_loss
43.57,9136,1690,68807,7,-302.6249795,-4.924081802368164,7.826625823974609,0.017832452431321144,0.00073,65806,122.50975799560547
43.37,9202,1700,69274,7,-308.54908983999997,0.20260405540466309,7.320876598358154,0.017110086977481842,0.00073,66273,123.78273010253906
43.44,9265,1710,69718,7,-306.91716591,0.19435906410217285,5.815370559692383,0.017428627237677574,0.00073,66717,123.98876953125
43.42,9322,1720,70113,7,-309.14291037000004,3.957174301147461,6.330222129821777,0.017870724201202393,0.00073,67112,124.25686645507812
43.2,9381,1730,70537,7,-313.88406929,7.361336708068848,6.564309120178223,0.017765412107110023,0.00073,67536,119.67034149169922
42.64,9441,1740,70955,7,-319.20175923000005,-3.019073009490967,5.385514259338379,0.01769845560193062,0.00073,67954,124.53772735595703
43.05,9505,1750,71404,7,-319.73155186,-4.866183757781982,6.089608192443848,0.01769116520881653,0.00073,68403,124.65876770019531
42.54,9563,1760,71815,7,-319.41385571,4.936460018157959,5.8224382400512695,0.017805101349949837,0.00073,68814,122.822998046875
42.74,9632,1770,72292,7,-313.23721666,3.2118587493896484,5.813416957855225,0.018305230885744095,0.00073,69291,124.780029296875
43.42,9696,1780,72742,7,-312.31443241,-1.725879192352295,5.856573104858398,0.017559736967086792,0.00073,69741,121.89147186279297
43.91,9761,1790,73198,7,-312.73587903000004,0.23857474327087402,5.54041862487793,0.017506347969174385,0.00073,70197,120.18181610107422
43.19,9819,1800,73593,7,-314.10652447,2.785123825073242,6.037721633911133,0.01767202652990818,0.00073,70592,127.3917465209961
43.27,9884,1810,74045,7,-315.31243523,2.711995840072632,5.669639587402344,0.017441855743527412,0.00073,71044,122.99079132080078
43.6,9944,1820,74473,7,-312.66779127000007,-1.3088359832763672,6.568136215209961,0.01725701615214348,0.00073,71472,121.41142272949219
43.6,10005,1830,74897,7,-306.70052337,4.356032371520996,5.964417457580566,0.01715637743473053,0.00073,71896,121.98622131347656
44.13,10071,1840,75368,7,-303.33690292000006,8.006794929504395,6.585754871368408,0.01769852265715599,0.00073,72367,122.54719543457031
43.56,10127,1850,75760,7,-305.52755282000004,1.2535464763641357,6.0146684646606445,0.017244866117835045,0.00073,72759,123.53413391113281
