time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/fps,train/critic_loss,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/n_updates
105000,100.0,716.1836116099998,1050,14604,7,5.193824768066406,-342.28948974609375,0.00073,0.7095507383346558,0.11383216828107834,101999
106000,100.0,716.2370864099998,1060,14747,7,3.989004611968994,-349.66796875,0.00073,-0.16799530386924744,0.11203078925609589,102999
107000,100.0,718.38182632,1070,14892,7,4.8239545822143555,-346.1990966796875,0.00073,-0.7155023813247681,0.11205680668354034,103999
108000,100.0,720.1493283199999,1080,15042,7,6.887936592102051,-341.0171813964844,0.00073,-0.4543664753437042,0.11067821830511093,104999
109000,100.0,719.5731346899998,1090,15185,7,6.575815200805664,-345.93609619140625,0.00073,0.2967972159385681,0.11029409617185593,105999
110000,100.0,719.8728779699999,1100,15328,7,5.477165222167969,-342.42169189453125,0.00073,-0.3444133698940277,0.11194054782390594,106999
111000,100.0,725.3344204599999,1110,15472,7,5.17427396774292,-344.4065856933594,0.00073,-0.28542110323905945,0.10845635831356049,107999
112000,100.0,725.8472524999999,1120,15616,7,6.550529479980469,-342.54425048828125,0.00073,0.38930273056030273,0.11022522300481796,108999
113000,100.0,728.46655923,1130,15761,7,5.459455966949463,-345.44012451171875,0.00073,0.2663537263870239,0.11023334413766861,109999
114000,100.0,736.13932322,1140,15904,7,5.144073486328125,-343.98382568359375,0.00073,0.23287689685821533,0.10947612673044205,110999
115000,100.0,740.53185364,1150,16049,7,5.341798782348633,-346.1252746582031,0.00073,-0.652465283870697,0.10887721180915833,111999
116000,100.0,738.68724873,1160,16194,7,6.281400680541992,-347.6846923828125,0.00073,0.23449473083019257,0.10876357555389404,112999
117000,100.0,738.9968310899999,1170,16336,7,4.239143371582031,-350.0633544921875,0.00073,0.23754775524139404,0.10643041133880615,113999
118000,100.0,735.8937510799999,1180,16482,7,5.3791279792785645,-345.8077697753906,0.00073,0.208167165517807,0.10618091374635696,114999
119000,100.0,735.29494917,1190,16627,7,4.919632911682129,-346.9057922363281,0.00073,0.3169127404689789,0.10651923716068268,115999
120000,100.0,734.47574089,1200,16770,7,4.7220659255981445,-346.42822265625,0.00073,0.35137665271759033,0.10448439419269562,116999
121000,100.0,730.0956338800002,1210,16914,7,6.185986518859863,-346.5671691894531,0.00073,-0.00985035765916109,0.10577065497636795,117999
122000,100.0,729.5259450899998,1220,17062,7,5.086706161499023,-347.2669372558594,0.00073,0.07706853747367859,0.10482510924339294,118999
123000,100.0,732.89869039,1230,17205,7,4.516226768493652,-349.9600524902344,0.00073,-0.03743801638484001,0.10492963343858719,119999
124000,100.0,733.2668490399998,1240,17350,7,5.600296974182129,-351.52490234375,0.00073,0.07566256821155548,0.10483396053314209,120999
125000,100.0,732.9750119999999,1250,17495,7,5.6708903312683105,-346.738525390625,0.00073,0.5590627193450928,0.10270755738019943,121999
126000,100.0,735.6130294799998,1260,17640,7,5.704987525939941,-348.3328857421875,0.00073,0.03517893701791763,0.0981413945555687,122999
127000,100.0,736.58005255,1270,17785,7,4.221911430358887,-351.43560791015625,0.00073,0.7553204894065857,0.09981413185596466,123999
128000,100.0,740.26944453,1280,17930,7,4.66024112701416,-350.3824157714844,0.00073,-0.4015042185783386,0.10009597986936569,124999
129000,100.0,741.90120314,1290,18073,7,4.881844520568848,-354.1596984863281,0.00073,-0.5085574984550476,0.09985966980457306,125999
130000,100.0,742.95028319,1300,18217,7,5.151347637176514,-351.280517578125,0.00073,-0.43334245681762695,0.09996626526117325,126999
131000,100.0,747.22265533,1310,18361,7,4.926580905914307,-349.78729248046875,0.00073,-0.33599358797073364,0.09745455533266068,127999
132000,100.0,743.9287252,1320,18505,7,4.990930557250977,-351.82708740234375,0.00073,-0.24644479155540466,0.09820714592933655,128999
133000,100.0,745.08244408,1330,18650,7,4.733918190002441,-353.2841796875,0.00073,-0.06208086013793945,0.09805462509393692,129999
134000,100.0,740.48391516,1340,18795,7,3.0072827339172363,-355.14495849609375,0.00073,0.062043968588113785,0.09578963369131088,130999
135000,100.0,740.1595949899998,1350,18939,7,3.8308849334716797,-354.5764465332031,0.00073,0.314406156539917,0.09534357488155365,131999
