rollout/ep_rew_mean,time/total_timesteps,time/fps,time/episodes,time/time_elapsed,rollout/ep_len_mean,train/ent_coef_loss,train/learning_rate,train/critic_loss,train/ent_coef,train/actor_loss,train/n_updates
536.67421135,158157,7,820,21737,198.39,-0.7944487929344177,0.00073,54.83209228515625,0.05532410740852356,-354.4467468261719,155156
680.14702853,160157,7,830,22020,198.39,0.5151850581169128,0.00073,63.718536376953125,0.05432155355811119,-353.0133056640625,157156
664.48604762,162157,7,840,22306,198.39,-0.8346817493438721,0.00073,70.3583984375,0.05538323149085045,-377.2042236328125,159156
720.92510551,164157,7,850,22590,198.39,8.598247528076172,0.00073,67.9416275024414,0.05610001087188721,-381.63323974609375,161156
742.7910761099998,166157,7,860,22872,200.0,-4.128610134124756,0.00073,53.99217987060547,0.05362888053059578,-369.83221435546875,163156
772.0407491000001,168157,7,870,23154,200.0,2.3356406688690186,0.00073,58.881954193115234,0.0536714643239975,-333.0435791015625,165156
751.8459894399999,170157,7,880,23440,200.0,4.932376861572266,0.00073,53.03661346435547,0.052490778267383575,-341.5630187988281,167156
778.01507895,172157,7,890,23727,200.0,7.154019355773926,0.00073,52.44595718383789,0.051332637667655945,-335.4179992675781,169156
892.23362353,174157,7,900,24012,200.0,-7.401012897491455,0.00073,64.30879974365234,0.053652770817279816,-342.53997802734375,171156
889.0720530899999,176157,7,910,24300,200.0,-3.1145191192626953,0.00073,61.3694953918457,0.050912972539663315,-347.216064453125,173156
819.42368042,178157,7,920,24584,200.0,-4.203779220581055,0.00073,51.626014709472656,0.05231814458966255,-330.6048583984375,175156
740.92831987,180157,7,930,24871,200.0,5.736541748046875,0.00073,63.69150161743164,0.051723700016736984,-329.2113342285156,177156
738.9184415000002,182157,7,940,25161,200.0,-4.2259650230407715,0.00073,75.81443786621094,0.050391145050525665,-365.1654052734375,179156
749.0757071999999,184157,7,950,25449,200.0,-1.4689059257507324,0.00073,65.99806213378906,0.049938879907131195,-359.29473876953125,181156
743.16815334,186157,7,960,25736,200.0,-2.5314412117004395,0.00073,61.97328186035156,0.04911954328417778,-342.0037536621094,183156
798.29032567,188157,7,970,26027,200.0,-2.1278438568115234,0.00073,56.16283416748047,0.048194482922554016,-338.669189453125,185156
848.6506494300002,190157,7,980,26314,200.0,-4.527571678161621,0.00073,53.114288330078125,0.0494195893406868,-325.1286315917969,187156
860.13556916,192157,7,990,26600,200.0,-3.6423017978668213,0.00073,56.47863006591797,0.04827403649687767,-354.394775390625,189156
849.1137266699998,194157,7,1000,26889,200.0,-0.048096299171447754,0.00073,69.8035888671875,0.05030941590666771,-363.6346435546875,191156
849.27408329,196157,7,1010,27178,200.0,4.116118431091309,0.00073,57.59898376464844,0.04736723750829697,-330.318115234375,193156
902.0800301399998,198157,7,1020,27463,200.0,3.574432134628296,0.00073,60.460594177246094,0.04729852452874184,-371.11431884765625,195156
920.4353920000001,200157,7,1030,27750,200.0,4.1195068359375,0.00073,57.397743225097656,0.04591171815991402,-343.4761962890625,197156
939.3558543300002,202157,7,1040,28037,200.0,8.959667205810547,0.00073,53.26734161376953,0.04637255147099495,-344.603759765625,199156
882.9452399899998,204157,7,1050,28324,200.0,9.512142181396484,0.00073,58.44841766357422,0.04737996682524681,-331.39874267578125,201156
932.28911123,206157,7,1060,28611,200.0,-0.32115691900253296,0.00073,60.30597686767578,0.046579230576753616,-344.6809997558594,203156
875.4504529300002,208157,7,1070,28899,200.0,-12.351682662963867,0.00073,59.88873291015625,0.04543905705213547,-339.21112060546875,205156
875.76835457,210157,7,1080,29185,200.0,2.3695900440216064,0.00073,69.80313110351562,0.047077763825654984,-333.60626220703125,207156
881.6041849199999,212157,7,1090,29471,200.0,-3.4717321395874023,0.00073,58.67448425292969,0.04705696180462837,-335.03424072265625,209156
867.77941589,214157,7,1100,29758,200.0,-0.4861598014831543,0.00073,69.49981689453125,0.04635186120867729,-354.35369873046875,211156
878.6212529899999,216157,7,1110,30042,200.0,-5.877598762512207,0.00073,46.92377853393555,0.04521181061863899,-353.1139221191406,213156
984.9266458599997,218157,7,1120,30325,200.0,7.063990116119385,0.00073,50.53697967529297,0.044542182236909866,-322.5708312988281,215156
1049.69178324,220157,7,1130,30616,200.0,-8.115392684936523,0.00073,59.8416633605957,0.04361337423324585,-338.1776123046875,217156
1104.76495099,222157,7,1140,30902,200.0,3.1117756366729736,0.00073,36.75387954711914,0.044378411024808884,-367.74334716796875,219156
1137.32032331,224157,7,1150,31190,200.0,-5.479357719421387,0.00073,50.769187927246094,0.042378656566143036,-360.6037902832031,221156
1157.62281751,226157,7,1160,31480,200.0,0.8548038005828857,0.00073,53.113670349121094,0.04178360477089882,-356.1392517089844,223156
1236.13524285,228157,7,1170,31768,200.0,2.961138963699341,0.00073,61.73370361328125,0.041938312351703644,-346.7643127441406,225156
1274.53013648,230157,7,1180,32056,200.0,1.7274584770202637,0.00073,64.05194091796875,0.04174777865409851,-360.8607177734375,227156
1243.07656882,232157,7,1190,32353,200.0,-7.127032279968262,0.00073,54.513763427734375,0.04285242035984993,-349.9139404296875,229156
1234.2459705899998,234157,7,1200,32641,200.0,2.0196475982666016,0.00073,58.65853500366211,0.04107211157679558,-327.0771789550781,231156
1228.52567143,236157,7,1210,32928,200.0,-0.42029252648353577,0.00073,59.84979248046875,0.04216070473194122,-353.0572509765625,233156
