time/fps,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/actor_loss,train/ent_coef_loss,train/ent_coef,train/learning_rate,train/n_updates,train/critic_loss
6,1117548,5600,200.0,2694.80502161,160011,-820.067626953125,9.813350677490234,0.00997894536703825,0.00073,1114547,2.305359363555908
6,1119548,5610,200.0,2717.98965177,160303,-825.7467651367188,6.3296918869018555,0.009750256314873695,0.00073,1116547,2.878993511199951
6,1121548,5620,200.0,2757.24028208,160597,-833.0784912109375,-8.770866394042969,0.010708929039537907,0.00073,1118547,2.712813377380371
6,1123548,5630,200.0,2809.1992539,160889,-831.3504028320312,-5.999662399291992,0.009097881615161896,0.00073,1120547,1.8566097021102905
6,1125548,5640,200.0,2777.9411203,161182,-831.713134765625,6.404131889343262,0.010709282010793686,0.00073,1122547,2.1837329864501953
6,1127548,5650,200.0,2757.6495018899996,161476,-824.3224487304688,-1.5270252227783203,0.010876336134970188,0.00073,1124547,2.4571309089660645
6,1129548,5660,200.0,2767.2439633600006,161769,-826.7988891601562,17.0881404876709,0.008841470815241337,0.00073,1126547,3.040285587310791
6,1131548,5670,200.0,2765.6829443200004,162060,-826.33740234375,-3.5841283798217773,0.00960395485162735,0.00073,1128547,2.107391834259033
6,1133548,5680,200.0,2795.0984208600007,162352,-824.8524169921875,-5.779411315917969,0.00941513106226921,0.00073,1130547,3.487697124481201
6,1135548,5690,200.0,2794.8500432400006,162644,-834.089599609375,2.775135040283203,0.00962006114423275,0.00073,1132547,2.452789783477783
6,1137548,5700,200.0,2796.16459494,162933,-821.251708984375,9.577531814575195,0.009348050691187382,0.00073,1134547,2.5268497467041016
6,1139548,5710,200.0,2778.446115499999,163226,-822.1507568359375,1.667419195175171,0.009663295932114124,0.00073,1136547,2.0854358673095703
6,1141548,5720,200.0,2832.3842303,163522,-829.9132080078125,-2.8172717094421387,0.009065994992852211,0.00073,1138547,2.7684192657470703
6,1143548,5730,200.0,2837.34747316,163816,-827.1404418945312,-20.627653121948242,0.008449304848909378,0.00073,1140547,1.9089641571044922
6,1145548,5740,200.0,2888.68276108,164109,-815.5442504882812,29.377010345458984,0.008840754628181458,0.00073,1142547,2.403444528579712
6,1147548,5750,200.0,2913.16657489,164404,-817.2467651367188,-21.425521850585938,0.009214517660439014,0.00073,1144547,2.652729034423828
6,1149548,5760,200.0,2915.3256840199992,164694,-815.8028564453125,14.549053192138672,0.008225861005485058,0.00073,1146547,2.019284248352051
6,1151548,5770,200.0,2914.44956383,164991,-825.1512451171875,2.968461275100708,0.008039256557822227,0.00073,1148547,4.819993019104004
6,1153548,5780,200.0,2931.2804634499994,165286,-822.9859619140625,1.541271686553955,0.008318433538079262,0.00073,1150547,5.223705768585205
6,1155548,5790,200.0,2919.696835410001,165582,-814.6482543945312,-0.4718601703643799,0.009017396718263626,0.00073,1152547,2.9266676902770996
6,1157548,5800,200.0,2913.31941185,165872,-828.7400512695312,-4.811864376068115,0.009117471985518932,0.00073,1154547,2.0543336868286133
6,1159548,5810,200.0,2955.46450541,166162,-826.2142333984375,2.4726152420043945,0.008690383285284042,0.00073,1156547,1.6623679399490356
6,1161548,5820,200.0,2905.6307594899995,166459,-825.3551635742188,-10.250923156738281,0.008918198756873608,0.00073,1158547,2.285336971282959
6,1163548,5830,200.0,2906.4414416000004,166753,-826.3961181640625,-16.257492065429688,0.008428218774497509,0.00073,1160547,2.578199863433838
6,1165548,5840,200.0,2911.471345129999,167045,-829.0472412109375,-7.979210376739502,0.008540056645870209,0.00073,1162547,3.07680082321167
6,1167548,5850,200.0,2912.99178097,167341,-824.9518432617188,18.627286911010742,0.009403116069734097,0.00073,1164547,3.031743288040161
6,1169548,5860,200.0,2887.48824677,167633,-818.55712890625,9.59898853302002,0.008823205716907978,0.00073,1166547,2.3902621269226074
6,1171548,5870,200.0,2871.63217902,167925,-825.741943359375,-1.1567429304122925,0.008666567504405975,0.00073,1168547,2.4144978523254395
6,1173548,5880,200.0,2875.03027497,168219,-823.6722412109375,0.42850828170776367,0.008796068839728832,0.00073,1170547,4.977150917053223
6,1175548,5890,200.0,2891.8467575,168515,-822.368408203125,0.8161721229553223,0.008974017575383186,0.00073,1172547,1.7994544506072998
6,1177548,5900,200.0,2890.51235554,168810,-829.5723266601562,-1.108321189880371,0.009370548650622368,0.00073,1174547,2.996448516845703
6,1179548,5910,200.0,2868.0489585400005,169105,-824.1712036132812,14.256057739257812,0.008866359479725361,0.00073,1176547,2.8610024452209473
6,1181548,5920,200.0,2871.12374656,169401,-822.982177734375,-15.928425788879395,0.009071573615074158,0.00073,1178547,1.7504301071166992
6,1183548,5930,200.0,2822.43633327,169697,-832.35693359375,0.7340505123138428,0.009145674295723438,0.00073,1180547,4.815864562988281
6,1185548,5940,200.0,2815.7198395799996,169992,-827.6328735351562,-0.28353333473205566,0.011835608631372452,0.00073,1182547,2.6633522510528564
6,1187548,5950,200.0,2747.65396569,170286,-830.5174560546875,-6.007448196411133,0.008720445446670055,0.00073,1184547,6.0412278175354
6,1189548,5960,200.0,2727.45046082,170584,-822.2013549804688,2.395260810852051,0.009059106931090355,0.00073,1186547,3.6841650009155273
6,1191548,5970,200.0,2746.1469365800003,170878,-825.9330444335938,10.186142921447754,0.0089712580665946,0.00073,1188547,2.4010753631591797
6,1193548,5980,200.0,2744.2059393199997,171168,-827.4612426757812,-6.975618839263916,0.00940751563757658,0.00073,1190547,3.0529885292053223
6,1195548,5990,200.0,2721.3324478799996,171460,-824.197021484375,8.365316390991211,0.008993616327643394,0.00073,1192547,2.2483510971069336
6,1197548,6000,200.0,2693.95737608,171752,-820.5115966796875,-11.401901245117188,0.009043525904417038,0.00073,1194547,3.14220929145813
6,1199548,6010,200.0,2703.0233550799994,172045,-834.2372436523438,-6.0306010246276855,0.008773202076554298,0.00073,1196547,4.313970565795898
6,1201548,6020,200.0,2750.9606271400007,172338,-820.53271484375,14.415746688842773,0.008639076724648476,0.00073,1198547,2.074329376220703
6,1203548,6030,200.0,2791.03345196,172627,-830.64208984375,1.8472058773040771,0.008281389251351357,0.00073,1200547,1.9105027914047241
6,1205548,6040,200.0,2732.4964988799998,172918,-821.3982543945312,-3.126572370529175,0.011778317391872406,0.00073,1202547,7.711433410644531
6,1207548,6050,200.0,2789.6959572199994,173205,-824.8300170898438,-3.0597333908081055,0.010584691539406776,0.00073,1204547,3.06272029876709
6,1209548,6060,200.0,2834.6886230400005,173497,-827.7326049804688,1.7410547733306885,0.010055436752736568,0.00073,1206547,2.854940414428711
6,1211548,6070,200.0,2832.49016345,173793,-816.5220336914062,17.843034744262695,0.009070739150047302,0.00073,1208547,2.7991604804992676
