time/episodes,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/critic_loss,train/ent_coef_loss,train/n_updates,train/actor_loss,train/learning_rate,train/ent_coef
1700,336951,46087,7,2038.03202209,200.0,7.1230621337890625,-0.9802788496017456,333950,-568.2401123046875,0.00073,0.0164563599973917
1710,338951,46360,7,2034.13763615,200.0,7.74188232421875,-4.4432053565979,335950,-573.0497436523438,0.00073,0.015703367069363594
1720,340951,46634,7,2003.7762646,200.0,8.88211441040039,2.3591883182525635,337950,-577.941650390625,0.00073,0.015142875723540783
1730,342951,46913,7,2011.98267963,200.0,8.787765502929688,4.26500129699707,339950,-571.7962036132812,0.00073,0.015115317888557911
1740,344951,47204,7,2019.4401331699999,200.0,8.381208419799805,-8.041876792907715,341950,-587.2027587890625,0.00073,0.014435005374252796
1750,346951,47485,7,2037.00061162,200.0,6.202104091644287,-1.8723492622375488,343950,-580.6228637695312,0.00073,0.0151486461982131
1760,348951,47767,7,2051.95787352,200.0,5.272480010986328,9.216927528381348,345950,-580.1448364257812,0.00073,0.01378775853663683
1770,350951,48048,7,2073.2932990299996,200.0,9.181854248046875,10.307058334350586,347950,-580.5153198242188,0.00073,0.015004957094788551
1780,352951,48328,7,2081.36141129,200.0,6.775695323944092,-8.77352523803711,349950,-590.5682983398438,0.00073,0.014973358251154423
1790,354951,48608,7,2103.9798037200003,200.0,7.483212947845459,0.7517399787902832,351950,-584.1153564453125,0.00073,0.01403546892106533
1800,356951,48894,7,2103.27394837,200.0,6.156646728515625,3.4886465072631836,353950,-587.046142578125,0.00073,0.013423331081867218
1810,358951,49179,7,2123.4216654,200.0,5.814457893371582,-0.576624870300293,355950,-585.2626342773438,0.00073,0.013653975911438465
1820,360951,49460,7,2167.5359240000003,200.0,5.098898410797119,-9.889639854431152,357950,-596.6131591796875,0.00073,0.013409173116087914
1830,362951,49738,7,2134.43491672,200.0,7.278350830078125,9.534893035888672,359950,-592.1796875,0.00073,0.013168327510356903
1840,364951,50018,7,2116.38190876,200.0,5.905725002288818,-9.173336029052734,361950,-598.5609130859375,0.00073,0.013703429140150547
1850,366951,50301,7,2074.97513161,200.0,6.703818321228027,4.304891586303711,363950,-597.559326171875,0.00073,0.013787277974188328
1860,368951,50583,7,2051.0314363499997,200.0,5.18870210647583,-12.710538864135742,365950,-599.8342895507812,0.00073,0.013210559263825417
