time/episodes,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/actor_loss,train/ent_coef
1450,7,20109,709.54842883,145000,100.0,141999,0.6842217445373535,0.49051743745803833,0.00073,-375.1424255371094,0.015289262868463993
1460,7,20254,709.60006941,146000,100.0,142999,0.4308268427848816,0.7838027477264404,0.00073,-374.75469970703125,0.017185499891638756
1470,7,20397,709.4165807599999,147000,100.0,143999,-1.4457130432128906,0.5600085258483887,0.00073,-375.97802734375,0.017340881749987602
1480,7,20541,709.17967025,148000,100.0,144999,-0.4697923958301544,0.4566282629966736,0.00073,-376.04266357421875,0.016588006168603897
1490,7,20685,709.0980492800002,149000,100.0,145999,-1.3131740093231201,0.6150757074356079,0.00073,-377.0596618652344,0.0169846024364233
1500,7,20828,709.2072815900001,150000,100.0,146999,0.24762427806854248,0.2884954810142517,0.00073,-376.77227783203125,0.017217982560396194
1510,7,20972,709.28920541,151000,100.0,147999,2.294320583343506,0.5311535596847534,0.00073,-375.36029052734375,0.0157453715801239
1520,7,21115,709.1226029699999,152000,100.0,148999,-0.7677056193351746,0.28273141384124756,0.00073,-378.3346252441406,0.015879597514867783
1530,7,21258,708.95736091,153000,100.0,149999,-0.6635041832923889,0.51237553358078,0.00073,-377.5869140625,0.01568806916475296
1540,7,21403,708.8779105999998,154000,100.0,150999,2.1313083171844482,1.3312586545944214,0.00073,-376.17584228515625,0.016353877261281013
1550,7,21546,708.8877749000001,155000,100.0,151999,-0.5783251523971558,0.4413754940032959,0.00073,-377.6727600097656,0.01622137241065502
1560,7,21690,708.8301112499998,156000,100.0,152999,2.1968305110931396,1.1354758739471436,0.00073,-375.404052734375,0.019193265587091446
1570,7,21834,709.0365924800001,157000,100.0,153999,-2.5579323768615723,0.7849920988082886,0.00073,-377.9853210449219,0.016264785081148148
1580,7,21977,709.3402869500001,158000,100.0,154999,-0.5604668259620667,0.23792609572410583,0.00073,-377.5426025390625,0.01467046421021223
1590,7,22119,709.5458713000002,159000,100.0,155999,-0.7648917436599731,0.25209763646125793,0.00073,-376.38934326171875,0.015529878437519073
1600,7,22264,709.4312349900001,160000,100.0,156999,0.6974629163742065,1.5430949926376343,0.00073,-375.85565185546875,0.0157203059643507
1610,7,22408,709.3050605499999,161000,100.0,157999,0.678047239780426,0.7278919219970703,0.00073,-375.0285339355469,0.016411535441875458
1620,7,22552,709.68669494,162000,100.0,158999,0.10403195023536682,0.330859899520874,0.00073,-375.42694091796875,0.014570713974535465
1630,7,22697,710.2993507000001,163000,100.0,159999,0.039639413356781006,0.5633249878883362,0.00073,-377.66619873046875,0.0143730528652668
1640,7,22842,710.7353717899999,164000,100.0,160999,-0.9030406475067139,0.5206553936004639,0.00073,-376.83013916015625,0.013568640686571598
1650,7,22986,711.2508946100002,165000,100.0,161999,-0.20214559137821198,0.8294260501861572,0.00073,-376.2773132324219,0.014744254760444164
1660,7,23131,711.8110897,166000,100.0,162999,-0.3475790321826935,0.7789102792739868,0.00073,-375.84722900390625,0.01358950324356556
1670,7,23275,712.3715173099997,167000,100.0,163999,-1.6190812587738037,0.3387422561645508,0.00073,-377.450439453125,0.014307381585240364
1680,7,23421,713.06830781,168000,100.0,164999,-1.5329132080078125,0.3448615074157715,0.00073,-378.5140075683594,0.01522686704993248
1690,7,23565,713.90021746,169000,100.0,165999,-0.8876122236251831,0.2049284279346466,0.00073,-378.2615966796875,0.015126053243875504
1700,7,23709,714.4502845000002,170000,100.0,166999,-0.09058898687362671,0.8498822450637817,0.00073,-375.6371154785156,0.014667806215584278
1710,7,23854,715.43600354,171000,100.0,167999,-0.418592631816864,0.31425249576568604,0.00073,-376.51416015625,0.014490673318505287
