rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/fps,train/n_updates,train/actor_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,train/critic_loss
100.0,145792,19984,339.51292839,1460,7,142791,-164.03042602539062,0.08967006951570511,-0.07208335399627686,0.00073,13.480194091796875
100.0,146792,20125,328.70001288,1470,7,143791,-169.1993865966797,0.08851242810487747,-0.6289736032485962,0.00073,12.410497665405273
100.0,147792,20266,354.32015615999995,1480,7,144791,-164.0201416015625,0.08870046585798264,-0.1324816346168518,0.00073,11.245379447937012
100.0,148792,20407,331.23900412999996,1490,7,145791,-171.00210571289062,0.0857366994023323,0.836747407913208,0.00073,10.428457260131836
100.0,149792,20549,324.22265709,1500,7,146791,-168.0970458984375,0.08650457859039307,0.34926071763038635,0.00073,15.18069076538086
100.0,150792,20692,334.46947357,1510,7,147791,-161.8895263671875,0.08726907521486282,1.2133015394210815,0.00073,15.798446655273438
100.0,151792,20833,335.31372977,1520,7,148791,-160.21847534179688,0.08488748967647552,1.090397596359253,0.00073,12.299296379089355
100.0,152792,20975,331.64887758,1530,7,149791,-167.413818359375,0.08368793874979019,0.1317887306213379,0.00073,12.231879234313965
100.0,153792,21116,320.80730532999996,1540,7,150791,-165.7880859375,0.08392921090126038,-0.3991850018501282,0.00073,14.407922744750977
100.0,154792,21257,312.97730845,1550,7,151791,-148.9769287109375,0.0840970054268837,-0.8120110630989075,0.00073,13.160919189453125
100.0,155792,21401,291.37381367,1560,7,152791,-148.3904571533203,0.08390090614557266,-0.6927803754806519,0.00073,11.570825576782227
100.0,156792,21542,307.17727876,1570,7,153791,-150.1179656982422,0.08522164076566696,-1.0033037662506104,0.00073,11.744836807250977
100.0,157792,21687,288.18640662,1580,7,154791,-150.73216247558594,0.08589090406894684,-1.060302495956421,0.00073,12.381884574890137
100.0,158792,21829,300.46148496,1590,7,155791,-163.96051025390625,0.088426373898983,0.31501540541648865,0.00073,12.3798828125
100.0,159792,21972,300.69367744000004,1600,7,156791,-150.04664611816406,0.0843929648399353,-0.6973586082458496,0.00073,14.501482009887695
100.0,160792,22116,274.67042298,1610,7,157791,-152.77467346191406,0.08315175771713257,-0.6719470024108887,0.00073,14.189468383789062
100.0,161792,22258,272.92872363000004,1620,7,158791,-142.37596130371094,0.0829365998506546,0.10787822306156158,0.00073,11.014912605285645
100.0,162792,22398,252.79654161,1630,7,159791,-163.54586791992188,0.08697758615016937,-0.16871488094329834,0.00073,13.110406875610352
100.0,163792,22540,262.59490588999995,1640,7,160791,-161.1241912841797,0.08722031861543655,0.027697637677192688,0.00073,12.276832580566406
100.0,164792,22681,261.522699,1650,7,161791,-157.95315551757812,0.0880134254693985,-1.2553226947784424,0.00073,9.652288436889648
100.0,165792,22824,290.76651125000006,1660,7,162791,-155.64501953125,0.08818688243627548,0.09797826409339905,0.00073,13.563817977905273
100.0,166792,22964,292.60676869,1670,7,163791,-157.820068359375,0.0889362171292305,-1.0649312734603882,0.00073,13.478754997253418
100.0,167792,23105,293.47834084,1680,7,164791,-156.61822509765625,0.08848761767148972,-0.0998370423913002,0.00073,16.773834228515625
100.0,168792,23246,314.04190483,1690,7,165791,-148.02703857421875,0.08936388790607452,0.31275302171707153,0.00073,15.741989135742188
