rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/fps,train/learning_rate,train/ent_coef_loss,train/critic_loss,train/ent_coef,train/actor_loss,train/n_updates
47.89,9231,71718,291.45892889999993,1750,7,0.00073,-7.974729537963867,333.7935791015625,0.1292789876461029,-693.5836181640625,68717
46.79,9283,72099,287.63039116000004,1760,7,0.00073,2.096890926361084,889.379150390625,0.12700431048870087,-790.748046875,69098
46.24,9340,72517,261.2009247,1770,7,0.00073,-3.669579267501831,354.44732666015625,0.12730282545089722,-755.2988891601562,69516
46.0,9404,72993,267.97178542,1780,7,0.00073,-3.4820926189422607,276.37542724609375,0.12897662818431854,-678.6712646484375,69992
46.28,9472,73493,335.98257028,1790,7,0.00073,-8.435152053833008,700.100830078125,0.12388402968645096,-685.1409301757812,70492
46.28,9539,73993,378.1673223,1800,7,0.00073,-6.735483169555664,213.7122344970703,0.12253584712743759,-652.570068359375,70992
46.06,9601,74438,398.26694386999986,1810,7,0.00073,-0.9746745824813843,318.15081787109375,0.13302798569202423,-745.931396484375,71437
46.4,9668,74938,458.75264227,1820,7,0.00073,-0.29654282331466675,11469.3818359375,0.12932713329792023,-756.0965576171875,71937
46.45,9732,75408,425.56658608,1830,7,0.00073,3.4148707389831543,338.7376708984375,0.12847189605236053,-729.8377685546875,72407
46.25,9791,75843,440.01369234,1840,7,0.00073,1.976409673690796,466.2374572753906,0.13301029801368713,-817.2506103515625,72842
45.73,9851,76291,395.37298306,1850,7,0.00073,-3.5660786628723145,369.0484313964844,0.1313842236995697,-710.9440307617188,73290
45.67,9901,76666,388.59301936999987,1860,7,0.00073,4.889796257019043,369.53021240234375,0.1314440667629242,-760.5509033203125,73665
44.5,9942,76967,452.52268698,1870,7,0.00073,0.5852723121643066,365.80242919921875,0.12642142176628113,-762.013427734375,73966
42.83,9985,77276,431.43948852999995,1880,7,0.00073,-1.8522889614105225,13582.0,0.12642613053321838,-731.0294799804688,74275
42.83,10054,77776,364.61576278999996,1890,7,0.00073,-1.0274138450622559,502.3799133300781,0.1291567087173462,-736.3253173828125,74775
42.83,10121,78276,298.25989516000004,1900,7,0.00073,5.997189521789551,683.0484619140625,0.128160759806633,-771.4384155273438,75275
43.38,10190,78776,282.2314293,1910,7,0.00073,-4.960457801818848,420.03887939453125,0.13076980412006378,-795.4641723632812,75775
43.38,10258,79276,197.06976860999995,1920,7,0.00073,-1.6699748039245605,287.73614501953125,0.12354876846075058,-714.779296875,76275
43.51,10323,79759,233.10458536,1930,7,0.00073,4.015848159790039,510.860107421875,0.12453853338956833,-826.5873413085938,76758
43.6,10384,80203,176.26330221000003,1940,7,0.00073,-8.060881614685059,194.1160888671875,0.1209549531340599,-694.2363891601562,77202
43.75,10448,80666,201.57570482,1950,7,0.00073,0.68993079662323,320.380859375,0.1278616040945053,-815.410888671875,77665
