time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,train/ent_coef_loss,train/critic_loss,train/ent_coef,train/actor_loss,train/learning_rate,train/n_updates
1200,765.12962786,100.0,7,120000,16436,-4.150243282318115,0.1302117109298706,0.0036746128462255,-393.5466613769531,0.00073,116999
1210,766.1088470100002,100.0,7,121000,16580,-1.8641772270202637,0.24604961276054382,0.0034609553404152393,-393.5612487792969,0.00073,117999
1220,766.7762049900001,100.0,7,122000,16724,-5.315051555633545,0.08363880217075348,0.0035268713254481554,-393.6820983886719,0.00073,118999
1230,766.58157088,100.0,7,123000,16868,-0.9904534220695496,0.08723552525043488,0.0037382415030151606,-393.5866394042969,0.00073,119999
1240,767.56515309,100.0,7,124000,17012,4.483819484710693,0.0925101637840271,0.005184412468224764,-394.0306396484375,0.00073,120999
1250,768.2065739999999,100.0,7,125000,17154,1.5141339302062988,0.1249542161822319,0.005425166338682175,-395.0396728515625,0.00073,121999
1260,768.2200368399999,100.0,7,126000,17298,0.014003396034240723,0.1272335946559906,0.0042526512406766415,-394.40655517578125,0.00073,122999
1270,767.7062450100001,100.0,7,127000,17442,0.9950063824653625,0.15261434018611908,0.0034319739788770676,-394.4937438964844,0.00073,123999
1280,766.7364503399999,100.0,7,128000,17585,0.7164039611816406,0.11654353886842728,0.0033161998726427555,-393.54388427734375,0.00073,124999
1290,766.98302347,100.0,7,129000,17729,0.820181131362915,0.17368820309638977,0.0033663399517536163,-393.4799499511719,0.00073,125999
1300,766.3908496699999,100.0,7,130000,17873,-1.4758164882659912,0.06872916221618652,0.003583472454920411,-393.9004821777344,0.00073,126999
1310,766.49464062,100.0,7,131000,18018,2.2885560989379883,0.12077553570270538,0.003500506514683366,-393.3548583984375,0.00073,127999
1320,765.77659918,100.0,7,132000,18161,-0.23960421979427338,0.0922347903251648,0.0036509959027171135,-393.7097473144531,0.00073,128999
1330,766.3855147999999,100.0,7,133000,18306,-1.561781883239746,0.2725841701030731,0.0036068004556000233,-394.2013244628906,0.00073,129999
1340,767.2411062200001,100.0,7,134000,18451,-0.5891716480255127,0.10344619303941727,0.0032571228221058846,-393.6571350097656,0.00073,130999
1350,766.22968359,100.0,7,135000,18595,-1.1920042037963867,0.12771029770374298,0.003701390465721488,-393.6631774902344,0.00073,131999
1360,766.48721427,100.0,7,136000,18738,-1.2425668239593506,0.16794124245643616,0.00387595291249454,-393.59716796875,0.00073,132999
1370,767.61445451,100.0,7,137000,18881,-0.39053845405578613,0.17155569791793823,0.004427100066095591,-394.10736083984375,0.00073,133999
1380,766.27491148,100.0,7,138000,19024,-1.6642889976501465,0.13808941841125488,0.004981983918696642,-395.474853515625,0.00073,134999
1390,766.7477076199998,100.0,7,139000,19167,-0.016351759433746338,0.10600762069225311,0.003605589969083667,-394.4941101074219,0.00073,135999
1400,767.7294280300001,100.0,7,140000,19308,-1.2294012308120728,0.10074269771575928,0.0036365503910928965,-394.14501953125,0.00073,136999
1410,767.1354117400001,100.0,7,141000,19451,-0.4738262891769409,0.07346340268850327,0.003542830003425479,-394.4771728515625,0.00073,137999
1420,768.3303797899998,100.0,7,142000,19596,1.8602607250213623,0.08364766836166382,0.0033016493543982506,-394.6410217285156,0.00073,138999
1430,769.2773081000003,100.0,7,143000,19737,-3.5923337936401367,0.12826469540596008,0.0032943382393568754,-394.64642333984375,0.00073,139999
1440,769.1172969800002,100.0,7,144000,19880,-1.8905560970306396,0.08945956826210022,0.0033933960366994143,-394.4949035644531,0.00073,140999
1450,769.5460005,100.0,7,145000,20024,0.41640806198120117,0.15907791256904602,0.003188176080584526,-393.8288269042969,0.00073,141999
1460,769.1400689999998,100.0,7,146000,20167,-1.0144622325897217,0.15091848373413086,0.003066990990191698,-392.9861145019531,0.00073,142999
1470,768.84875653,100.0,7,147000,20310,1.000246524810791,0.19629231095314026,0.0030961555894464254,-393.7119140625,0.00073,143999
1480,770.3013036299999,100.0,7,148000,20452,5.273049831390381,0.11209002137184143,0.003116670763120055,-393.13232421875,0.00073,144999
1490,770.4749577499999,100.0,7,149000,20595,0.5313209295272827,0.10091516375541687,0.002924850909039378,-394.45257568359375,0.00073,145999
1500,769.9285778199999,100.0,7,150000,20737,-0.09121847152709961,0.15005335211753845,0.0031385610345751047,-393.7801513671875,0.00073,146999
1510,771.27378287,100.0,7,151000,20880,0.6686845421791077,0.12229660153388977,0.0033184129279106855,-393.6991882324219,0.00073,147999
1520,771.4862119200001,100.0,7,152000,21021,-1.9072363376617432,0.1754876971244812,0.003098162589594722,-394.5458679199219,0.00073,148999
1530,769.3821653900002,100.0,7,153000,21162,-0.713531494140625,0.15609924495220184,0.0031669666059315205,-394.4095458984375,0.00073,149999
1540,769.0465293899999,100.0,7,154000,21306,0.9589927792549133,0.1384000927209854,0.003093019826337695,-394.0706787109375,0.00073,150999
1550,769.1425712900001,100.0,7,155000,21448,1.5857963562011719,0.09830062091350555,0.00315653532743454,-393.634765625,0.00073,151999
