time/time_elapsed,time/fps,rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/ep_rew_mean,train/ent_coef,train/critic_loss,train/n_updates,train/learning_rate,train/actor_loss,train/ent_coef_loss
33507,7,200.0,1190,235326,2072.10242763,0.03009539283812046,17.065509796142578,232325,0.00073,-543.0589599609375,-4.956663131713867
33799,7,200.0,1200,237326,2078.21600617,0.029520150274038315,16.741657257080078,234325,0.00073,-549.763916015625,-7.472784042358398
34094,7,200.0,1210,239326,2071.1825434599996,0.030977601185441017,19.806026458740234,236325,0.00073,-539.124755859375,7.052458763122559
34386,7,200.0,1220,241326,2096.8499129,0.03139001131057739,18.73995018005371,238325,0.00073,-540.3482666015625,-0.034610748291015625
34679,7,200.0,1230,243326,2113.7403583600003,0.0307815819978714,19.830577850341797,240325,0.00073,-543.2206420898438,10.268702507019043
34974,7,200.0,1240,245326,2106.89935374,0.02981613576412201,16.82061767578125,242325,0.00073,-553.3067626953125,-3.8878166675567627
35265,7,200.0,1250,247326,2111.8108935900004,0.030166102573275566,22.352018356323242,244325,0.00073,-546.8704833984375,2.125000238418579
35557,7,200.0,1260,249326,2108.83283905,0.030865490436553955,17.381271362304688,246325,0.00073,-560.068603515625,-2.5301661491394043
35847,7,200.0,1270,251326,2116.58239272,0.029613200575113297,17.565786361694336,248325,0.00073,-532.6043701171875,-8.456857681274414
36139,7,200.0,1280,253326,2112.8014233900003,0.028897302225232124,17.666671752929688,250325,0.00073,-556.6246948242188,-3.6979191303253174
36431,7,200.0,1290,255326,2130.2984588099994,0.02942020259797573,21.635906219482422,252325,0.00073,-545.82763671875,-1.317030668258667
36724,7,200.0,1300,257326,2156.0159752,0.028692074120044708,20.53369140625,254325,0.00073,-554.9583129882812,-12.732110023498535
37012,7,200.0,1310,259326,2191.1886427000004,0.02892354317009449,15.23347282409668,256325,0.00073,-557.739990234375,-4.044300079345703
37291,7,200.0,1320,261326,2212.27830137,0.028361020609736443,13.358757019042969,258325,0.00073,-552.712646484375,12.977483749389648
37569,7,200.0,1330,263326,2204.0943174800004,0.028525060042738914,15.314326286315918,260325,0.00073,-556.6458129882812,7.079347610473633
37848,7,200.0,1340,265326,2226.20561653,0.02955513633787632,14.80535888671875,262325,0.00073,-561.797119140625,-6.284901142120361
38131,7,200.0,1350,267326,2274.9963362100007,0.02982785366475582,16.473304748535156,264325,0.00073,-569.5921630859375,-5.453895568847656
38428,7,200.0,1360,269326,2316.4719806000003,0.028516370803117752,16.88667106628418,266325,0.00073,-558.5088500976562,14.867619514465332
38726,7,200.0,1370,271326,2327.70926297,0.029722483828663826,15.661361694335938,268325,0.00073,-550.900146484375,1.4502670764923096
39023,7,200.0,1380,273326,2340.92410123,0.029092952609062195,18.248489379882812,270325,0.00073,-557.2008056640625,8.97968864440918
39320,7,200.0,1390,275326,2331.4413373400002,0.029328498989343643,19.97333526611328,272325,0.00073,-562.0578002929688,-11.791474342346191
39619,6,200.0,1400,277326,2294.4921026800007,0.029207827523350716,16.448970794677734,274325,0.00073,-573.8255004882812,-8.089479446411133
39911,6,200.0,1410,279326,2249.91584942,0.02950475551187992,22.53268051147461,276325,0.00073,-553.2147216796875,3.594334125518799
40198,6,200.0,1420,281326,2252.5123187699996,0.02958119846880436,20.476726531982422,278325,0.00073,-555.986328125,-1.9550215005874634
40489,6,200.0,1430,283326,2274.03014497,0.027732817456126213,23.16374969482422,280325,0.00073,-586.724853515625,-2.672419786453247
40778,6,200.0,1440,285326,2272.57526096,0.029771341010928154,18.92693519592285,282325,0.00073,-569.8468627929688,3.925858974456787
41067,6,200.0,1450,287326,2254.97846454,0.028647977858781815,22.094425201416016,284325,0.00073,-570.197998046875,21.046558380126953
41358,6,200.0,1460,289326,2249.76511298,0.028098076581954956,18.93191909790039,286325,0.00073,-568.74853515625,-11.355506896972656
41650,6,200.0,1470,291326,2267.14646855,0.02813642844557762,16.84813690185547,288325,0.00073,-566.8045043945312,2.661008358001709
41940,6,200.0,1480,293326,2307.60994843,0.027662040665745735,18.894807815551758,290325,0.00073,-568.9284057617188,15.060098648071289
42230,6,200.0,1490,295326,2327.86365207,0.027781883254647255,19.692081451416016,292325,0.00073,-566.48046875,15.263113975524902
42521,6,200.0,1500,297326,2379.3311819200003,0.02775951661169529,17.13020133972168,294325,0.00073,-573.5584106445312,6.1148271560668945
42815,6,200.0,1510,299326,2423.63935994,0.027633260935544968,14.740167617797852,296325,0.00073,-568.4810791015625,5.488158226013184
43105,6,200.0,1520,301326,2419.06083813,0.027159513905644417,23.37333106994629,298325,0.00073,-550.76025390625,9.514123916625977
43392,6,200.0,1530,303326,2428.8658076999996,0.02641405165195465,12.622840881347656,300325,0.00073,-596.3046264648438,-8.046096801757812
43682,6,200.0,1540,305326,2376.82696964,0.026832187548279762,15.303616523742676,302325,0.00073,-578.4484252929688,-6.2982282638549805
43978,6,200.0,1550,307326,2377.3218152699997,0.02693960815668106,17.305879592895508,304325,0.00073,-570.2210083007812,2.20689058303833
44271,6,200.0,1560,309326,2372.3389175,0.026229918003082275,17.329235076904297,306325,0.00073,-593.2877197265625,3.9822020530700684
44565,6,200.0,1570,311326,2388.7139309700005,0.025941332802176476,16.509307861328125,308325,0.00073,-576.7647705078125,-0.36040806770324707
44855,6,200.0,1580,313326,2380.74886592,0.024430355057120323,17.323020935058594,310325,0.00073,-588.75341796875,10.934889793395996
45148,6,200.0,1590,315326,2392.0891995399998,0.024206001311540604,13.19466781616211,312325,0.00073,-586.0546264648438,12.856369972229004
45446,6,200.0,1600,317326,2398.2763101799997,0.024936992675065994,16.161148071289062,314325,0.00073,-590.1491088867188,7.7803215980529785
45740,6,200.0,1610,319326,2428.09774163,0.0244017094373703,11.862577438354492,316325,0.00073,-605.98974609375,20.249401092529297
46030,6,200.0,1620,321326,2428.0895658400004,0.024576183408498764,15.028636932373047,318325,0.00073,-596.8692626953125,3.6970481872558594
46324,6,200.0,1630,323326,2451.1676360900005,0.023931443691253662,12.549704551696777,320325,0.00073,-604.43017578125,6.279061794281006
46628,6,200.0,1640,325326,2546.4997704800003,0.024551942944526672,12.444794654846191,322325,0.00073,-610.8268432617188,1.8727452754974365
46925,6,200.0,1650,327326,2573.8048328,0.023101823404431343,15.119759559631348,324325,0.00073,-619.897705078125,1.5940874814987183
47218,6,200.0,1660,329326,2598.0356340900003,0.023816125467419624,13.831192016601562,326325,0.00073,-618.7113037109375,9.5162353515625
47513,6,200.0,1670,331326,2586.4200273300003,0.02343420870602131,13.176858901977539,328325,0.00073,-630.1468505859375,-4.596123695373535
47806,6,200.0,1680,333326,2593.8373334899998,0.023517604917287827,10.819087982177734,330325,0.00073,-636.7017822265625,-9.098132133483887
48101,6,200.0,1690,335326,2597.5674316799996,0.02353467419743538,10.63991928100586,332325,0.00073,-642.0776977539062,1.5347907543182373
48398,6,200.0,1700,337326,2598.58630063,0.02280675433576107,14.011968612670898,334325,0.00073,-642.0476684570312,2.612175703048706
48694,6,200.0,1710,339326,2589.97027201,0.02311781235039234,9.144129753112793,336325,0.00073,-648.149169921875,-1.6328938007354736
48988,6,200.0,1720,341326,2605.16235069,0.022366169840097427,13.794195175170898,338325,0.00073,-644.1235961914062,1.076545000076294
49282,6,200.0,1730,343326,2587.81451208,0.0228012353181839,13.143198013305664,340325,0.00073,-629.4324951171875,2.1181416511535645
49577,6,200.0,1740,345326,2560.09904366,0.021459639072418213,13.696331977844238,342325,0.00073,-655.2313232421875,-5.461057662963867
49872,6,200.0,1750,347326,2558.2417317900004,0.022175000980496407,11.392818450927734,344325,0.00073,-654.8079223632812,-4.520212173461914
50168,6,200.0,1760,349326,2566.20645911,0.021811090409755707,8.925161361694336,346325,0.00073,-661.4205322265625,-10.861343383789062
50463,6,200.0,1770,351326,2561.1769352499996,0.022455444559454918,10.6400728225708,348325,0.00073,-671.2612915039062,-4.123065948486328
50757,6,200.0,1780,353326,2532.0754905199997,0.022773897275328636,12.09295654296875,350325,0.00073,-655.7544555664062,1.3972088098526
51049,6,200.0,1790,355326,2494.97660384,0.02250491827726364,10.894922256469727,352325,0.00073,-669.2078857421875,-3.5856149196624756
51337,6,200.0,1800,357326,2498.77358319,0.021758653223514557,9.36080551147461,354325,0.00073,-663.0673828125,7.661850929260254
51622,6,200.0,1810,359326,2512.66415914,0.02107616513967514,9.75191879272461,356325,0.00073,-673.3419799804688,-2.9712347984313965
51902,6,200.0,1820,361326,2501.5263650200004,0.021097950637340546,10.39194107055664,358325,0.00073,-665.5140380859375,7.1566877365112305
52189,6,200.0,1830,363326,2494.80686496,0.020314453169703484,9.760160446166992,360325,0.00073,-673.0997314453125,0.6335283517837524
52487,6,200.0,1840,365326,2521.34148731,0.020900411531329155,9.366416931152344,362325,0.00073,-677.7156982421875,-15.028193473815918
52770,6,200.0,1850,367326,2528.97986587,0.01978161558508873,10.415632247924805,364325,0.00073,-679.9351806640625,5.636345863342285
53054,6,200.0,1860,369326,2537.7903404900003,0.019438743591308594,8.918224334716797,366325,0.00073,-678.09716796875,10.044739723205566
53333,6,200.0,1870,371326,2565.35253552,0.020117631182074547,7.6524858474731445,368325,0.00073,-689.5601806640625,2.6981117725372314
53614,6,200.0,1880,373326,2604.6389752,0.02037176303565502,7.442543029785156,370325,0.00073,-682.6683959960938,-2.3177456855773926
53898,6,200.0,1890,375326,2657.8120023099996,0.02044631354510784,6.818582057952881,372325,0.00073,-686.9425659179688,-6.159526824951172
54179,6,200.0,1900,377326,2663.9503961100004,0.020002717152237892,8.004304885864258,374325,0.00073,-692.140625,-2.503706216812134
54460,6,200.0,1910,379326,2647.731775630001,0.02137911505997181,9.944971084594727,376325,0.00073,-695.3134765625,0.06858062744140625
54741,6,200.0,1920,381326,2621.3768570800003,0.01967068575322628,7.5417914390563965,378325,0.00073,-694.0194091796875,1.7543284893035889
55025,6,200.0,1930,383326,2659.4588819100004,0.018663737922906876,7.360238552093506,380325,0.00073,-699.1215209960938,-3.6590468883514404
55306,6,200.0,1940,385326,2649.2424865899998,0.018672002479434013,9.852132797241211,382325,0.00073,-695.2662963867188,5.782021999359131
55587,6,200.0,1950,387326,2634.37858459,0.019575897604227066,6.276552200317383,384325,0.00073,-689.5322265625,-3.7487716674804688
55870,6,200.0,1960,389326,2639.7590384299997,0.018965957686305046,5.968836784362793,386325,0.00073,-700.8970947265625,-2.8879952430725098
56152,6,200.0,1970,391326,2640.77063107,0.019212650135159492,12.014080047607422,388325,0.00073,-715.0938110351562,-3.0073375701904297
56436,6,200.0,1980,393326,2591.27236275,0.01872834376990795,8.223898887634277,390325,0.00073,-718.4999389648438,6.336247444152832
56716,6,200.0,1990,395326,2544.5559365299996,0.01922863908112049,7.026015281677246,392325,0.00073,-719.3914794921875,6.562957763671875
56999,6,200.0,2000,397326,2520.11662964,0.01924966089427471,7.916326522827148,394325,0.00073,-727.48193359375,6.4753241539001465
57285,6,200.0,2010,399326,2531.05389194,0.017054909840226173,6.405313968658447,396325,0.00073,-716.5241088867188,-0.5307039022445679
57571,6,200.0,2020,401326,2588.7241533700003,0.01730412431061268,5.76505184173584,398325,0.00073,-716.2913818359375,-0.3191194534301758
57854,6,200.0,2030,403326,2594.09053956,0.017364224418997765,6.638866424560547,400325,0.00073,-707.7455444335938,-2.955244541168213
58136,6,200.0,2040,405326,2617.22181344,0.017584178596735,6.268876075744629,402325,0.00073,-706.6945190429688,2.352914810180664
58418,6,200.0,2050,407326,2638.0488229400003,0.017786510288715363,7.140402793884277,404325,0.00073,-718.9104614257812,-3.022446632385254
58697,6,200.0,2060,409326,2611.80730471,0.017799600958824158,6.6535844802856445,406325,0.00073,-711.4589233398438,10.248777389526367
58979,6,200.0,2070,411326,2615.68273341,0.017336053773760796,5.915807723999023,408325,0.00073,-718.6048583984375,-0.9139746427536011
59260,6,200.0,2080,413326,2670.7859326,0.01716548390686512,8.02961254119873,410325,0.00073,-719.5244750976562,0.7419672012329102
