time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates,train/ent_coef_loss
6,821083,735.5057049699999,8450,117883,100.0,0.01149935182183981,0.802178144454956,-414.38323974609375,0.00073,818082,-2.1789040565490723
6,822083,736.0289276,8460,118036,100.0,0.008700483478605747,0.35363125801086426,-411.0320739746094,0.00073,819082,-6.9291863441467285
6,823083,736.0369782900001,8470,118190,100.0,0.007351647596806288,0.28427594900131226,-405.9977722167969,0.00073,820082,-5.123480796813965
6,824083,736.0519494100001,8480,118344,100.0,0.006329350173473358,0.17271384596824646,-403.1714782714844,0.00073,821082,-5.866839408874512
6,825083,734.5839176700001,8490,118495,100.0,0.006583052221685648,0.32348090410232544,-401.17376708984375,0.00073,822082,-0.9159773588180542
6,826083,734.73456413,8500,118646,100.0,0.007308258209377527,0.24247370660305023,-400.4541320800781,0.00073,823082,-6.226014137268066
6,827083,734.66858727,8510,118795,100.0,0.006112506613135338,0.22461077570915222,-399.38848876953125,0.00073,824082,-0.0495145320892334
6,828083,734.6520119600001,8520,118947,100.0,0.006027651950716972,0.2216702699661255,-398.5706481933594,0.00073,825082,-12.308250427246094
6,829083,739.6500914099998,8530,119097,100.0,0.005574382375925779,0.15605498850345612,-398.085205078125,0.00073,826082,-9.814817428588867
6,829846,727.1446671399999,8540,119211,97.63,0.015146731398999691,10.404597282409668,-500.75689697265625,0.00073,826845,243.96632385253906
6,830217,647.58299406,8550,119266,91.34,0.020019076764583588,7.477201461791992,-544.7027587890625,0.00073,827216,123.50309753417969
6,831217,629.20870268,8560,119416,91.34,0.025080936029553413,2.931239366531372,-521.063232421875,0.00073,828216,-7.361494064331055
6,832217,628.3413875800001,8570,119564,91.34,0.022090839222073555,2.8353915214538574,-483.598876953125,0.00073,829216,-27.33857536315918
6,833217,611.74534956,8580,119711,91.34,0.017580129206180573,1.2815754413604736,-457.6175537109375,0.00073,830216,-5.623355865478516
6,834217,547.9166256299999,8590,119858,91.34,0.025442808866500854,2.5703492164611816,-463.4153137207031,0.00073,831216,-1.5074130296707153
6,835217,512.99547005,8600,120003,91.34,0.020962167531251907,1.7937277555465698,-452.3785400390625,0.00073,832216,-3.456986904144287
6,836217,506.58229078999994,8610,120148,91.34,0.016551638022065163,1.5001685619354248,-438.5438232421875,0.00073,833216,-8.221610069274902
6,837217,504.87123626,8620,120292,91.34,0.01345725916326046,1.0819525718688965,-428.2047119140625,0.00073,834216,-4.682033538818359
6,838217,503.25826752,8630,120440,91.34,0.012086771428585052,1.0728459358215332,-419.888427734375,0.00073,835216,-2.8723185062408447
6,839217,548.0648259699999,8640,120586,93.71,0.011172446422278881,1.2562255859375,-414.0673828125,0.00073,836216,-4.867877006530762
6,840217,628.1973895799999,8650,120732,100.0,0.010597645305097103,1.076117992401123,-409.2630310058594,0.00073,837216,-8.565845489501953
6,841217,642.005448,8660,120875,100.0,0.01258539967238903,1.1410496234893799,-407.226318359375,0.00073,838216,26.783063888549805
6,842217,620.09762963,8670,121021,100.0,0.012137103825807571,0.890561580657959,-404.4239807128906,0.00073,839216,-1.1206398010253906
6,843217,634.15461004,8680,121165,100.0,0.009773078374564648,1.0467642545700073,-402.9495544433594,0.00073,840216,5.963149070739746
