iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
53,1.388765573501587,-539.4061419546189,3.7267947036929248,-530.5149806594134,-551.8188881844844,0.0,0.547862902926475,0.1,0.03622150421142578,0.2757589817047119,0.0504325,0.17274642,-539.7736059002114,-0.1345627376505998,-2.4883108264150207,0.0,1759,0.4405555725097656,7.70116586666458e-05,7.227537512841453e-05,-536.7671737070323,0.0
54,1.4379849433898926,-538.6889129628986,4.4064502594228045,-530.1583348980782,-555.6908947656309,0.0,0.5411106548706628,0.1,0.04727578163146973,0.2182779312133789,0.050326888,0.17067778,-539.66513660648,-0.1356806307792073,-2.4847702533067375,0.0,1704,0.35294055938720703,9.378705702161219e-05,8.628993456762786e-05,-537.8322357366079,0.0
55,1.6721539497375488,-539.5799525263001,4.710728393776546,-529.325497749944,-554.20386897468,0.0,0.5785796401898535,0.1,0.02579975128173828,0.26520466804504395,0.050679132,0.16578396,-539.6566181984621,-0.13520860963905704,-2.4891699787440973,0.0,1782,0.37598752975463867,8.79953815558655e-05,8.34303132954979e-05,-538.3063161108378,0.0
56,1.4455878734588623,-539.5620977511848,3.8703723049321312,-531.937412989759,-554.6312657401965,0.0,0.5544309415006153,0.1,0.010972738265991211,0.2568819522857666,0.05006454,0.16787314,-539.6471661537344,-0.13524462720579508,-2.4889998423569337,0.0,1779,0.36762070655822754,8.525800607481755e-05,7.212127150505196e-05,-538.4419921954171,0.0
57,1.8141546249389648,-539.1189527756886,3.50603214230029,-531.5935787578194,-551.5507261868268,0.0,0.59662438523932,0.1,0.06364917755126953,0.18622422218322754,0.049861997,0.17107423,-539.5943448159297,-0.13362068414545034,-2.4869016862002975,0.0,1777,0.22673439979553223,7.339574215071532e-05,6.856024541194866e-05,-537.8996025464094,0.0
58,1.4647974967956543,-539.0311363835984,3.6647504709787015,-530.3757483042355,-546.8310118208531,0.0,0.5909449942018707,0.1,0.010053634643554688,0.24030041694641113,0.05083098,0.17612289,-539.5380239726966,-0.13679435284909203,-2.486332607289074,0.0,1745,0.4379444122314453,7.70994244554106e-05,7.062998821359688e-05,-535.820207433034,0.0
59,1.9164741039276123,-539.7725101659538,3.949161638691932,-530.4853443336198,-556.7997368943431,0.0,0.5652217733573055,0.1,0.04820537567138672,0.28218960762023926,0.05093283,0.17164285,-539.5614725920223,-0.1347023069409367,-2.4901031022641003,0.0,1804,0.4284963607788086,7.105014530899173e-05,6.595088535802553e-05,-535.8202782885334,0.0
60,1.3145503997802734,-538.885549289348,3.1156205699743484,-531.1411545434751,-546.6250099303206,0.0,0.574466453970737,0.1,0.048995018005371094,0.2528245449066162,0.05086443,0.16821237,-539.4938802617548,-0.13427618094149782,-2.4856486380096077,0.0,1749,0.5533523559570312,8.679358739744945e-05,7.942322388656684e-05,-536.8196975973293,0.0
61,1.580151081085205,-539.3145398179064,4.29674535859026,-529.0365780287433,-555.4098565688314,0.0,0.5488538777953239,0.1,0.010190486907958984,0.21970772743225098,0.0499441,0.18473026,-539.4759462173699,-0.13453033190895305,-2.487861663472317,0.0,1788,0.32941603660583496,6.805422534411787e-05,6.206266473576244e-05,-536.8980493175362,0.0
62,1.3349967002868652,-538.6876233616132,3.5334801092172534,-530.9404550218271,-549.672648055178,0.0,0.5678399453216237,0.1,0.013342142105102539,0.2264726161956787,0.05020748,0.16328155,-539.3971139317943,-0.13427722094270242,-2.484755838727325,0.0,1757,0.3562648296356201,6.902824363845437e-05,6.0485190049690836e-05,-536.3128362377723,0.0
