time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/ent_coef,train/learning_rate,train/critic_loss,train/actor_loss,train/ent_coef_loss,train/n_updates
930,100.0,93000,11823,-277.48473480999996,7,0.00444167060777545,0.00073,0.7560422420501709,101.81372833251953,12.143087387084961,89999
940,100.0,94000,11956,-275.52079202,7,0.0042472584173083305,0.00073,0.5279278755187988,101.46223449707031,1.2341334819793701,90999
950,100.0,95000,12090,-277.03693551,7,0.004327526781708002,0.00073,0.4126185178756714,102.73626708984375,15.40742301940918,91999
960,100.0,96000,12223,-273.09987255,7,0.004125147592276335,0.00073,0.497026264667511,102.50151062011719,4.18258810043335,92999
970,100.0,97000,12357,-273.08339944000005,7,0.00413855304941535,0.00073,0.5807974338531494,101.8484115600586,20.33037567138672,93999
980,100.0,98000,12492,-271.48817471,7,0.004210277460515499,0.00073,0.5554853677749634,101.96572875976562,-4.619135856628418,94999
990,100.0,99000,12625,-270.13133536999993,7,0.004165160469710827,0.00073,0.5236133933067322,102.34243774414062,5.516658782958984,95999
1000,100.0,100000,12759,-265.08128146,7,0.004067497327923775,0.00073,0.45048385858535767,102.57796478271484,-2.8772740364074707,96999
1010,100.0,101000,12892,-263.31454916999996,7,0.004079619888216257,0.00073,0.4645913541316986,102.1138916015625,-0.4313793182373047,97999
1020,100.0,102000,13027,-260.46767671000003,7,0.003997864201664925,0.00073,0.4883955717086792,101.17778015136719,-2.6380887031555176,98999
1030,100.0,103000,13159,-259.11703839,7,0.003948983736336231,0.00073,0.4505924880504608,102.91197204589844,5.9305949211120605,99999
1040,100.0,104000,13292,-258.60959148,7,0.003937399480491877,0.00073,0.4706919193267822,103.1836929321289,-5.040443420410156,100999
1050,100.0,105000,13424,-255.73434924999995,7,0.003957594744861126,0.00073,0.38082608580589294,103.17194366455078,0.5037038326263428,101999
1060,100.0,106000,13557,-256.74446142,7,0.003971667494624853,0.00073,0.4588031768798828,104.83305358886719,3.9716365337371826,102999
1070,100.0,107000,13690,-255.01426553999997,7,0.003783805761486292,0.00073,0.43820005655288696,105.55864715576172,8.447999954223633,103999
1080,100.0,108000,13822,-253.42278240999997,7,0.003949313424527645,0.00073,0.4143097698688507,103.46774291992188,-7.712313175201416,104999
1090,100.0,109000,13955,-250.84843982,7,0.003814490046352148,0.00073,0.4916982054710388,104.52752685546875,-1.1894475221633911,105999
1100,100.0,110000,14088,-249.36614773999997,7,0.0037824006285518408,0.00073,0.42992839217185974,104.27674865722656,3.774627923965454,106999
1110,100.0,111000,14222,-249.33690042000006,7,0.00381018896587193,0.00073,0.3458684980869293,104.66681671142578,10.863860130310059,107999
1120,100.0,112000,14355,-249.508721,7,0.0037272844929248095,0.00073,0.40292060375213623,104.95915222167969,3.395915985107422,108999
1130,100.0,113000,14487,-246.34791232999999,7,0.003711983095854521,0.00073,0.32495564222335815,105.72990417480469,-8.349017143249512,109999
1140,100.0,114000,14621,-242.06800024,7,0.003623644355684519,0.00073,0.35740819573402405,105.34442138671875,-0.11507606506347656,110999
1150,100.0,115000,14754,-239.63397731,7,0.0036476461682468653,0.00073,0.33129775524139404,105.56066131591797,-6.5280632972717285,111999
1160,100.0,116000,14887,-238.36160711,7,0.0038182460702955723,0.00073,0.3856508135795593,103.73251342773438,2.068253517150879,112999
1170,100.0,117000,15022,-236.42441958,7,0.003774134675040841,0.00073,0.4495082199573517,105.87981414794922,4.787355422973633,113999
1180,100.0,118000,15157,-235.88005989000004,7,0.003660129848867655,0.00073,0.30161070823669434,105.0712890625,-3.6624491214752197,114999
1190,100.0,119000,15291,-234.93370973,7,0.003682471113279462,0.00073,0.3510330319404602,105.12026977539062,-2.6239190101623535,115999
1200,100.0,120000,15426,-233.17726036999997,7,0.003679174929857254,0.00073,0.35633569955825806,103.9233169555664,-2.734890937805176,116999
1210,100.0,121000,15559,-231.32187534000002,7,0.0036522599402815104,0.00073,0.35131412744522095,102.97665405273438,-8.065681457519531,117999
1220,100.0,122000,15691,-231.48381282,7,0.0036629303358495235,0.00073,0.32259929180145264,102.92378234863281,4.697247505187988,118999
1230,100.0,123000,15825,-232.61935651999997,7,0.003628952894359827,0.00073,0.37490493059158325,102.95970916748047,0.5284624099731445,119999
1240,100.0,124000,15957,-233.92155424999999,7,0.0036679815966635942,0.00073,0.335742324590683,103.97308349609375,2.7093281745910645,120999
