rollout/ep_len_mean,time/total_timesteps,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/n_updates,train/critic_loss,train/actor_loss
39.52,1314241,7,30180,-193.51363338,184603,0.00073,3.2375149726867676,0.024246497079730034,1311240,18.160917282104492,91.8832015991211
39.2,1314575,7,30190,-192.35291389000002,184650,0.00073,6.879530429840088,0.02327154204249382,1311574,22.4751033782959,98.08002471923828
38.44,1314945,7,30200,-188.87098894,184702,0.00073,-9.716325759887695,0.023613562807440758,1311944,18.048439025878906,98.46424102783203
38.5,1315380,7,30210,-186.2838148,184764,0.00073,2.9813389778137207,0.023662080988287926,1312379,20.35297393798828,98.3099365234375
39.15,1315814,7,30220,-185.68382399999996,184825,0.00073,-3.90339994430542,0.02413087897002697,1312813,17.2839412689209,100.27314758300781
38.81,1316212,7,30230,-187.45028213,184880,0.00073,8.936856269836426,0.025031806901097298,1313211,17.505931854248047,95.43058013916016
37.82,1316546,7,30240,-190.27857636000002,184926,0.00073,-7.5846357345581055,0.024400440976023674,1313545,18.903423309326172,99.0921859741211
38.85,1316949,7,30250,-191.48167921000004,184982,0.00073,1.5719795227050781,0.02455754578113556,1313948,22.016613006591797,97.8691177368164
38.22,1317347,7,30260,-193.11778038,185036,0.00073,8.081400871276855,0.024541860446333885,1314346,24.219078063964844,83.38137817382812
37.73,1317713,7,30270,-192.03768767000005,185088,0.00073,0.48675501346588135,0.023217851296067238,1314712,20.114025115966797,89.1882553100586
39.05,1318146,7,30280,-189.39880315000002,185147,0.00073,-2.682800054550171,0.023995839059352875,1315145,19.708690643310547,90.96033477783203
39.33,1318508,7,30290,-193.88491541000002,185197,0.00073,0.8034148216247559,0.024170735850930214,1315507,18.200586318969727,98.94258117675781
38.6,1318805,7,30300,-193.01981002999997,185239,0.00073,10.292819023132324,0.024103572592139244,1315804,19.387435913085938,96.51217651367188
38.57,1319237,7,30310,-193.58724512999999,185299,0.00073,-3.0171186923980713,0.02419072948396206,1316236,15.755331039428711,88.28544616699219
38.56,1319670,7,30320,-191.88687578000005,185360,0.00073,7.746072292327881,0.02460647188127041,1316669,22.451828002929688,80.66903686523438
38.92,1320104,7,30330,-190.91864195000002,185421,0.00073,-0.13555145263671875,0.0251817237585783,1317103,19.76244354248047,97.2768783569336
40.23,1320569,7,30340,-191.43154189,185486,0.00073,-0.22891473770141602,0.024560730904340744,1317568,21.638259887695312,95.98136138916016
39.65,1320914,7,30350,-188.70880931999997,185533,0.00073,5.645317077636719,0.02477002888917923,1317913,19.073528289794922,84.98279571533203
40.0,1321347,7,30360,-187.03609730999997,185594,0.00073,0.4302089810371399,0.025482725352048874,1318346,20.91991424560547,87.21037292480469
39.98,1321711,7,30370,-186.25250720000003,185644,0.00073,1.8056926727294922,0.026030592620372772,1318710,21.37676239013672,90.8379898071289
39.99,1322145,7,30380,-189.72768043,185704,0.00073,1.5139026641845703,0.024653661996126175,1319144,20.89974594116211,89.75886535644531
40.03,1322511,7,30390,-184.49914017999998,185755,0.00073,2.339139699935913,0.025644609704613686,1319510,18.941085815429688,99.08334350585938
41.34,1322939,7,30400,-184.366116,185814,0.00073,-1.9954397678375244,0.025315674021840096,1319938,20.59808349609375,100.00714111328125
41.7,1323407,7,30410,-185.76178637,185879,0.00073,-0.9726886749267578,0.025182167068123817,1320406,29.078338623046875,97.23221588134766
40.04,1323674,7,30420,-189.07470781000004,185916,0.00073,-1.8011035919189453,0.025143736973404884,1320673,16.420074462890625,84.48457336425781
39.37,1324041,7,30430,-189.05240304,185967,0.00073,4.5266218185424805,0.024850856512784958,1321040,19.580455780029297,95.35191345214844
