time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/episodes,train/learning_rate,train/n_updates,train/ent_coef,train/actor_loss,train/critic_loss,train/ent_coef_loss
7,-1.3121970300000012,61.25,39538,5043,1350,0.00073,36537,0.3792136609554291,-1616.81494140625,1617.6025390625,-1.6343244314193726
7,-3.9468826399999997,60.39,40091,5118,1360,0.00073,37090,0.3481125831604004,-1488.611328125,4921.3662109375,2.1069605350494385
7,-6.897708449999999,55.84,40410,5162,1370,0.00073,37409,0.33206039667129517,-1429.5828857421875,1672.7767333984375,1.314054012298584
7,-4.26728611,55.93,40890,5228,1380,0.00073,37889,0.302908331155777,-1360.5042724609375,1573.1202392578125,-1.2931195497512817
7,1.8489208999999998,57.08,41694,5340,1390,0.00073,38693,0.28203240036964417,-1252.3914794921875,4251.31787109375,-1.2054073810577393
7,0.9759242800000001,56.07,42161,5404,1400,0.00073,39160,0.2671089172363281,-1185.36474609375,1727.771728515625,-0.4956626296043396
7,2.5709648499999993,56.63,42781,5489,1410,0.00073,39780,0.2277386486530304,-1100.4810791015625,987.36572265625,-0.7792568206787109
7,7.8242088,59.63,43580,5599,1420,0.00073,40579,0.1968013495206833,-981.9579467773438,1437.065185546875,0.7101938128471375
7,10.82498635,59.41,44266,5692,1430,0.00073,41265,0.18584755063056946,-895.9208984375,787.7779541015625,1.8904283046722412
7,9.08172279,59.45,44914,5782,1440,0.00073,41913,0.1676073521375656,-807.486572265625,561.9929809570312,-1.344557523727417
7,10.32898092,60.17,45555,5869,1450,0.00073,42554,0.15147946774959564,-734.008056640625,628.7451171875,-2.393958568572998
7,13.90914404,58.96,45987,5928,1460,0.00073,42986,0.1439281851053238,-696.3850708007812,329.6657409667969,-1.369011640548706
7,18.2562682,62.93,46703,6027,1470,0.00073,43702,0.12329935282468796,-617.7534790039062,420.1158447265625,1.3617874383926392
7,14.79098164,64.49,47339,6115,1480,0.00073,44338,0.11254705488681793,-564.682861328125,560.568603515625,1.9790546894073486
7,10.76998248,63.2,48014,6208,1490,0.00073,45013,0.1026216670870781,-507.4085388183594,322.9355163574219,-4.601726531982422
7,18.05606453,65.78,48739,6307,1500,0.00073,45738,0.08876638859510422,-455.2167663574219,275.63800048828125,2.0884716510772705
7,19.2439096,67.39,49520,6414,1510,0.00073,46519,0.07324369251728058,-408.80255126953125,513.7029418945312,-1.8327906131744385
7,24.4103617,69.06,50486,6547,1520,0.00073,47485,0.06514663249254227,-357.22576904296875,319.0145263671875,0.7932115793228149
7,22.184408929999996,67.57,51023,6622,1530,0.00073,48022,0.05802278220653534,-323.6802673339844,116.93888854980469,-3.790067195892334
7,18.766624650000004,68.15,51729,6719,1540,0.00073,48728,0.05397435650229454,-293.7240295410156,144.45729064941406,-2.6660079956054688
7,29.476878499999994,71.74,52729,6856,1550,0.00073,49728,0.04482211172580719,-253.15542602539062,70.92245483398438,-0.891681432723999
7,39.81218981000001,77.42,53729,6995,1560,0.00073,50728,0.0384543351829052,-223.25389099121094,52.275421142578125,5.405516624450684
7,44.571157809999995,77.32,54435,7092,1570,0.00073,51434,0.03683563694357872,-204.8485107421875,254.14251708984375,-12.942598342895508
7,63.19266864,79.7,55309,7212,1580,0.00073,52308,0.032729119062423706,-180.4817657470703,37.34242248535156,-4.343132972717285
7,79.70836184,82.85,56299,7348,1590,0.00073,53298,0.028307132422924042,-160.9788360595703,32.468406677246094,-9.433198928833008
7,87.70656232000002,85.6,57299,7485,1600,0.00073,54298,0.02804790437221527,-149.66976928710938,38.10523986816406,-5.094331741333008
7,109.22622756999999,87.79,58299,7619,1610,0.00073,55298,0.02783392183482647,-142.00392150878906,92.98110961914062,9.83824348449707
7,124.89912063,88.13,59299,7756,1620,0.00073,56298,0.024789348244667053,-138.4744110107422,24.161291122436523,-4.425754070281982
7,141.28691302,90.8,60103,7866,1630,0.00073,57102,0.024745751172304153,-139.21871948242188,18.4492244720459,2.112898349761963
7,166.11969327,93.74,61103,8005,1640,0.00073,58102,0.025125039741396904,-134.37188720703125,24.35394287109375,9.885220527648926
7,177.75143714,92.76,62005,8129,1650,0.00073,59004,0.023929862305521965,-135.30250549316406,17.064697265625,-0.23182517290115356
7,195.50183644999998,92.76,63005,8267,1660,0.00073,60004,0.025230424478650093,-138.27951049804688,24.461288452148438,-3.304786205291748
7,219.61470753,95.7,64005,8405,1670,0.00073,61004,0.02504122070968151,-137.8425750732422,149.16714477539062,8.238506317138672
7,227.45420615999998,96.53,64962,8537,1680,0.00073,61961,0.026056908071041107,-142.52243041992188,16.958969116210938,4.8216400146484375
