time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,train/learning_rate,train/ent_coef_loss,train/actor_loss,train/ent_coef,train/critic_loss,train/n_updates
30982,34.83,6.094745729999999,8,3756,870,0.00073,15.601873397827148,-47.435951232910156,0.011810452677309513,3.363144874572754,27981
31377,35.57,6.345597449999999,8,3808,880,0.00073,31.805156707763672,-62.293861389160156,0.015328645706176758,7.87455940246582,28376
31719,35.94,6.98826956,8,3853,890,0.00073,-11.813878059387207,-55.44786834716797,0.01864275150001049,9.187873840332031,28718
32152,37.05,9.13088299,8,3911,900,0.00073,8.531448364257812,-93.71786499023438,0.02265346609055996,6.632529258728027,29151
32482,36.42,15.12452546,8,3955,910,0.00073,-1.872767448425293,-112.0350341796875,0.02574874833226204,10.544989585876465,29481
32828,35.87,22.60370195,8,4001,920,0.00073,7.853228569030762,-138.4146728515625,0.030076004564762115,30.496129989624023,29827
33262,36.06,24.506501779999997,8,4058,930,0.00073,20.589750289916992,-161.17320251464844,0.03534172847867012,14.117873191833496,30261
33762,36.81,23.29373721,8,4125,940,0.00073,13.962747573852539,-179.94386291503906,0.040792591869831085,25.716678619384766,30761
34262,39.0,20.4900888,8,4190,950,0.00073,10.145472526550293,-220.14515686035156,0.0433126799762249,19.900287628173828,31261
34711,40.59,46.846106500000005,8,4250,960,0.00073,-1.577712893486023,-220.12734985351562,0.0462026447057724,33.40876770019531,31710
35095,41.13,79.33170088000001,8,4301,970,0.00073,-1.9519929885864258,-228.7265167236328,0.05149444192647934,23.813858032226562,32094
35543,41.66,79.28271166999998,8,4361,980,0.00073,-5.770793914794922,-266.1004638671875,0.057146694511175156,53.180259704589844,32542
35962,42.43,83.75187885,8,4415,990,0.00073,3.5371882915496826,-271.83245849609375,0.06178667023777962,28.271160125732422,32961
36392,42.4,79.76446160000002,8,4472,1000,0.00073,-6.327681064605713,-291.9664001464844,0.0625748485326767,48.238983154296875,33391
36802,43.2,74.78434549000002,8,4526,1010,0.00073,-3.917789936065674,-353.18499755859375,0.06690885871648788,53.59489822387695,33801
37219,43.91,66.01992208,8,4582,1020,0.00073,5.159134387969971,-413.5277404785156,0.07000181823968887,105.15541076660156,34218
37719,44.57,63.25375223,8,4648,1030,0.00073,1.5750929117202759,-387.68865966796875,0.07363295555114746,59.79151916503906,34718
38219,44.57,101.74254953000002,8,4714,1040,0.00073,-2.0043280124664307,-395.8950500488281,0.07987931370735168,125.27406311035156,35218
38689,44.27,103.88913061000001,8,4776,1050,0.00073,-4.901681423187256,-425.13287353515625,0.08821045607328415,69.11382293701172,35688
38997,42.86,71.51423653,8,4817,1060,0.00073,-2.0664403438568115,-429.36956787109375,0.08408297598361969,159.6546173095703,35996
39443,43.48,26.9501394,8,4877,1070,0.00073,-2.531736373901367,-468.6873779296875,0.08837077021598816,99.23426818847656,36442
39943,44.0,28.04725591,8,4945,1080,0.00073,4.32067346572876,-458.86578369140625,0.08597367256879807,182.59327697753906,36942
40261,42.99,20.43025042,8,4987,1090,0.00073,-3.195957660675049,-496.9683837890625,0.08901103585958481,103.00706481933594,37260
40741,43.49,20.4353031,8,5050,1100,0.00073,4.859853744506836,-554.5711669921875,0.08807674050331116,90.83583068847656,37740
41225,44.23,17.392505289999995,8,5115,1110,0.00073,-13.2362060546875,-514.4566040039062,0.08728732913732529,161.81826782226562,38224
41666,44.47,15.913775939999994,8,5174,1120,0.00073,10.533679962158203,-527.5322265625,0.08974745124578476,159.72702026367188,38665
42090,43.71,21.98178792,8,5230,1130,0.00073,2.9987878799438477,-556.7518920898438,0.08903499692678452,100.12936401367188,39089
42483,42.64,-19.0463904,8,5282,1140,0.00073,0.17524504661560059,-555.3194580078125,0.08825370669364929,91.13642883300781,39482
42865,41.76,-0.9642777400000014,8,5334,1150,0.00073,7.2740797996521,-611.7982177734375,0.09161172062158585,113.23849487304688,39864
43208,42.11,-4.0750563799999995,8,5379,1160,0.00073,8.227643966674805,-579.76953125,0.09789655357599258,277.367919921875,40207
43624,41.81,-3.333590569999999,8,5434,1170,0.00073,-3.2697508335113525,-587.130126953125,0.09758445620536804,112.35824584960938,40623
44051,41.08,-6.608290010000002,8,5491,1180,0.00073,9.89338493347168,-590.3268432617188,0.10038236528635025,156.7398681640625,41050
44297,40.36,-2.6224975099999988,8,5523,1190,0.00073,-3.5441296100616455,-578.418212890625,0.10925053060054779,123.25157928466797,41296
44687,39.46,-2.810677710000001,8,5575,1200,0.00073,-4.194997310638428,-595.788330078125,0.10601276904344559,321.9779052734375,41686
45047,38.22,-0.22320356999999924,8,5622,1210,0.00073,5.079648971557617,-654.62255859375,0.10905062407255173,133.85372924804688,42046
45476,38.1,0.7311253999999984,8,5680,1220,0.00073,2.3647170066833496,-648.931884765625,0.1051543727517128,140.8062744140625,42475
45869,37.79,-0.67520536,8,5732,1230,0.00073,6.174732685089111,-673.7432250976562,0.11165166646242142,168.22982788085938,42868
46369,38.86,15.25835415,7,5798,1240,0.00073,0.10711115598678589,-687.8056640625,0.11226613819599152,788.9453735351562,43368
46819,39.54,7.916739690000001,7,5859,1250,0.00073,3.328583240509033,-650.9226684570312,0.10726211220026016,110.14501953125,43818
47319,41.11,8.508199379999999,7,5926,1260,0.00073,-6.050630569458008,-653.0135498046875,0.10812456905841827,183.3123016357422,44318
47819,41.95,9.552212679999998,7,5992,1270,0.00073,0.20139586925506592,-709.9158935546875,0.10533644258975983,109.17156982421875,44818
48296,42.45,29.176948399999997,7,6056,1280,0.00073,1.7757389545440674,-676.7938232421875,0.10046877712011337,240.09945678710938,45295
48675,43.78,25.01793166,7,6107,1290,0.00073,-3.2668566703796387,-665.935302734375,0.10552358627319336,319.2098083496094,45674
49038,43.51,25.510818279999988,7,6156,1300,0.00073,1.4669077396392822,-662.373779296875,0.10638492554426193,124.4632568359375,46037
