time/total_timesteps,time/episodes,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/ent_coef_loss,train/actor_loss,train/ent_coef,train/critic_loss
106000,1060,14802,7,766.1573094,100.0,0.00073,102999,-1.4617431163787842,-393.8084716796875,0.003511367831379175,0.1519070863723755
107000,1070,14951,7,766.2667035100001,100.0,0.00073,103999,3.0997331142425537,-394.1556701660156,0.0034560540225356817,0.1817399561405182
108000,1080,15102,7,765.7171960700001,100.0,0.00073,104999,-0.7307970523834229,-393.88311767578125,0.0032594455406069756,0.12669597566127777
109000,1090,15252,7,766.4565730799998,100.0,0.00073,105999,0.5902723073959351,-393.5727844238281,0.0033330675214529037,0.1534908413887024
110000,1100,15402,7,766.0420111500002,100.0,0.00073,106999,2.40122652053833,-393.72015380859375,0.003204219974577427,0.12634024024009705
111000,1110,15552,7,765.23414028,100.0,0.00073,107999,-2.848586082458496,-394.47015380859375,0.0031331658829003572,0.06097725033760071
112000,1120,15702,7,767.4433735800001,100.0,0.00073,108999,0.47346198558807373,-394.46893310546875,0.0032601854763925076,0.14263543486595154
113000,1130,15852,7,766.48822897,100.0,0.00073,109999,0.14655324816703796,-394.092041015625,0.003348938189446926,0.13265292346477509
114000,1140,15999,7,766.8896008,100.0,0.00073,110999,-3.7419962882995605,-394.0090637207031,0.0032478421926498413,0.15294601023197174
115000,1150,16146,7,766.6429290699999,100.0,0.00073,111999,-3.2064082622528076,-394.4176330566406,0.0029274742119014263,0.17322297394275665
116000,1160,16295,7,767.25458685,100.0,0.00073,112999,2.180896759033203,-394.2240905761719,0.003236094955354929,0.20747986435890198
117000,1170,16443,7,767.92435294,100.0,0.00073,113999,-0.9077990055084229,-394.0619812011719,0.0032032972667366266,0.08082178980112076
118000,1180,16590,7,768.3880986699999,100.0,0.00073,114999,6.8822245597839355,-392.727294921875,0.002993860514834523,0.20435909926891327
119000,1190,16738,7,768.4972849,100.0,0.00073,115999,-0.922797679901123,-394.7035217285156,0.003009556559845805,0.14279252290725708
120000,1200,16885,7,767.3978372300002,100.0,0.00073,116999,-1.9825422763824463,-393.8665771484375,0.0030910265631973743,0.18351101875305176
121000,1210,17034,7,767.09142557,100.0,0.00073,117999,-0.13221955299377441,-394.16571044921875,0.002947248285636306,0.09582673013210297
122000,1220,17182,7,766.97057704,100.0,0.00073,118999,1.2689440250396729,-393.7668151855469,0.0030366743449121714,0.10427682101726532
123000,1230,17332,7,768.02330817,100.0,0.00073,119999,1.5975368022918701,-393.8423156738281,0.0029297671280801296,0.12226905673742294
124000,1240,17478,7,769.3198904200002,100.0,0.00073,120999,-1.5129165649414062,-394.4645080566406,0.0029079392552375793,0.14424510300159454
125000,1250,17626,7,769.8599053900001,100.0,0.00073,121999,-2.071776866912842,-394.2037353515625,0.002966120606288314,0.10301417112350464
126000,1260,17774,7,769.35067883,100.0,0.00073,122999,-5.317305088043213,-394.67755126953125,0.0030006221495568752,0.23636099696159363
127000,1270,17922,7,769.3216372299999,100.0,0.00073,123999,2.514096736907959,-393.6500244140625,0.002992396242916584,0.25744205713272095
128000,1280,18070,7,769.81651399,100.0,0.00073,124999,-1.0435584783554077,-393.9791564941406,0.0027551830280572176,0.08599746227264404
129000,1290,18217,7,768.94259035,100.0,0.00073,125999,3.6303935050964355,-393.95697021484375,0.0030009725596755743,0.15749533474445343
130000,1300,18366,7,769.6527721899998,100.0,0.00073,126999,-0.5806708335876465,-394.53057861328125,0.0030482704751193523,0.10146965086460114
131000,1310,18512,7,770.0104126199999,100.0,0.00073,127999,3.2219772338867188,-394.19671630859375,0.0028820259030908346,0.11958634108304977
132000,1320,18658,7,769.2374419,100.0,0.00073,128999,0.0915280431509018,-394.358642578125,0.0029719448648393154,0.0712018758058548
133000,1330,18806,7,768.56874143,100.0,0.00073,129999,-0.04231947660446167,-394.2607116699219,0.003075216431170702,0.08010074496269226
134000,1340,18952,7,767.4662399300001,100.0,0.00073,130999,0.6056706309318542,-394.46087646484375,0.002691494068130851,0.10571303963661194
135000,1350,19099,7,767.4826746800002,100.0,0.00073,131999,-1.3768000602722168,-394.57373046875,0.0029593748040497303,0.06359409540891647
136000,1360,19246,7,767.7755978399999,100.0,0.00073,132999,-2.4039106369018555,-394.87335205078125,0.0029765756335109472,0.15536268055438995
137000,1370,19391,7,768.3694879200001,100.0,0.00073,133999,5.060140132904053,-393.9173583984375,0.003175546647980809,0.19041499495506287
138000,1380,19536,7,767.9272629400001,100.0,0.00073,134999,-2.3867361545562744,-395.2064208984375,0.0028582497034221888,0.10938642919063568
139000,1390,19680,7,768.02715427,100.0,0.00073,135999,1.7057136297225952,-394.58197021484375,0.0028238161467015743,0.13757240772247314
140000,1400,19826,7,766.4130190099999,100.0,0.00073,136999,1.3727350234985352,-394.7416687011719,0.0029591659549623728,0.10832910239696503
141000,1410,19972,7,766.1070519500001,100.0,0.00073,137999,6.392679214477539,-394.3418884277344,0.0030499743297696114,0.1658342182636261
142000,1420,20121,7,766.3758867000001,100.0,0.00073,138999,-0.09485071897506714,-394.1522216796875,0.0028612823225557804,0.14060060679912567
143000,1430,20269,7,767.29475924,100.0,0.00073,139999,0.18583855032920837,-394.861572265625,0.002789483405649662,0.0831480622291565
144000,1440,20416,7,768.8114747,100.0,0.00073,140999,-1.9871981143951416,-394.60369873046875,0.0028109755367040634,0.05521794781088829
145000,1450,20563,7,768.4669079600003,100.0,0.00073,141999,-2.041271686553955,-395.02374267578125,0.0029598658438771963,0.0653851181268692
146000,1460,20711,7,768.7696279100002,100.0,0.00073,142999,4.415811061859131,-393.8231201171875,0.0027376110665500164,0.0795443207025528
147000,1470,20857,7,767.7272534500003,100.0,0.00073,143999,2.324927806854248,-394.65301513671875,0.0028960222844034433,0.15080809593200684
148000,1480,21003,7,768.28118466,100.0,0.00073,144999,-0.3379339575767517,-395.03192138671875,0.0027998455334454775,0.05807673931121826
149000,1490,21147,7,768.2899881999999,100.0,0.00073,145999,-0.7603548765182495,-395.0239562988281,0.00271319760940969,0.15520042181015015
150000,1500,21294,7,770.1545543699999,100.0,0.00073,146999,-1.536950945854187,-395.25811767578125,0.0025026178918778896,0.0866851955652237
151000,1510,21441,7,770.82574198,100.0,0.00073,147999,-2.464451789855957,-394.70281982421875,0.002837221138179302,0.07701407372951508
152000,1520,21588,7,771.7010424800001,100.0,0.00073,148999,-0.9144765734672546,-395.40838623046875,0.0028250240720808506,0.04487781226634979
153000,1530,21735,7,772.1048658199999,100.0,0.00073,149999,-3.5896151065826416,-395.2555236816406,0.002608319977298379,0.12288889288902283
154000,1540,21883,7,771.1212004100001,100.0,0.00073,150999,-0.35430994629859924,-395.05853271484375,0.0028823392931371927,0.368946373462677
155000,1550,22030,7,770.9446588200002,100.0,0.00073,151999,-2.273794412612915,-394.8492431640625,0.0028680411633104086,0.08723306655883789
156000,1560,22178,7,770.8143035499999,100.0,0.00073,152999,2.1138503551483154,-394.77099609375,0.002723923185840249,0.09732664376497269
157000,1570,22325,7,770.9485605500003,100.0,0.00073,153999,-3.066713809967041,-395.13848876953125,0.0031407931819558144,0.09908003360033035
158000,1580,22472,7,769.6548462799999,100.0,0.00073,154999,-0.17183679342269897,-394.9314270019531,0.0031314841471612453,0.1724739670753479
159000,1590,22618,7,769.7747026799999,100.0,0.00073,155999,-1.290879487991333,-395.2154541015625,0.002725631697103381,0.09593548625707626
160000,1600,22764,7,769.6208194599999,100.0,0.00073,156999,3.331645965576172,-395.2978515625,0.0028235428035259247,0.1221374124288559
161000,1610,22911,7,770.14947335,100.0,0.00073,157999,1.4404125213623047,-394.91729736328125,0.0028555605094879866,0.3106772303581238
