time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/ent_coef,train/learning_rate,train/n_updates,train/actor_loss,train/ent_coef_loss,train/critic_loss
7638,7,60213,60.05,-280.60815646000003,1260,0.17140142619609833,0.00073,57212,-409.32061767578125,-3.1091244220733643,411.8939514160156
7711,7,60765,59.34,-271.02201410000004,1270,0.1646147519350052,0.00073,57764,-345.3939208984375,-0.10428309440612793,310.9437255859375
7784,7,61314,59.48,-276.53120292999995,1280,0.1583443582057953,0.00073,58313,-348.9767761230469,3.9281985759735107,416.89874267578125
7866,7,61924,60.12,-294.21075518,1290,0.15689677000045776,0.00073,58923,-340.21185302734375,-1.9175140857696533,364.7337646484375
7953,7,62571,60.29,-297.56574295,1300,0.14535990357398987,0.00073,59570,-318.16790771484375,1.0891506671905518,334.3720703125
8030,7,63147,58.98,-288.11008316000004,1310,0.13314729928970337,0.00073,60146,-277.890380859375,1.5068246126174927,316.2015075683594
8116,7,63796,60.03,-281.66094628,1320,0.12638221681118011,0.00073,60795,-236.6420135498047,-4.67681884765625,203.4943389892578
8190,7,64346,60.47,-284.92458135,1330,0.12167967855930328,0.00073,61345,-230.8778533935547,0.18215930461883545,226.92105102539062
8272,7,64930,59.3,-286.39155219,1340,0.11862052977085114,0.00073,61929,-250.0270233154297,1.9137005805969238,219.24459838867188
8364,7,65619,58.77,-295.42220475,1350,0.10954558104276657,0.00073,62618,-198.2362823486328,-2.631443977355957,158.3524169921875
8437,7,66161,59.48,-302.74272614999995,1360,0.10198948532342911,0.00073,63160,-201.92625427246094,6.859829425811768,182.9199676513672
8527,7,66844,60.79,-313.71207290999996,1370,0.0979032963514328,0.00073,63843,-172.17054748535156,4.9063720703125,138.6148681640625
8620,7,67538,62.24,-310.29314219,1380,0.09801775962114334,0.00073,64537,-178.88418579101562,-0.7527983784675598,122.74988555908203
8712,7,68221,62.97,-287.04012027,1390,0.09021416306495667,0.00073,65220,-156.88531494140625,-1.1454508304595947,113.17499542236328
8798,7,68862,62.91,-287.73531769999994,1400,0.08474396169185638,0.00073,65861,-137.40406799316406,-5.253779411315918,97.76589965820312
8873,7,69430,62.83,-297.42888131,1410,0.08188128471374512,0.00073,66429,-117.16426086425781,-16.032541275024414,110.7581787109375
8943,7,69958,61.62,-303.55726667999994,1420,0.07450202107429504,0.00073,66957,-112.86172485351562,1.2617079019546509,109.258056640625
9029,7,70599,62.53,-297.37492425,1430,0.07049546390771866,0.00073,67598,-103.08291625976562,-10.023685455322266,92.79552459716797
9123,7,71312,63.82,-301.55935929000003,1440,0.0702376589179039,0.00073,68311,-91.22191619873047,-4.446874618530273,97.51663970947266
9201,7,71894,62.75,-299.64246471999996,1450,0.06723185628652573,0.00073,68893,-97.02853393554688,-1.3045226335525513,79.60430908203125
9268,7,72392,62.31,-290.20832454,1460,0.06481770426034927,0.00073,69391,-87.57717895507812,-3.276498317718506,96.66485595703125
9357,7,73062,62.18,-274.20262798999994,1470,0.06145536154508591,0.00073,70061,-78.75651550292969,4.331409454345703,71.50505065917969
9449,7,73751,62.13,-272.20745307,1480,0.06220683827996254,0.00073,70750,-71.8288803100586,4.379561901092529,68.62689208984375
9538,7,74414,61.93,-284.91710549,1490,0.058590300381183624,0.00073,71413,-66.36872100830078,8.381199836730957,73.6888427734375
9618,7,75010,61.48,-272.39474826,1500,0.0571509450674057,0.00073,72009,-53.18370819091797,-3.3287465572357178,73.94427490234375
9681,7,75486,60.56,-257.12959544,1510,0.057247359305620193,0.00073,72485,-53.994144439697266,9.484647750854492,69.40473937988281
