time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/actor_loss,train/learning_rate,train/ent_coef,train/critic_loss,train/n_updates,train/ent_coef_loss
7,162000,100.0,771.4289221899998,22757,1620,-394.9758605957031,0.00073,0.0032317540608346462,0.12410333752632141,158999,-2.1033952236175537
7,163000,100.0,771.7240357699999,22904,1630,-395.12420654296875,0.00073,0.00345452013425529,0.154906764626503,159999,-0.5015798211097717
7,164000,100.0,770.6950296000001,23051,1640,-395.27703857421875,0.00073,0.0035080877132713795,0.09815318882465363,160999,-2.92172908782959
7,165000,100.0,770.0472178199999,23199,1650,-394.9891662597656,0.00073,0.0033561191521584988,0.07154329121112823,161999,-1.7187073230743408
7,166000,100.0,768.7840498600001,23347,1660,-394.7664794921875,0.00073,0.0033885922748595476,0.13914871215820312,162999,0.7915376424789429
7,167000,100.0,768.7494090099999,23494,1670,-393.8558349609375,0.00073,0.002985815517604351,0.22344434261322021,163999,0.2105831801891327
7,168000,100.0,769.46417821,23640,1680,-395.14215087890625,0.00073,0.0029230148065835238,0.12214865535497665,164999,-0.9652589559555054
7,169000,100.0,769.4733424799998,23786,1690,-395.1120910644531,0.00073,0.0030580784659832716,0.08553054928779602,165999,-0.9395366907119751
7,170000,100.0,769.6444725099999,23932,1700,-394.53485107421875,0.00073,0.002971495734527707,0.21912114322185516,166999,2.6470065116882324
7,171000,100.0,769.2971003299999,24079,1710,-394.293701171875,0.00073,0.0028804733883589506,0.16267803311347961,167999,-0.07031005620956421
7,172000,100.0,768.8507419100001,24224,1720,-395.2029724121094,0.00073,0.0032360979821532965,0.13125154376029968,168999,-2.751622438430786
7,173000,100.0,769.73546397,24370,1730,-395.1291198730469,0.00073,0.003100555157288909,0.10908298194408417,169999,-3.3291172981262207
7,174000,100.0,770.1722263900001,24518,1740,-394.1492614746094,0.00073,0.002946024527773261,0.17088770866394043,170999,3.2879176139831543
7,175000,100.0,771.0926679899999,24664,1750,-394.4067077636719,0.00073,0.0028897211886942387,0.12839022278785706,171999,2.3144350051879883
7,176000,100.0,770.97250767,24811,1760,-394.6528625488281,0.00073,0.003163769841194153,0.1862330436706543,172999,-0.5954741835594177
7,177000,100.0,770.49721901,24958,1770,-395.09405517578125,0.00073,0.0029390903655439615,0.07557317614555359,173999,0.2680116295814514
7,178000,100.0,770.28749666,25105,1780,-394.7047119140625,0.00073,0.0030176625587046146,0.14017966389656067,174999,-0.6056296825408936
7,179000,100.0,769.865368,25252,1790,-394.7852478027344,0.00073,0.002943686442449689,0.147587388753891,175999,3.7324225902557373
7,180000,100.0,769.54605401,25398,1800,-395.74859619140625,0.00073,0.003040759125724435,0.12573862075805664,176999,-3.937730312347412
7,181000,100.0,769.4907171399999,25543,1810,-394.24725341796875,0.00073,0.002840582514181733,0.1719149947166443,177999,1.612159252166748
7,182000,100.0,769.86488428,25689,1820,-395.2452697753906,0.00073,0.0030425358563661575,0.054156169295310974,178999,-1.158336877822876
7,183000,100.0,769.6799757199999,25836,1830,-395.3409118652344,0.00073,0.0027413039933890104,0.07714904844760895,179999,-1.6483545303344727
7,184000,100.0,769.14679338,25982,1840,-394.8549499511719,0.00073,0.003250902285799384,0.09938302636146545,180999,1.4228460788726807
7,185000,100.0,769.1463249699998,26128,1850,-394.921142578125,0.00073,0.0032497274223715067,0.1161268875002861,181999,1.6462184190750122
7,186000,100.0,769.9787322800003,26275,1860,-395.3918151855469,0.00073,0.002893859287723899,0.1774868667125702,182999,-1.0857822895050049
7,187000,100.0,770.73413867,26420,1870,-394.9764404296875,0.00073,0.0029917913489043713,0.13876792788505554,183999,-0.9514628648757935
7,188000,100.0,770.4545267000001,26565,1880,-395.0614929199219,0.00073,0.0028163273818790913,0.06771601736545563,184999,-2.9588804244995117
7,189000,100.0,770.0969695200001,26712,1890,-395.25128173828125,0.00073,0.002793754916638136,0.06661128997802734,185999,-1.46055269241333
7,190000,100.0,769.97000055,26859,1900,-395.67877197265625,0.00073,0.0028114996384829283,0.1562291979789734,186999,-0.5079201459884644
7,191000,100.0,770.54167934,27003,1910,-395.3512268066406,0.00073,0.002953187795355916,0.1823129653930664,187999,0.7938657402992249
7,192000,100.0,770.5838214399998,27149,1920,-395.453369140625,0.00073,0.0028470479883253574,0.07933463156223297,188999,-1.653041124343872
7,193000,100.0,770.21112502,27295,1930,-394.98431396484375,0.00073,0.0027412855997681618,0.0919337347149849,189999,2.247365713119507
7,194000,100.0,770.3348132000001,27441,1940,-394.8400573730469,0.00073,0.0029462745878845453,0.08023715019226074,190999,3.2342746257781982
7,195000,100.0,770.6487994799999,27587,1950,-395.2802734375,0.00073,0.003074637381359935,0.11574983596801758,191999,-3.49776291847229
7,196000,100.0,769.61936992,27735,1960,-395.11865234375,0.00073,0.0028249809984117746,0.08029201626777649,192999,3.8736703395843506
7,197000,100.0,769.7658082500001,27882,1970,-395.31195068359375,0.00073,0.0027198076713830233,0.11368022859096527,193999,0.7155006527900696
7,198000,100.0,768.8566898,28028,1980,-395.6454772949219,0.00073,0.00298767420463264,0.09581583738327026,194999,-2.510594129562378
7,199000,100.0,769.18879671,28174,1990,-395.0817565917969,0.00073,0.0025596395134925842,0.08389274775981903,195999,-1.4939970970153809
7,200000,100.0,769.061434,28317,2000,-395.1518859863281,0.00073,0.002882897388190031,0.07778524607419968,196999,1.2011646032333374
7,201000,100.0,768.55474059,28461,2010,-394.9902648925781,0.00073,0.0027586747892200947,0.11078229546546936,197999,-0.4166140556335449
7,202000,100.0,767.9833927199999,28606,2020,-393.7725830078125,0.00073,0.002742731710895896,0.22897502779960632,198999,4.607255458831787
