time/fps,time/episodes,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss,train/learning_rate,train/n_updates,train/ent_coef_loss,train/ent_coef,train/actor_loss
7,1250,67135,8570,70.21,313.88350851,18.420583724975586,0.00073,64134,-1.147448182106018,0.07662954926490784,-175.3177490234375
7,1260,67885,8671,72.09,350.60402775999995,17.089195251464844,0.00073,64884,0.11666810512542725,0.07575267553329468,-168.69923400878906
7,1270,68635,8772,72.63,375.56708172000003,15.462628364562988,0.00073,65634,1.9832481145858765,0.07751209288835526,-173.0976104736328
7,1280,69385,8872,72.9,384.65258381,20.063188552856445,0.00073,66384,0.904409646987915,0.07512373477220535,-178.67999267578125
7,1290,70135,8972,72.98,394.54405367,19.755508422851562,0.00073,67134,5.234711170196533,0.07381459325551987,-173.2344207763672
7,1300,70885,9073,73.22,403.40963702,14.749198913574219,0.00073,67884,0.35081368684768677,0.0756785199046135,-179.73280334472656
7,1310,71635,9175,73.22,405.04567195,15.298608779907227,0.00073,68634,5.432405471801758,0.07424304634332657,-184.5746307373047
7,1320,72385,9276,73.22,402.82575122,15.464993476867676,0.00073,69384,7.737857818603516,0.07552649825811386,-179.7267303466797
7,1330,73093,9371,72.8,381.19970372000006,15.48881721496582,0.00073,70092,-2.624406099319458,0.07343950122594833,-185.61720275878906
7,1340,73695,9451,72.76,381.89110951,21.726533889770508,0.00073,70694,-0.6522339582443237,0.07486670464277267,-175.3123779296875
7,1350,74445,9552,73.1,408.4053301100001,17.34609031677246,0.00073,71444,-4.971256256103516,0.07527894526720047,-186.5213623046875
7,1360,75195,9653,73.1,411.86387858999996,22.836761474609375,0.00073,72194,1.933969259262085,0.07399696856737137,-176.70526123046875
7,1370,75945,9754,73.1,409.6334835,18.579069137573242,0.00073,72944,-0.7148383855819702,0.07304280251264572,-175.09579467773438
7,1380,76629,9846,72.44,390.00343520000007,17.628602981567383,0.00073,73628,-0.7466191053390503,0.074076808989048,-174.24639892578125
7,1390,77379,9947,72.44,386.25323373,19.635536193847656,0.00073,74378,1.398395299911499,0.07532909512519836,-199.21548461914062
7,1400,78129,10047,72.44,393.1246173800001,18.084760665893555,0.00073,75128,2.8118438720703125,0.07351269572973251,-194.81666564941406
7,1410,78879,10148,72.44,394.38850416,16.415630340576172,0.00073,75878,2.215406894683838,0.07177627831697464,-193.88082885742188
7,1420,79629,10249,72.44,394.93939756,17.268035888671875,0.00073,76628,5.447679042816162,0.06997255235910416,-182.12115478515625
7,1430,80379,10351,72.86,417.34673211999996,13.567232131958008,0.00073,77378,-4.226263046264648,0.07256973534822464,-197.69200134277344
7,1440,81129,10452,74.34,449.88804593000003,16.132478713989258,0.00073,78128,-0.6924907565116882,0.07161206007003784,-204.4974822998047
7,1450,81879,10553,74.34,452.5239218899999,20.199554443359375,0.00073,78878,6.527459144592285,0.06920889019966125,-200.80270385742188
7,1460,82529,10641,73.34,424.47541986,20.85420799255371,0.00073,79528,0.0866384506225586,0.06837088614702225,-212.1874237060547
7,1470,83235,10737,72.9,402.1955214200001,15.722208023071289,0.00073,80234,-3.9256534576416016,0.06878463178873062,-204.8358612060547
7,1480,83985,10837,73.56,426.28642270999995,15.631287574768066,0.00073,80984,-0.8924955129623413,0.06923750787973404,-194.22645568847656
7,1490,84735,10939,73.56,434.29119055,15.65497875213623,0.00073,81734,1.077216625213623,0.07066518813371658,-214.25216674804688
