time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,train/ent_coef,train/n_updates,train/ent_coef_loss,train/actor_loss,train/learning_rate,train/critic_loss
7,767.89684878,16632,127136,1500,100.0,0.03593829646706581,124135,-5.027151107788086,-309.80078125,0.00073,4.281378746032715
7,760.7924346499999,16769,128136,1510,100.0,0.036568887531757355,125135,-0.2978214621543884,-310.10498046875,0.00073,2.692119598388672
7,759.6500170200001,16905,129136,1520,100.0,0.03568464517593384,126135,-0.2742355465888977,-304.97271728515625,0.00073,4.123876571655273
7,759.7782826600001,17041,130136,1530,100.0,0.03702108934521675,127135,-2.472498893737793,-304.5335998535156,0.00073,4.379188060760498
7,760.1780443899999,17177,131136,1540,100.0,0.03755219653248787,128135,3.4673871994018555,-304.6312561035156,0.00073,7.322524547576904
7,760.3772028399998,17313,132136,1550,100.0,0.03526744619011879,129135,-1.3372855186462402,-305.78302001953125,0.00073,3.419785499572754
7,760.5405043100001,17448,133136,1560,100.0,0.03588734194636345,130135,5.014765739440918,-306.9363708496094,0.00073,3.7543416023254395
7,760.7148908899998,17583,134136,1570,100.0,0.035713184624910355,131135,-2.073965072631836,-304.0269775390625,0.00073,4.4836883544921875
7,761.0772848600001,17716,135136,1580,100.0,0.035743508487939835,132135,1.6521706581115723,-305.65924072265625,0.00073,6.524724960327148
7,761.2703534599999,17850,136136,1590,100.0,0.03557922691106796,133135,-7.222788333892822,-306.6537170410156,0.00073,3.170789957046509
7,761.5051797799999,17987,137136,1600,100.0,0.03668097034096718,134135,0.2667531967163086,-311.26239013671875,0.00073,3.7106361389160156
7,768.5908975999998,18124,138136,1610,100.0,0.03494669497013092,135135,8.982710838317871,-310.19964599609375,0.00073,6.191106796264648
7,768.9984909800002,18261,139136,1620,100.0,0.03511796519160271,136135,3.7080116271972656,-312.6102600097656,0.00073,3.8004727363586426
7,768.82935831,18397,140136,1630,100.0,0.035117004066705704,137135,7.6507158279418945,-312.114501953125,0.00073,5.164417266845703
7,768.9057962800001,18533,141136,1640,100.0,0.03457490727305412,138135,3.038832664489746,-315.19793701171875,0.00073,32.057552337646484
7,769.1633290799999,18669,142136,1650,100.0,0.03504405543208122,139135,-3.4164838790893555,-319.6155090332031,0.00073,3.8287339210510254
7,749.09528248,18804,143136,1660,100.0,0.03511488437652588,140135,0.6531091928482056,-320.1830139160156,0.00073,4.4708147048950195
7,745.6310762100001,18942,144136,1670,100.0,0.03604993596673012,141135,-4.91362190246582,-318.44244384765625,0.00073,4.02032995223999
7,745.4474918499999,19079,145136,1680,100.0,0.0355282761156559,142135,0.39489245414733887,-314.68890380859375,0.00073,2.893242359161377
7,745.32659825,19217,146136,1690,100.0,0.0360129252076149,143135,1.0394937992095947,-313.57720947265625,0.00073,4.276695251464844
7,740.6478547,19355,147136,1700,100.0,0.034942518919706345,144135,-1.174746036529541,-314.13958740234375,0.00073,4.467687606811523
7,738.8013718399999,19492,148136,1710,100.0,0.03496637940406799,145135,9.264747619628906,-312.1061706542969,0.00073,5.6091437339782715
