time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/ent_coef,train/critic_loss,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/n_updates
1090,2749,22.41,22827,-11.266390410000001,8,0.0015439193230122328,0.05616150051355362,0.00073,3.9362564086914062,-2.4614853858947754,19826
1100,2780,22.55,23066,-11.286412030000001,8,0.001555084134452045,0.04378529638051987,0.00073,3.98563551902771,0.47876930236816406,20065
1110,2816,22.78,23337,-11.323030840000001,8,0.0015324391424655914,0.03839736804366112,0.00073,3.690797805786133,-14.461368560791016,20336
1120,2848,22.21,23579,-11.040897769999999,8,0.0014787118416279554,0.051183998584747314,0.00073,3.910287857055664,15.380773544311523,20578
1130,2870,21.86,23745,-10.881813509999999,8,0.0016151944873854518,0.05229334533214569,0.00073,3.8436498641967773,13.705632209777832,20744
1140,2895,21.79,23931,-10.90662478,8,0.0015886579640209675,0.045000530779361725,0.00073,3.892551898956299,-2.2664389610290527,20930
1150,2920,21.96,24121,-10.79581105,8,0.0015391105553135276,0.043237075209617615,0.00073,3.7906494140625,6.4211039543151855,21120
1160,2945,21.59,24309,-10.61589809,8,0.0015449923230335116,0.04007960110902786,0.00073,3.8566672801971436,-0.058593809604644775,21308
1170,2974,21.46,24532,-10.489718,8,0.0014870023587718606,0.035649534314870834,0.00073,3.899104595184326,-7.8208394050598145,21531
1180,3007,21.48,24781,-10.364839719999999,8,0.0014564378652721643,0.032672811299562454,0.00073,3.8326756954193115,2.2431368827819824,21780
1190,3035,21.66,24993,-10.54272886,8,0.0014713590499013662,0.0391613245010376,0.00073,3.8834009170532227,3.5044193267822266,21992
1200,3064,21.52,25218,-10.40618516,8,0.0013704500161111355,0.03598054498434067,0.00073,3.990586280822754,9.335583686828613,22217
1210,3088,20.59,25396,-10.358740890000002,8,0.0013276005629450083,0.03640081360936165,0.00073,3.898470401763916,-17.215988159179688,22395
1220,3111,19.88,25567,-10.096055589999999,8,0.0013628717279061675,0.043998293578624725,0.00073,4.009169578552246,1.155864953994751,22566
1230,3137,20.16,25761,-10.08650893,8,0.0013656436931341887,0.037110038101673126,0.00073,4.111600399017334,-8.906037330627441,22760
1240,3162,20.16,25947,-9.94212575,8,0.0013692919164896011,0.03561445325613022,0.00073,3.9322006702423096,3.92551851272583,22946
1250,3193,20.57,26178,-10.332033339999999,8,0.0013909036060795188,0.039301902055740356,0.00073,4.031196117401123,-2.194661855697632,23177
1260,3222,20.86,26395,-10.180350259999999,8,0.0013987490674480796,0.036328159272670746,0.00073,3.812502861022949,-7.614163398742676,23394
1270,3243,20.17,26549,-10.02013085,8,0.0013882869388908148,0.033308982849121094,0.00073,3.9598965644836426,-14.160374641418457,23548
1280,3271,19.75,26756,-10.04231036,8,0.001231363625265658,0.03574984520673752,0.00073,3.8923556804656982,-5.084193229675293,23755
1290,3296,19.56,26949,-10.08865635,8,0.0012583100469782948,0.029101461172103882,0.00073,3.9167320728302,-2.5815818309783936,23948
1300,3325,19.43,27161,-9.949704839999999,8,0.0013015532167628407,0.026349898427724838,0.00073,3.8904669284820557,-6.019144058227539,24160
1310,3351,19.63,27359,-9.72809795,8,0.001303540077060461,0.04105077311396599,0.00073,3.979081153869629,-9.819598197937012,24358
1320,3383,20.26,27593,-9.85812533,8,0.001201725215651095,0.032068341970443726,0.00073,4.001786231994629,15.566551208496094,24592
1330,3413,20.6,27821,-9.686879809999999,8,0.0012179925106465816,0.028882984071969986,0.00073,4.126952171325684,23.875347137451172,24820
