rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss,train/ent_coef,train/ent_coef_loss
-128.34165669,67.41,4587,7,780,36473,0.00073,-3.8663508892059326,33472,9.251662254333496,0.03401775285601616,-0.1777026653289795
-146.06741524,65.11,4656,7,790,36980,0.00073,0.08702170848846436,33979,10.140325546264648,0.035100121051073074,8.387903213500977
-144.43262153,62.65,4725,7,800,37484,0.00073,-2.8983633518218994,34483,10.511592864990234,0.033500444144010544,-9.180927276611328
-116.70337063000001,63.08,4826,7,810,38234,0.00073,-9.684328079223633,35233,10.47218132019043,0.03587836027145386,7.474373817443848
-85.07685058000001,65.95,4928,7,820,38984,0.00073,-13.96917724609375,35983,9.405061721801758,0.03821152448654175,6.3030853271484375
-60.455924079999996,67.93,5031,7,830,39734,0.00073,-25.354873657226562,36733,11.543294906616211,0.03804068639874458,3.987212896347046
-34.93864474999999,68.11,5132,7,840,40484,0.00073,-32.42766189575195,37483,10.18652057647705,0.038914237171411514,4.486694812774658
-22.82481144999999,68.11,5235,7,850,41234,0.00073,-30.7598876953125,38233,8.358304977416992,0.040207453072071075,2.2839341163635254
-8.569637879999997,68.11,5338,7,860,41984,0.00073,-42.25185012817383,38983,9.02612590789795,0.041139695793390274,1.7560802698135376
2.2567973500000047,67.51,5425,7,870,42624,0.00073,-46.42197036743164,39623,8.38223934173584,0.042205799371004105,-4.2401227951049805
44.95275271,69.01,5527,7,880,43374,0.00073,-46.532958984375,40373,8.690215110778809,0.040671590715646744,-7.03636360168457
93.54739620000001,71.44,5629,7,890,44124,0.00073,-54.084983825683594,41123,8.20451831817627,0.04300587251782417,4.86388635635376
121.50008196,73.9,5730,7,900,44874,0.00073,-66.36450958251953,41873,9.146849632263184,0.04519186168909073,6.962388038635254
121.55574311000001,73.9,5832,7,910,45624,0.00073,-66.65185546875,42623,6.789425373077393,0.04357670247554779,-1.738460898399353
