time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,train/actor_loss,train/learning_rate,train/n_updates,train/ent_coef_loss,train/ent_coef,train/critic_loss
22848,7,766.0607954599999,100.0,162000,1620,-393.5900573730469,0.00073,158999,1.7220348119735718,0.0017827325500547886,0.11214671283960342
22995,7,765.6387374500002,100.0,163000,1630,-393.92022705078125,0.00073,159999,2.4475162029266357,0.0016075378516688943,0.09790217876434326
23140,7,764.9403275999998,100.0,164000,1640,-393.6835632324219,0.00073,160999,0.40074434876441956,0.001835263567045331,0.09850567579269409
23287,7,765.74036748,100.0,165000,1650,-393.658203125,0.00073,161999,1.301499605178833,0.0013058799086138606,0.10172846913337708
23434,7,764.8345255600001,100.0,166000,1660,-393.397216796875,0.00073,162999,1.897681474685669,0.0018319559749215841,0.21489158272743225
23582,7,763.8927922499997,100.0,167000,1670,-393.140869140625,0.00073,163999,0.6805447340011597,0.0016239597462117672,0.1297345608472824
23729,7,762.71784665,100.0,168000,1680,-393.9198913574219,0.00073,164999,-2.955016613006592,0.0018660075729712844,0.07561154663562775
23876,7,763.1800274,100.0,169000,1690,-393.3352966308594,0.00073,165999,1.9713108539581299,0.002022785134613514,0.07594254612922668
24023,7,765.0920548800001,100.0,170000,1700,-394.52301025390625,0.00073,166999,-1.3738914728164673,0.001544874394312501,0.04943016171455383
24171,7,764.15310877,100.0,171000,1710,-394.25860595703125,0.00073,167999,-3.2219622135162354,0.0016475784359499812,0.07366906106472015
24318,7,762.7711794500001,100.0,172000,1720,-394.5309753417969,0.00073,168999,-5.876992225646973,0.0015340527752414346,0.03002065047621727
24465,7,762.0086452200001,100.0,173000,1730,-393.64349365234375,0.00073,169999,2.220303773880005,0.0014839834766462445,0.10644324123859406
24612,7,762.16959446,100.0,174000,1740,-393.02227783203125,0.00073,170999,6.064407825469971,0.0017529652686789632,0.09933705627918243
24759,7,761.9372511000001,100.0,175000,1750,-394.14031982421875,0.00073,171999,-0.3009794354438782,0.0018612878629937768,0.04560712352395058
24906,7,761.12852049,100.0,176000,1760,-394.40802001953125,0.00073,172999,2.2171080112457275,0.0014262581244111061,0.10498826205730438
25054,7,761.9419465599999,100.0,177000,1770,-394.5458679199219,0.00073,173999,-2.6258480548858643,0.0014389530988410115,0.047017887234687805
25200,7,763.18581677,100.0,178000,1780,-393.8424377441406,0.00073,174999,-1.6356477737426758,0.0016376529820263386,0.034381039440631866
25347,7,762.8871949799999,100.0,179000,1790,-394.0550842285156,0.00073,175999,-1.8470160961151123,0.001835507806390524,0.03295116126537323
25495,7,761.94172641,100.0,180000,1800,-393.48480224609375,0.00073,176999,0.43431687355041504,0.001640446251258254,0.0850609838962555
25641,7,762.61729772,100.0,181000,1810,-394.3974609375,0.00073,177999,-5.54296875,0.0018435223028063774,0.04256461560726166
25789,7,762.0187591099999,100.0,182000,1820,-393.3414306640625,0.00073,178999,0.17017483711242676,0.0016074473969638348,0.12931491434574127
25937,7,762.2085901599999,100.0,183000,1830,-394.26202392578125,0.00073,179999,-3.057971477508545,0.0017132300417870283,0.09353993833065033
26084,7,761.80604836,100.0,184000,1840,-394.2523498535156,0.00073,180999,0.26761025190353394,0.0015402198769152164,0.06642583012580872
