rollout/ep_len_mean,time/time_elapsed,time/episodes,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/n_updates
47.37,11615,2050,7,88084,-193.84777639,0.00073,0.01388158556073904,0.8481374979019165,3.8074045181274414,111.66276550292969,85083
47.56,11680,2060,7,88554,-195.08818107999997,0.00073,0.01402917318046093,-2.339146137237549,3.9100639820098877,110.72476959228516,85553
47.62,11749,2070,7,89051,-189.00498159,0.00073,0.013973978348076344,-8.238408088684082,3.397725820541382,112.25155639648438,86050
48.28,11816,2080,7,89529,-186.90036275999998,0.00073,0.013935118913650513,-12.313523292541504,5.406888961791992,112.74935150146484,86528
48.34,11883,2090,7,90016,-188.47364804,0.00073,0.014177443459630013,7.165832996368408,3.827026844024658,111.62663269042969,87015
48.21,11947,2100,7,90477,-191.9948981,0.00073,0.013738603331148624,-7.6131181716918945,4.011838912963867,109.21580505371094,87476
48.33,12014,2110,7,90972,-197.78478548999996,0.00073,0.0137791084125638,1.0445632934570312,3.720557689666748,110.15974426269531,87971
48.67,12083,2120,7,91472,-193.37980883,0.00073,0.014079582877457142,1.6145800352096558,3.816988468170166,113.17633819580078,88471
48.77,12152,2130,7,91972,-191.69277070999996,0.00073,0.0148672666400671,4.862177848815918,4.2768964767456055,110.32438659667969,88971
48.73,12221,2140,7,92463,-186.81966368000005,0.00073,0.014533423818647861,-6.293650150299072,5.244850158691406,112.69296264648438,89462
48.79,12291,2150,7,92963,-185.18467512000004,0.00073,0.014453849755227566,-4.955409049987793,3.5211920738220215,110.9642105102539,89962
